cluster_label,fraction,n
511,1.0,75
450,1.0,102
397,1.0,64
398,1.0,219
399,1.0,134
400,1.0,193
403,1.0,468
404,1.0,221
406,1.0,186
408,1.0,54
409,1.0,91
410,1.0,200
425,1.0,61
432,1.0,253
433,1.0,134
434,1.0,72
436,1.0,61
437,1.0,202
438,1.0,91
440,1.0,109
441,1.0,58
442,1.0,97
443,1.0,62
187,1.0,123
446,1.0,66
396,1.0,79
383,1.0,82
376,1.0,144
312,1.0,146
205,1.0,55
210,1.0,625
217,1.0,84
230,1.0,70
236,1.0,60
240,1.0,56
265,1.0,66
267,1.0,90
284,1.0,154
311,1.0,69
313,1.0,418
375,1.0,69
324,1.0,66
326,1.0,332
327,1.0,100
330,1.0,162
332,1.0,63
333,1.0,174
346,1.0,61
353,1.0,335
355,1.0,130
374,1.0,90
449,1.0,1456
444,1.0,69
451,1.0,60
500,1.0,85
487,1.0,74
490,1.0,152
491,1.0,78
493,1.0,1127
494,1.0,204
495,1.0,53
496,1.0,114
498,1.0,1215
499,1.0,454
501,1.0,96
485,1.0,748
502,1.0,507
503,1.0,196
504,1.0,86
505,1.0,66
506,1.0,129
507,1.0,1755
508,1.0,154
509,1.0,139
510,1.0,572
486,1.0,278
204,1.0,193
484,1.0,311
473,1.0,134
461,1.0,1405
462,1.0,99
463,1.0,219
464,1.0,210
465,1.0,67
466,1.0,106
467,1.0,54
468,1.0,89
469,1.0,773
470,1.0,287
483,1.0,108
472,1.0,56
471,1.0,79
477,1.0,73
474,1.0,61
479,1.0,748
475,1.0,135
476,1.0,52
478,1.0,98
492,0.9990689013035382,1074
289,0.9929078014184397,141
497,0.9925925925925926,135
331,0.9893617021276596,94
453,0.9857142857142858,70
356,0.9851851851851852,135
378,0.9850746268656716,67
274,0.9821428571428571,56
489,0.9641693811074918,307
42,0.9508196721311475,61
250,0.9181818181818182,110
291,0.7487352445193929,593
488,0.3291139240506329,158
-1,0.19177091159771656,645515
482,0.1111111111111111,81
347,0.08349514563106795,515
407,0.06363636363636363,110
298,0.04195804195804196,143
105,0.01694915254237288,59
384,0.015151515151515152,66
28,0.013888888888888888,792
350,0.013888888888888888,72
435,0.013850415512465374,361
254,0.012048192771084338,83
297,0.008620689655172414,116
208,0.0072992700729927005,137
337,0.006493506493506494,154
431,0.0058823529411764705,170
225,0.003472222222222222,288
460,0.0032679738562091504,306
235,0.0018050541516245488,554
15,0.0007991475759190197,3754
301,0.00041050903119868636,2436
373,0.0,59
369,0.0,200
370,0.0,145
371,0.0,95
372,0.0,71
77,0.0,124
382,0.0,1457
81,0.0,397
381,0.0,222
380,0.0,72
379,0.0,85
78,0.0,171
80,0.0,1810
79,0.0,160
377,0.0,76
388,0.0,284
385,0.0,474
386,0.0,73
405,0.0,111
70,0.0,172
71,0.0,54
402,0.0,254
401,0.0,201
72,0.0,57
73,0.0,68
74,0.0,124
75,0.0,85
76,0.0,103
395,0.0,306
394,0.0,296
393,0.0,243
392,0.0,105
391,0.0,63
390,0.0,190
389,0.0,208
367,0.0,58
387,0.0,375
368,0.0,278
111,0.0,57
366,0.0,177
328,0.0,71
338,0.0,69
336,0.0,432
335,0.0,419
334,0.0,53
86,0.0,200
87,0.0,148
88,0.0,64
89,0.0,379
329,0.0,176
90,0.0,74
340,0.0,61
91,0.0,119
325,0.0,114
92,0.0,262
323,0.0,198
322,0.0,144
321,0.0,70
320,0.0,219
319,0.0,67
318,0.0,132
339,0.0,77
341,0.0,64
365,0.0,93
83,0.0,196
364,0.0,51
363,0.0,71
362,0.0,67
361,0.0,56
360,0.0,118
359,0.0,123
358,0.0,80
357,0.0,71
82,0.0,164
354,0.0,97
342,0.0,56
84,0.0,82
352,0.0,61
351,0.0,923
349,0.0,84
348,0.0,59
85,0.0,67
345,0.0,53
344,0.0,179
343,0.0,598
69,0.0,93
411,0.0,203
68,0.0,60
25,0.0,1769
27,0.0,78
481,0.0,70
480,0.0,84
29,0.0,53
30,0.0,139
31,0.0,183
32,0.0,50
33,0.0,89
34,0.0,285
35,0.0,141
36,0.0,51
37,0.0,54
38,0.0,50
39,0.0,254
40,0.0,178
41,0.0,83
43,0.0,146
44,0.0,135
45,0.0,76
46,0.0,1093
47,0.0,104
26,0.0,4089
24,0.0,58
67,0.0,234
23,0.0,117
1,0.0,112
2,0.0,51
3,0.0,95
4,0.0,126
5,0.0,59
6,0.0,67
7,0.0,54
8,0.0,86
9,0.0,53
10,0.0,1972
11,0.0,97
12,0.0,3262
13,0.0,64
14,0.0,273
16,0.0,147
17,0.0,51
18,0.0,114
19,0.0,311
20,0.0,185
21,0.0,178
22,0.0,83
48,0.0,123
459,0.0,53
458,0.0,255
457,0.0,57
430,0.0,425
429,0.0,67
428,0.0,157
427,0.0,76
426,0.0,57
65,0.0,85
424,0.0,99
423,0.0,109
422,0.0,53
421,0.0,142
420,0.0,58
419,0.0,92
418,0.0,223
417,0.0,176
416,0.0,82
415,0.0,136
414,0.0,252
413,0.0,86
412,0.0,414
316,0.0,65
66,0.0,65
64,0.0,146
63,0.0,115
62,0.0,80
447,0.0,78
456,0.0,55
455,0.0,68
454,0.0,75
49,0.0,75
452,0.0,172
50,0.0,179
51,0.0,50
52,0.0,77
448,0.0,228
53,0.0,68
61,0.0,59
445,0.0,67
54,0.0,108
55,0.0,50
56,0.0,117
57,0.0,84
58,0.0,170
439,0.0,140
59,0.0,115
60,0.0,89
317,0.0,454
95,0.0,72
315,0.0,133
184,0.0,88
182,0.0,146
181,0.0,60
180,0.0,53
179,0.0,88
178,0.0,181
177,0.0,221
176,0.0,119
175,0.0,175
174,0.0,178
173,0.0,63
172,0.0,248
171,0.0,110
170,0.0,93
169,0.0,377
168,0.0,67
167,0.0,297
166,0.0,69
165,0.0,74
164,0.0,65
163,0.0,56
162,0.0,168
183,0.0,127
185,0.0,126
314,0.0,866
186,0.0,159
207,0.0,90
206,0.0,110
108,0.0,80
109,0.0,177
203,0.0,227
202,0.0,105
201,0.0,62
200,0.0,88
199,0.0,83
198,0.0,252
197,0.0,160
196,0.0,164
195,0.0,200
194,0.0,125
193,0.0,176
192,0.0,137
191,0.0,476
190,0.0,197
189,0.0,209
188,0.0,78
110,0.0,193
161,0.0,114
160,0.0,75
159,0.0,122
158,0.0,107
133,0.0,62
132,0.0,195
131,0.0,88
130,0.0,224
129,0.0,210
128,0.0,205
127,0.0,59
126,0.0,114
125,0.0,107
124,0.0,122
123,0.0,60
122,0.0,115
121,0.0,288
120,0.0,119
119,0.0,132
118,0.0,617
117,0.0,56
116,0.0,141
115,0.0,213
114,0.0,57
113,0.0,56
134,0.0,54
135,0.0,72
136,0.0,105
148,0.0,52
157,0.0,113
156,0.0,165
155,0.0,246
154,0.0,104
153,0.0,61
152,0.0,63
151,0.0,121
150,0.0,58
149,0.0,151
147,0.0,68
137,0.0,61
146,0.0,192
145,0.0,594
144,0.0,79
