,Agaricomycetes,Blastocladiomycetes,Chytridiomycetes,Cystobasidiomycetes,Dimargaritomycetes,Dipodascomycetes,Dothideomycetes,Entomophthoromycetes,Eurotiomycetes,Exobasidiomycetes,Geoglossomycetes,Glomeromycetes,Harpellomycetes,Kickxellomycetes,Lecanoromycetes,Leotiomycetes,Lichinomycetes,Lipomycetes,Malasseziomycetes,Microbotryomycetes,Mortierellomycetes,Mucoromycetes,Neocallimastigomycetes,Orbiliomycetes,Pezizomycetes,Pichiomycetes,Pneumocystomycetes,Pucciniomycetes,Saccharomycetes,Schizosaccharomycetes,Sordariomycetes,Taphrinomycetes,Tremellomycetes,Trigonopsidomycetes,Umbelopsidomycetes,Ustilaginomycetes,Zoopagomycetes
Geoglossomycetes,0.0397156610489595,0.6485273378655865,0.19432189502840105,0.01986062641855577,0.14743016843280357,0.6793246792943143,0.0639173763168501,0.12794902261827346,0.7819310683803349,0.060040270400957114,1.0,0.22332815839910972,0.006222222369688271,0.2397817635982885,0.2808106175442543,0.01743436185156317,0.7833323380555574,0.0024324780941721584,0.00020983981361105298,0.09090529967256662,0.009270366640823676,0.006954500926029455,0.0006903697130648474,3.72290047068742e-05,0.7111960679024181,0.39757456169719224,0.6708900255733573,0.014956613716171616,0.9720448001503266,0.011240213564589395,0.007770620580493352,0.896470465208485,0.5256230191158854,0.14232344796601712,0.15970341481819045,0.0001545426216426858,0.910075617189964
Glomeromycetes,0.21165297953229814,0.605604150836272,3.485812471062565e-06,0.10478237928490124,0.5329351436500598,0.0004397857427616976,4.3688921690384795e-11,0.0010736189311777178,0.036494789386396775,0.3367127131851101,0.22332815839910972,1.0,1.3107574263922033e-06,7.528189810323778e-07,4.530396625929866e-06,1.6299403698398157e-13,0.5340624124144819,0.005753150758940288,0.0002759730333020808,0.5256230191158854,0.03363826387538542,0.01880747272649816,1.3230843142247542e-08,6.798263205696436e-17,0.09467271908066743,0.34700721722803374,0.07923242617253322,0.07553163944832977,0.009704141487094371,0.05748630781246275,8.466743382499345e-17,0.17159487911062143,0.21056718406240965,0.00016673694813089529,0.5649407969390019,4.337699668938386e-05,0.22642736845033637
Harpellomycetes,8.010322571164845e-10,0.0015032341802928592,0.024569189411887817,1.3290574161797293e-08,4.1414774526639344e-05,0.0007816042890434059,0.0569751931928199,0.2640685984462357,2.1844353132714117e-05,3.822038742545257e-08,0.006222222369688271,1.3107574263922033e-06,1.0,0.011230847534050632,0.009815485556983458,0.17518607816572518,0.006690718202426871,1.4177956277730548e-11,5.085573888709501e-13,4.692033062960998e-08,1.233966560901081e-10,3.060794572314891e-11,0.5653535618275295,0.5288646519869786,2.528125227117986e-05,1.1655248095585293e-06,0.03252626247698752,2.0939832616481626e-09,8.456606169377347e-05,9.334746841463987e-08,0.25570963610004427,0.0008149260535978946,4.704645612401499e-06,0.11735916120936044,4.967365761321397e-05,2.3125882028960256e-14,0.0020248134223809417
Kickxellomycetes,8.174370705125954e-47,0.07239081939907022,0.7111960679024181,9.368060967963076e-09,0.0025708538515611763,0.009704141487094371,0.013959445541999979,0.38125139655607504,1.382807929577326e-10,9.576153422936819e-10,0.2397817635982885,7.528189810323778e-07,0.011230847534050632,1.0,0.8503459644712285,7.239982081855882e-05,0.184493640400381,8.62328323319154e-20,1.1175195160657037e-18,1.08840328840162e-11,3.969115642186468e-21,2.336812936326821e-30,0.0005840852129451313,9.632726128642483e-09,2.0884289774480615e-06,5.733265251754524e-19,0.6483750500996144,8.967747971164191e-12,1.4332522555628195e-06,3.0352433543023096e-06,1.7010495937811068e-09,0.054865043888060065,9.798297744852381e-11,0.4553624021822085,0.0030842334797705215,7.3826198402250735e-34,0.11426750359350035
Lecanoromycetes,5.806490276562237e-31,0.0891431985823029,0.6148100313855571,4.00897277114126e-08,0.003555762651741222,0.045097964764672246,0.01986062641855577,0.3474491755457984,4.156655509984641e-07,1.021817931460371e-08,0.2808106175442543,4.530396625929866e-06,0.009815485556983458,0.8503459644712285,1.0,0.00021058157315943763,0.21197521480443252,1.6149528248851322e-17,3.794040719353042e-17,4.560443964953642e-10,5.058877709402259e-18,1.384096795167529e-24,0.0005085075587678435,1.4405727215356298e-08,4.486677288604021e-05,1.0683962862597574e-12,0.6988137961542094,1.1498837132401068e-10,0.00012490298027094504,5.714311617579056e-06,1.717573965335872e-07,0.07787098123168322,4.737547675887173e-08,0.4032232957683532,0.004199169776360511,3.6020557135351794e-29,0.14442601612193337
Leotiomycetes,2.6489355561607283e-108,0.0032884559690495806,0.020380337910559335,4.723188783805523e-14,4.098103699235916e-05,3.480433549772873e-13,0.02592175818071978,0.851730571631259,2.5496879357043147e-37,2.6507081319775456e-17,0.01743436185156317,1.6299403698398157e-13,0.17518607816572518,7.239982081855882e-05,0.00021058157315943763,1.0,0.022486781235602778,5.167240809240641e-32,9.019453478355601e-28,2.4819606566451484e-22,9.640605354516556e-37,7.944407017030565e-55,0.024569189411887817,0.00017701406421986404,5.058877709402259e-18,1.0605792592911605e-54,0.11930312275725892,1.840476542636068e-19,6.332064713339286e-25,4.938314468010403e-09,0.29588161847799055,0.0002764201595175005,1.3161082007882343e-29,0.4920213272797355,5.177192071069258e-05,1.2686511817717876e-53,0.0027903063367097644
Lichinomycetes,0.22921555080329467,0.8990583197655332,0.15197758480816,0.11198646388218701,0.3297061612951204,0.47907207470129753,0.06292928441542488,0.09982547629581986,0.8990583197655332,0.24527616953831613,0.7833323380555574,0.5340624124144819,0.006690718202426871,0.184493640400381,0.21197521480443252,0.022486781235602778,1.0,0.03823499698604077,0.007195979655733782,0.3313618812109381,0.09090529967256662,0.08219598380843014,0.0010130298001671837,0.0001566934545905842,0.9616581739557919,0.7833323380555574,0.5021143611111828,0.10463364178448455,0.74854962497813,0.05743172978090249,0.01235366557653725,0.8540840475917134,0.8985104282605947,0.11234303667166025,0.3474491755457984,0.008364511264932213,0.851730571631259
Lipomycetes,0.010244887539642122,0.02768002911632801,2.1503279517428102e-16,0.6148100313855571,0.4218893539842441,1.5113899384339798e-14,5.674274640496436e-29,2.395223864198753e-07,1.732139313415736e-10,0.11134405598909383,0.0024324780941721584,0.005753150758940288,1.4177956277730548e-11,8.62328323319154e-20,1.6149528248851322e-17,5.167240809240641e-32,0.03823499698604077,1.0,0.24829212344505244,0.02215328456318072,0.4006459462989908,0.37227658967029165,2.5862294659906182e-14,6.472567624649213e-30,5.976091928539291e-08,3.009073282170766e-07,0.0004704602937679015,0.5194142547861126,9.659468964250533e-12,0.7833323380555574,3.5551886046991326e-39,0.0001750145251411709,2.1088514572873505e-07,5.932142101202543e-10,0.3929530764703017,0.3159253593125474,0.0010500169340761087
Malasseziomycetes,0.0003687577680627756,0.003995885396073402,1.256037881265346e-16,0.14263413207108686,0.13500122228271977,1.948509624064081e-14,5.49248856775113e-25,1.0874505027763102e-08,5.46086467480602e-11,0.009704141487094371,0.00020983981361105298,0.0002759730333020808,5.085573888709501e-13,1.1175195160657037e-18,3.794040719353042e-17,9.019453478355601e-28,0.007195979655733782,0.24829212344505244,1.0,0.0011405254736637379,0.04420808021125815,0.03324615550430733,9.518704473939202e-16,2.7599725964505265e-29,4.18249740034147e-09,2.5371941719916104e-08,3.78873032823156e-05,0.08996353461723358,4.487270320771754e-12,0.6788882414996539,5.167240809240641e-32,7.908330067386156e-06,1.4487191728288923e-08,2.256327438154003e-11,0.12255616206723924,0.7289330236478602,6.774830276777663e-05
Microbotryomycetes,0.6532268382526497,0.3535858832438673,1.303111313809267e-09,0.24829212344505244,0.7796130604662699,2.1449330753504722e-07,2.4188645494637966e-19,0.00012740859338707545,0.00029590569344197865,0.6983991735222788,0.09090529967256662,0.5256230191158854,4.692033062960998e-08,1.08840328840162e-11,4.560443964953642e-10,2.4819606566451484e-22,0.3313618812109381,0.02215328456318072,0.0011405254736637379,1.0,0.11841049144106805,0.07564893364848752,2.538183548843399e-10,2.933285507561265e-22,0.0041761931008892205,0.026691765399829596,0.02612705893820413,0.20511628460949616,3.287266840276885e-05,0.11930312275725892,6.636377257422695e-29,0.04420808021125815,0.013402222623133926,5.08189285337508e-06,0.8108006349031157,0.00018677183133508898,0.07922315605596329
Mortierellomycetes,0.08594546893142054,0.07787098123168322,2.9922783014139422e-16,0.941231918564737,0.7003782887913567,5.8330586658317414e-15,9.090096463847894e-34,1.6193325753679365e-06,2.2940254300945168e-10,0.3743036876080916,0.009270366640823676,0.03363826387538542,1.233966560901081e-10,3.969115642186468e-21,5.058877709402259e-18,9.640605354516556e-37,0.09090529967256662,0.4006459462989908,0.04420808021125815,0.11841049144106805,1.0,0.9753193857862438,2.4063281237064126e-13,3.343163922934668e-30,4.0379582828018734e-07,1.5047360445018e-06,0.0020055482111849586,0.9753193857862438,9.393386759987714e-12,0.4527144911307094,3.8840225303875603e-48,0.0011397035014636243,1.3120067029871316e-06,5.337769605811646e-09,0.6701066815809283,0.0311931275749165,0.004981170004486995
Mucoromycetes,0.021622008768037403,0.06846865432559479,1.6604300220969593e-20,0.9518501966289259,0.6863646392843523,5.36853689355391e-22,5.781341699842636e-54,7.378812880832846e-07,2.1503279517428102e-16,0.32293440162454407,0.006954500926029455,0.01880747272649816,3.060794572314891e-11,2.336812936326821e-30,1.384096795167529e-24,7.944407017030565e-55,0.08219598380843014,0.37227658967029165,0.03324615550430733,0.07564893364848752,0.9753193857862438,1.0,4.03742064187503e-14,7.89722266621991e-35,1.7928580707590667e-09,4.275096383426076e-10,0.0014195955739742616,0.9910913573747678,6.4364789710399546e-18,0.4499042999740484,3.497059586743746e-80,0.0005459536335134875,2.5481918060570183e-09,7.363669227013804e-10,0.6530143689566842,0.01658645394410548,0.0033051244264392554
Neocallimastigomycetes,1.3648969777860661e-12,0.0001360826176242709,0.0018708304290361753,1.1498837132401068e-10,2.3756690846298427e-06,1.8559338362544766e-05,0.004739835009708163,0.07930153742575731,2.1569118550912713e-07,2.538183548843399e-10,0.0006903697130648474,1.3230843142247542e-08,0.5653535618275295,0.0005840852129451313,0.0005085075587678435,0.024569189411887817,0.0010130298001671837,2.5862294659906182e-14,9.518704473939202e-16,2.538183548843399e-10,2.4063281237064126e-13,4.03742064187503e-14,1.0,0.9443492626289332,3.009073282170766e-07,6.486007755925197e-09,0.005639819177755468,9.952929247140703e-12,1.1934262397798542e-06,2.196998084536672e-09,0.0416169135950313,3.886137969492689e-05,3.788782423662564e-08,0.021173007024505152,2.9589692772431736e-06,1.7303844794329578e-17,0.00014282037839448672
Orbiliomycetes,2.8334852664421095e-35,4.760669301092993e-06,1.3107574263922033e-06,3.7922764239801325e-18,2.70609100557711e-08,4.337576557803824e-13,1.2474990595692536e-06,0.036491330013848036,1.882659188362878e-19,4.140926322591276e-20,3.72290047068742e-05,6.798263205696436e-17,0.5288646519869786,9.632726128642483e-09,1.4405727215356298e-08,0.00017701406421986404,0.0001566934545905842,6.472567624649213e-30,2.7599725964505265e-29,2.933285507561265e-22,3.343163922934668e-30,7.89722266621991e-35,0.9443492626289332,1.0,5.317042534267371e-17,4.993792527451325e-24,0.0009920834285608868,3.1908990569490654e-22,6.559220417071528e-17,6.120465810505647e-13,0.00046571612539240547,3.383175841366926e-08,1.9822412212694715e-20,0.0025682601409555065,3.621830596632615e-08,6.697302159385858e-40,1.3334744148744999e-06
Pezizomycetes,8.27272762092915e-09,0.7988950286752924,5.704357012407777e-05,0.0012177825811526552,0.13032425924836596,0.009773133750128622,6.06474423251828e-15,0.011230847534050632,0.7613092333752526,0.0037594060432022064,0.7111960679024181,0.09467271908066743,2.528125227117986e-05,2.0884289774480615e-06,4.486677288604021e-05,5.058877709402259e-18,0.9616581739557919,5.976091928539291e-08,4.18249740034147e-09,0.0041761931008892205,4.0379582828018734e-07,1.7928580707590667e-09,3.009073282170766e-07,5.317042534267371e-17,1.0,0.12844634176251066,0.3367127131851101,0.00015643472255025024,0.2619314627573613,0.002852383122812318,2.6699084317137134e-28,0.7888765489783934,0.47210027731472387,0.0032507399882253686,0.14442601612193337,1.928467198900468e-14,0.8035319271586658
Pichiomycetes,1.11136584069328e-17,0.8990583197655332,7.359831969047595e-10,0.005910883329771916,0.2583230007773447,4.956314556988092e-10,1.667581525741638e-68,0.0018442524391852793,0.000198334310705861,0.02086026651980992,0.39757456169719224,0.34700721722803374,1.1655248095585293e-06,5.733265251754524e-19,1.0683962862597574e-12,1.0605792592911605e-54,0.7833323380555574,3.009073282170766e-07,2.5371941719916104e-08,0.026691765399829596,1.5047360445018e-06,4.275096383426076e-10,6.486007755925197e-09,4.993792527451325e-24,0.12844634176251066,1.0,0.1473647176927125,0.0010066848482343622,5.292444390178506e-06,0.009063199493219145,1.6404205477192885e-168,0.3499773444384593,0.4422001724165538,0.00013392691760556855,0.2826570803995934,3.6659063401488426e-15,0.4253824346463925
Pneumocystomycetes,0.009362133005886593,0.3682669911462648,0.5463384261602734,0.005266214475419081,0.06392138110869693,0.8588299713937245,0.28518700635016697,0.32954828948402276,0.37213872703514617,0.016742055695947843,0.6708900255733573,0.07923242617253322,0.03252626247698752,0.6483750500996144,0.6988137961542094,0.11930312275725892,0.5021143611111828,0.0004704602937679015,3.78873032823156e-05,0.02612705893820413,0.0020055482111849586,0.0014195955739742616,0.005639819177755468,0.0009920834285608868,0.3367127131851101,0.1473647176927125,1.0,0.0036330661772838455,0.5256230191158854,0.003378260340132161,0.0718931265376276,0.5221165778221976,0.21670800032283188,0.3929530764703017,0.07026874045908536,2.528125227117986e-05,0.5578194780031256
Pucciniomycetes,0.23410791318530835,0.09562380876564627,1.5548336008831165e-10,0.9657068188550916,0.7039814774951015,2.6247473154163856e-08,6.475308374225466e-17,7.990362794544394e-06,1.3906977485109685e-05,0.44373447165739327,0.014956613716171616,0.07553163944832977,2.0939832616481626e-09,8.967747971164191e-12,1.1498837132401068e-10,1.840476542636068e-19,0.10463364178448455,0.5194142547861126,0.08996353461723358,0.20511628460949616,0.9753193857862438,0.9910913573747678,9.952929247140703e-12,3.1908990569490654e-22,0.00015643472255025024,0.0010066848482343622,0.0036330661772838455,1.0,1.9124239836783844e-06,0.49749753877245395,4.7656902354827654e-23,0.0038840313173780575,0.000506210589644685,2.1088514572873505e-07,0.6751567466893769,0.09874905368399886,0.010187393994832863
Saccharomycetes,5.167240809240641e-32,0.5479675858195208,0.00023120934270420552,7.076660079183152e-05,0.060520729729653,0.045546381235505896,8.135933060815657e-24,0.026893082117304686,0.1690348590243509,0.00010134782871496632,0.9720448001503266,0.009704141487094371,8.456606169377347e-05,1.4332522555628195e-06,0.00012490298027094504,6.332064713339286e-25,0.74854962497813,9.659468964250533e-12,4.487270320771754e-12,3.287266840276885e-05,9.393386759987714e-12,6.4364789710399546e-18,1.1934262397798542e-06,6.559220417071528e-17,0.2619314627573613,5.292444390178506e-06,0.5256230191158854,1.9124239836783844e-06,1.0,0.0005911531635697963,3.880747191361061e-59,0.858888876864615,0.014068881814925754,0.010340516287643573,0.06868405115966737,1.9736348020799198e-22,0.8990583197655332
Schizosaccharomycetes,0.14269128603885373,0.05412215091191511,3.077260000543999e-06,0.5442063408330305,0.3898575935618023,8.867984963875902e-05,7.166920255734167e-08,3.6602293126403554e-05,0.0014697414289080964,0.21604357473400537,0.011240213564589395,0.05748630781246275,9.334746841463987e-08,3.0352433543023096e-06,5.714311617579056e-06,4.938314468010403e-09,0.05743172978090249,0.7833323380555574,0.6788882414996539,0.11930312275725892,0.4527144911307094,0.4499042999740484,2.196998084536672e-09,6.120465810505647e-13,0.002852383122812318,0.009063199493219145,0.003378260340132161,0.49749753877245395,0.0005911531635697963,1.0,6.951534423617216e-10,0.0059364644800179965,0.005698995967478857,1.000055996429286e-05,0.3692695744998665,0.8246152023607419,0.009704141487094371
Sordariomycetes,0.0,0.0013064836180768438,0.0013287365162362684,3.9254303428384856e-16,1.234571052678777e-05,8.230052570162194e-27,2.219857156111559e-07,0.683378911985773,3.144307388853426e-116,5.659694814056671e-21,0.007770620580493352,8.466743382499345e-17,0.25570963610004427,1.7010495937811068e-09,1.717573965335872e-07,0.29588161847799055,0.01235366557653725,3.5551886046991326e-39,5.167240809240641e-32,6.636377257422695e-29,3.8840225303875603e-48,3.497059586743746e-80,0.0416169135950313,0.00046571612539240547,2.6699084317137134e-28,1.6404205477192885e-168,0.0718931265376276,4.7656902354827654e-23,3.880747191361061e-59,6.951534423617216e-10,1.0,4.022092652565421e-05,2.9408748783357624e-54,0.30193890190806333,1.6131399878425232e-05,1.0422563004324908e-68,0.0008013147105751765
Taphrinomycetes,0.0077276315190035446,0.6988137961542094,0.04480324130423926,0.00744355736851677,0.13508288656815318,0.3929530764703017,0.003336147413956356,0.053775424641291474,0.8840272494282329,0.026691765399829596,0.896470465208485,0.17159487911062143,0.0008149260535978946,0.054865043888060065,0.07787098123168322,0.0002764201595175005,0.8540840475917134,0.0001750145251411709,7.908330067386156e-06,0.04420808021125815,0.0011397035014636243,0.0005459536335134875,3.886137969492689e-05,3.383175841366926e-08,0.7888765489783934,0.3499773444384593,0.5221165778221976,0.0038840313173780575,0.858888876864615,0.0059364644800179965,4.022092652565421e-05,1.0,0.5256230191158854,0.04528844553039322,0.1473647176927125,1.379631573209999e-06,0.9836303213400015
Tremellomycetes,8.444503668313618e-10,0.9735412951041421,4.0224927667213813e-07,0.003255259738669221,0.19755512035843745,4.5449879309906874e-05,7.746543215712242e-28,0.004212728566015146,0.12665554053496034,0.010805927121168278,0.5256230191158854,0.21056718406240965,4.704645612401499e-06,9.798297744852381e-11,4.737547675887173e-08,1.3161082007882343e-29,0.8985104282605947,2.1088514572873505e-07,1.4487191728288923e-08,0.013402222623133926,1.3120067029871316e-06,2.5481918060570183e-09,3.788782423662564e-08,1.9822412212694715e-20,0.47210027731472387,0.4422001724165538,0.21670800032283188,0.000506210589644685,0.014068881814925754,0.005698995967478857,2.9408748783357624e-54,0.5256230191158854,1.0,0.0006205162792297619,0.21670800032283188,2.2173859902294886e-14,0.5797802674913255
Trigonopsidomycetes,2.6247473154163856e-08,0.04624920517811622,0.6388134064002639,1.641443542408463e-06,0.002295556155698118,0.07035401555665144,0.9720448001503266,0.8100888403227392,0.00289075399827992,4.553749366147466e-06,0.14232344796601712,0.00016673694813089529,0.11735916120936044,0.4553624021822085,0.4032232957683532,0.4920213272797355,0.11234303667166025,5.932142101202543e-10,2.256327438154003e-11,5.08189285337508e-06,5.337769605811646e-09,7.363669227013804e-10,0.021173007024505152,0.0025682601409555065,0.0032507399882253686,0.00013392691760556855,0.3929530764703017,2.1088514572873505e-07,0.010340516287643573,1.000055996429286e-05,0.30193890190806333,0.04528844553039322,0.0006205162792297619,1.0,0.0026840083784946413,1.694434232650997e-13,0.07509681431123894
Umbelopsidomycetes,0.9339169317223284,0.3810172436607068,0.002545069108474299,0.6657939465873983,0.9745943699022771,0.022905653642296808,0.0003225889495106296,0.0036330661772838455,0.11203775173813091,0.9768273473141869,0.15970341481819045,0.5649407969390019,4.967365761321397e-05,0.0030842334797705215,0.004199169776360511,5.177192071069258e-05,0.3474491755457984,0.3929530764703017,0.12255616206723924,0.8108006349031157,0.6701066815809283,0.6530143689566842,2.9589692772431736e-06,3.621830596632615e-08,0.14442601612193337,0.2826570803995934,0.07026874045908536,0.6751567466893769,0.06868405115966737,0.3692695744998665,1.6131399878425232e-05,0.1473647176927125,0.21670800032283188,0.0026840083784946413,1.0,0.1537723002623174,0.16869208581604345
