,Agaricomycetes,Blastocladiomycetes,Chytridiomycetes,Cystobasidiomycetes,Dimargaritomycetes,Dipodascomycetes,Dothideomycetes,Entomophthoromycetes,Eurotiomycetes,Exobasidiomycetes,Geoglossomycetes,Glomeromycetes,Harpellomycetes,Kickxellomycetes,Lecanoromycetes,Leotiomycetes,Lichinomycetes,Lipomycetes,Malasseziomycetes,Microbotryomycetes,Mortierellomycetes,Mucoromycetes,Neocallimastigomycetes,Orbiliomycetes,Pezizomycetes,Pichiomycetes,Pneumocystomycetes,Pucciniomycetes,Saccharomycetes,Schizosaccharomycetes,Sordariomycetes,Taphrinomycetes,Tremellomycetes,Trigonopsidomycetes,Umbelopsidomycetes,Ustilaginomycetes,Zoopagomycetes
Agaricomycetes,1.0,0.2284431683694579,1.659043520741578e-21,0.3018765111459785,0.8982080615196302,1.4121793171007996e-34,1.939501228305347e-159,1.140919190101229e-05,2.7885253330834053e-37,0.8990583197655332,0.0397156610489595,0.21165297953229814,8.010322571164845e-10,8.174370705125954e-47,5.806490276562237e-31,2.6489355561607283e-108,0.22921555080329467,0.010244887539642122,0.0003687577680627756,0.6532268382526497,0.08594546893142054,0.021622008768037403,1.3648969777860661e-12,2.8334852664421095e-35,8.27272762092915e-09,1.11136584069328e-17,0.009362133005886593,0.23410791318530835,5.167240809240641e-32,0.14269128603885373,0.0,0.0077276315190035446,8.444503668313618e-10,2.6247473154163856e-08,0.9339169317223284,1.4304815638935095e-06,0.02612705893820413
Blastocladiomycetes,0.2284431683694579,1.0,0.05825619262483675,0.1061841637561114,0.3606949952249561,0.28518700635016697,0.014006450993574907,0.04633708756055035,0.7208562704968946,0.2539511395698222,0.6485273378655865,0.605604150836272,0.0015032341802928592,0.07239081939907022,0.0891431985823029,0.0032884559690495806,0.8990583197655332,0.02768002911632801,0.003995885396073402,0.3535858832438673,0.07787098123168322,0.06846865432559479,0.0001360826176242709,4.760669301092993e-06,0.7988950286752924,0.8990583197655332,0.3682669911462648,0.09562380876564627,0.5479675858195208,0.05412215091191511,0.0013064836180768438,0.6988137961542094,0.9735412951041421,0.04624920517811622,0.3810172436607068,0.004147691980423805,0.7039814774951015
Chytridiomycetes,1.659043520741578e-21,0.05825619262483675,1.0,2.797761366607924e-08,0.002115040209172797,0.02471510951702874,0.2640685984462357,0.5051400150506361,4.704645612401499e-06,1.1612032675965118e-08,0.19432189502840105,3.485812471062565e-06,0.024569189411887817,0.7111960679024181,0.6148100313855571,0.020380337910559335,0.15197758480816,2.1503279517428102e-16,1.256037881265346e-16,1.303111313809267e-09,2.9922783014139422e-16,1.6604300220969593e-20,0.0018708304290361753,1.3107574263922033e-06,5.704357012407777e-05,7.359831969047595e-10,0.5463384261602734,1.5548336008831165e-10,0.00023120934270420552,3.077260000543999e-06,0.0013287365162362684,0.04480324130423926,4.0224927667213813e-07,0.6388134064002639,0.002545069108474299,1.3878589578120183e-25,0.09127860494604265
Cystobasidiomycetes,0.3018765111459785,0.1061841637561114,2.797761366607924e-08,1.0,0.6951715253176699,3.0352433543023096e-06,4.949884565945019e-12,2.2525533170050887e-05,0.0003022167939673271,0.46517950133500247,0.01986062641855577,0.10478237928490124,1.3290574161797293e-08,9.368060967963076e-09,4.00897277114126e-08,4.723188783805523e-14,0.11198646388218701,0.6148100313855571,0.14263413207108686,0.24829212344505244,0.941231918564737,0.9518501966289259,1.1498837132401068e-10,3.7922764239801325e-18,0.0012177825811526552,0.005910883329771916,0.005266214475419081,0.9657068188550916,7.076660079183152e-05,0.5442063408330305,3.9254303428384856e-16,0.00744355736851677,0.003255259738669221,1.641443542408463e-06,0.6657939465873983,0.17521675450743163,0.015208648874101146
Dimargaritomycetes,0.8982080615196302,0.3606949952249561,0.002115040209172797,0.6951715253176699,1.0,0.01986062641855577,0.0002596337444990359,0.003210711813233317,0.10004219291766576,0.9490652122581317,0.14743016843280357,0.5329351436500598,4.1414774526639344e-05,0.0025708538515611763,0.003555762651741222,4.098103699235916e-05,0.3297061612951204,0.4218893539842441,0.13500122228271977,0.7796130604662699,0.7003782887913567,0.6863646392843523,2.3756690846298427e-06,2.70609100557711e-08,0.13032425924836596,0.2583230007773447,0.06392138110869693,0.7039814774951015,0.060520729729653,0.3898575935618023,1.234571052678777e-05,0.13508288656815318,0.19755512035843745,0.002295556155698118,0.9745943699022771,0.16973875852144288,0.15439135432634396
Dipodascomycetes,1.4121793171007996e-34,0.28518700635016697,0.02471510951702874,3.0352433543023096e-06,0.01986062641855577,1.0,4.271628909362895e-10,0.09562380876564627,0.00047509364106312213,1.9124239836783844e-06,0.6793246792943143,0.0004397857427616976,0.0007816042890434059,0.009704141487094371,0.045097964764672246,3.480433549772873e-13,0.47907207470129753,1.5113899384339798e-14,1.948509624064081e-14,2.1449330753504722e-07,5.8330586658317414e-15,5.36853689355391e-22,1.8559338362544766e-05,4.337576557803824e-13,0.009773133750128622,4.956314556988092e-10,0.8588299713937245,2.6247473154163856e-08,0.045546381235505896,8.867984963875902e-05,8.230052570162194e-27,0.3929530764703017,4.5449879309906874e-05,0.07035401555665144,0.022905653642296808,2.6008824873139385e-26,0.49749753877245395
Dothideomycetes,1.939501228305347e-159,0.014006450993574907,0.2640685984462357,4.949884565945019e-12,0.0002596337444990359,4.271628909362895e-10,1.0,0.7888765489783934,7.128242660075082e-43,9.685676229177093e-15,0.0639173763168501,4.3688921690384795e-11,0.0569751931928199,0.013959445541999979,0.01986062641855577,0.02592175818071978,0.06292928441542488,5.674274640496436e-29,5.49248856775113e-25,2.4188645494637966e-19,9.090096463847894e-34,5.781341699842636e-54,0.004739835009708163,1.2474990595692536e-06,6.06474423251828e-15,1.667581525741638e-68,0.28518700635016697,6.475308374225466e-17,8.135933060815657e-24,7.166920255734167e-08,2.219857156111559e-07,0.003336147413956356,7.746543215712242e-28,0.9720448001503266,0.0003225889495106296,4.7202176226226566e-51,0.01653106909549654
Entomophthoromycetes,1.140919190101229e-05,0.04633708756055035,0.5051400150506361,2.2525533170050887e-05,0.003210711813233317,0.09562380876564627,0.7888765489783934,1.0,0.011972170808142498,8.170578957424377e-05,0.12794902261827346,0.0010736189311777178,0.2640685984462357,0.38125139655607504,0.3474491755457984,0.851730571631259,0.09982547629581986,2.395223864198753e-07,1.0874505027763102e-08,0.00012740859338707545,1.6193325753679365e-06,7.378812880832846e-07,0.07930153742575731,0.036491330013848036,0.011230847534050632,0.0018442524391852793,0.32954828948402276,7.990362794544394e-06,0.026893082117304686,3.6602293126403554e-05,0.683378911985773,0.053775424641291474,0.004212728566015146,0.8100888403227392,0.0036330661772838455,2.195853678524285e-09,0.0758139484659696
Eurotiomycetes,2.7885253330834053e-37,0.7208562704968946,4.704645612401499e-06,0.0003022167939673271,0.10004219291766576,0.00047509364106312213,7.128242660075082e-43,0.011972170808142498,1.0,0.000598248391891604,0.7819310683803349,0.036494789386396775,2.1844353132714117e-05,1.382807929577326e-10,4.156655509984641e-07,2.5496879357043147e-37,0.8990583197655332,1.732139313415736e-10,5.46086467480602e-11,0.00029590569344197865,2.2940254300945168e-10,2.1503279517428102e-16,2.1569118550912713e-07,1.882659188362878e-19,0.7613092333752526,0.000198334310705861,0.37213872703514617,1.3906977485109685e-05,0.1690348590243509,0.0014697414289080964,3.144307388853426e-116,0.8840272494282329,0.12665554053496034,0.00289075399827992,0.11203775173813091,6.747343792100023e-21,0.8850844376408261
Exobasidiomycetes,0.8990583197655332,0.2539511395698222,1.1612032675965118e-08,0.46517950133500247,0.9490652122581317,1.9124239836783844e-06,9.685676229177093e-15,8.170578957424377e-05,0.000598248391891604,1.0,0.060040270400957114,0.3367127131851101,3.822038742545257e-08,9.576153422936819e-10,1.021817931460371e-08,2.6507081319775456e-17,0.24527616953831613,0.11134405598909383,0.009704141487094371,0.6983991735222788,0.3743036876080916,0.32293440162454407,2.538183548843399e-10,4.140926322591276e-20,0.0037594060432022064,0.02086026651980992,0.016742055695947843,0.44373447165739327,0.00010134782871496632,0.21604357473400537,5.659694814056671e-21,0.026691765399829596,0.010805927121168278,4.553749366147466e-06,0.9768273473141869,0.005845410509996451,0.05050655492588861
