,Agaricales,Boletales,Botryosphaeriales,Cantharellales,Capnodiales,Chaetothyriales,Chytridiales,Cladosporiales,Cystofilobasidiales,Diaporthales,Dipodascales,Diversisporales,Dothideales,Entomophthorales,Erysiphales,Eurotiales,Filobasidiales,Glomerellales,Helotiales,Hymenochaetales,Hypocreales,Kickxellales,Lecanorales,Lipomycetales,Magnaporthales,Microascales,Microstromatales,Mortierellales,Mucorales,Mycosphaerellales,Neocallimastigales,Onygenales,Ophiostomatales,Orbiliales,Ostropales,Pezizales,Phaffomycetales,Pichiales,Pleosporales,Polyporales,Pucciniales,Rhizophydiales,Russulales,Saccharomycetales,Serinales,Sordariales,Spizellomycetales,Teloschistales,Trapeliales,Tremellales,Trichosporonales,Trypetheliales,Ustilaginales,Xylariales,Zoopagales
Agaricales,1.0,2.0769993143891867e-06,4.349995560309047e-06,0.7029040602383698,0.060055773408773834,0.5843666121619548,2.137106453910836e-08,0.006022463322999509,0.4996823159221172,5.68808471383755e-08,0.04970338332776049,0.9633935811931074,0.00021065482699084726,0.12875535443362252,0.010059973744286922,0.9138561108253589,0.22580193280275956,0.00035440127507831094,8.187838139739111e-22,0.49493933022268477,8.361889665032542e-11,0.2161562952758432,1.45483257400708e-06,0.1004081086010476,0.000244985465934632,3.633374380468424e-07,0.14897695312939502,0.0776294318024211,0.0005627339676970471,1.63162001815193e-07,1.1565430745347407e-05,0.24634280146408605,0.00024501709929865555,1.611538842176812e-05,0.015948266199865453,0.17744330427303515,0.14563355590137783,0.9713168499010014,2.5931458113675193e-08,0.7643903202164504,0.07237259040416383,0.2845572852529069,0.07713959101479638,0.06621319841296082,0.9578244176682335,3.7368970572156396e-14,0.8944201511206664,0.3659206528905659,0.03389803715197144,0.6703681980261899,0.07459402036869094,2.5613774343288743e-05,0.0008684004214243179,7.162508874402753e-13,0.23798177197047723
Boletales,2.0769993143891867e-06,1.0,1.1772141665805666e-11,0.020296213365116698,0.0004796644354508845,0.0022710155944339477,2.9094187244737466e-15,1.3806905347281691e-05,0.38923935059789255,6.089884951288987e-16,2.628977704114841e-06,0.09337743485967352,1.2031811514302074e-07,0.0017038691265508629,0.49666095157636986,0.010674734720924142,0.8215826136782985,1.2031811514302074e-07,6.018379043934588e-41,0.07388319800978829,1.3367553001443043e-26,0.00181865859424381,3.389476146095047e-14,0.9036748004690812,1.7787070149282938e-08,2.40071574364354e-15,0.9713168499010014,0.5990748518812007,0.8216475981544034,9.520398768720434e-19,2.1077803233998493e-09,0.05467756859228555,7.047313194978612e-10,3.4723307089540696e-09,5.68460856178036e-05,7.5028787318236055e-06,0.0013310745814533078,0.034385164271551694,4.555551337747016e-23,0.00023414712544703636,0.9807993372894199,0.004815589606733717,0.4645197009732972,6.980135097234261e-07,0.00036679814194912465,4.063422403030758e-28,0.14784478092159054,0.0014395220414254283,0.00018832819904428458,0.005719205503686663,0.0002465551196293005,6.752406686798027e-09,0.3919849445466822,9.328494287998682e-27,0.0015076892661058602
Botryosphaeriales,4.349995560309047e-06,1.1772141665805666e-11,1.0,0.005175666656165342,0.30819927545656833,0.001411904622082055,0.6314736457623396,0.7194029488733185,0.0004156415896597765,0.888481994853211,0.01687153205001923,0.0020495775225172603,0.7674002319985099,0.19002970544186093,1.9602528260182223e-07,0.00039237707956755986,0.00011687228472766273,0.9893682827571526,0.9577943148048542,1.8938007246781782e-05,0.1420549908579557,0.05381264020582728,0.5090818667585909,2.3320328314362903e-05,0.76782454815783,0.5682711049326127,4.9157832945976085e-05,7.845282035056362e-07,5.211811372710568e-10,0.16500942049550815,0.42131883786968466,1.1594803696924235e-06,0.3059669988609181,0.4579767228693838,0.5432020532691669,0.0018210508068024721,0.11681618179216964,0.0005120925503716824,0.04735895204687659,4.409719158216007e-06,4.409719158216007e-06,0.05839157393446466,4.833978695854828e-07,0.004858920882867901,1.6060172628604176e-05,0.8324233409772092,0.002500653460431093,0.007349203382623393,0.4052772648367469,0.001651588358650516,0.13662222414121786,0.5087915556064501,1.8089879561744609e-09,0.6469246834227377,0.034061951767236476
Cantharellales,0.7029040602383698,0.020296213365116698,0.005175666656165342,1.0,0.23504095403102887,0.9807993372894199,0.0006727948479522917,0.06130404065521581,0.42091615684707295,0.003697749259590506,0.44093527386713893,0.754717907243076,0.008239892634218034,0.3611835484633112,0.025678238340729593,0.8072479016485704,0.213293583989703,0.015689935670489142,0.0004684408466146975,0.4418849976155634,0.03460046931567497,0.5455004185922088,0.015689935670489142,0.11222051810361149,0.021393304401086853,0.011247717361903598,0.1525843675222739,0.13853830863958602,0.03972173127216753,0.042707628457421966,0.001411904622082055,0.32333471075531117,0.05669676148301389,0.0017308817024988298,0.10982646547895411,0.7329161272006549,0.4185328701769005,0.7408590778185634,0.09460669734672814,0.6031628103521686,0.09926049511410193,0.5969261049849391,0.15095089538960746,0.5607830050052907,0.6988053910116218,0.0014521906332194319,0.7140882981801331,0.7808936382691439,0.16749352885636717,0.9807993372894199,0.321501266270074,0.002360601293038867,0.01098156397511397,0.0033574869161317046,0.5955337716580991
Capnodiales,0.060055773408773834,0.0004796644354508845,0.30819927545656833,0.23504095403102887,1.0,0.19838014730842796,0.13725363519963915,0.5978872956956215,0.053631076736358405,0.33704931049734754,0.5268865694494256,0.1397719320690411,0.24295276409742844,0.8349878108077609,0.0010940925869552566,0.11976884323242835,0.021185336265595465,0.3659206528905659,0.2430892616481693,0.037761104543862674,0.8847665521240914,0.5722110725703119,0.5796517702495905,0.008644430365610063,0.48244309996394236,0.529367903550709,0.013370600862189783,0.00716009784952307,0.001100634505672888,0.8868864297715682,0.09891204663091559,0.019325729645791684,0.8094174380741654,0.11102593417105129,0.7511693993745777,0.2878267026254933,0.728649217756193,0.11051920432153702,0.8906839639078121,0.048717642914527695,0.006050311682823794,0.5547404836534889,0.007507868517136416,0.3955763806832725,0.06721562414972744,0.32004146817658097,0.1335708755555236,0.3267636861876026,0.8906839639078121,0.1915314031307009,0.8062255432447241,0.12974878875005072,0.00032313076791981235,0.4235961151664519,0.5021560780984231
Chaetothyriales,0.5843666121619548,0.0022710155944339477,0.001411904622082055,0.9807993372894199,0.19838014730842796,1.0,9.158040583526462e-05,0.04175680205544995,0.3564750321711823,0.0005960196928183101,0.37298806796071243,0.7137738054706529,0.003999878696234636,0.3267636861876026,0.010861718548136386,0.7510632399962112,0.16201226795605672,0.0076726386243598215,9.327504333722632e-06,0.3407511008936632,0.007043336183006393,0.5094882472076343,0.004021987693229599,0.07459402036869094,0.009766131492704796,0.0024700677513424265,0.11033290898489151,0.0734532742465913,0.008239892634218034,0.011806800814284125,0.0004959166295714893,0.2038659359532206,0.026209076515826366,0.0006318843473785978,0.0812072762427749,0.7064236312773505,0.38093719483645255,0.6858497823258132,0.03261282992888689,0.48221227833202374,0.05839157393446466,0.5730363689756187,0.07818313984430114,0.49566540501800616,0.5931197087557096,7.7837644548702e-05,0.6659592882866466,0.7674002319985099,0.13558001433965633,0.9578244176682335,0.27513754515753036,0.0008952772511381916,0.0025940995066980562,0.0002595527273531053,0.5643110600980266
Chytridiales,2.137106453910836e-08,2.9094187244737466e-15,0.6314736457623396,0.0006727948479522917,0.13725363519963915,9.158040583526462e-05,1.0,0.43032406980564414,4.1613499000801254e-05,0.4782768156915853,0.0017875220221556657,0.0002451307630987617,0.9375128189000238,0.07340793489985623,5.404528317674829e-09,1.9356899561314045e-05,1.1852351847109866e-05,0.6755694476084801,0.47270744146093796,4.441587764158598e-07,0.02096624613684766,0.012938613612721394,0.19362091425457847,1.924563718600562e-06,0.4352440966521549,0.22694288502921015,4.484496091788064e-06,1.3253797057932793e-08,4.687392127320026e-13,0.02992614658080907,0.6970465187564848,9.40506430957549e-09,0.09664215885080359,0.7329161272006549,0.292937947793945,8.922110063641295e-05,0.036475537295374734,3.124382507038002e-05,0.004293449132501171,2.85358756929503e-08,1.9820515848121002e-07,0.01545821183745323,5.453258736196244e-09,0.0003093500044278373,1.7829749101066267e-07,0.3837170498216318,0.00034579110178728896,0.0008129883138072165,0.19838014730842796,0.0001283568160665793,0.04151408685547377,0.7927423566321242,9.936929537064654e-12,0.24663247717171805,0.0066881623659321805
Cladosporiales,0.006022463322999509,1.3806905347281691e-05,0.7194029488733185,0.06130404065521581,0.5978872956956215,0.04175680205544995,0.43032406980564414,1.0,0.0098243040458149,0.7883772140150256,0.17118120141862078,0.03172609208284258,0.5593066309159246,0.44509271310612114,7.9451669979981e-05,0.020521554675898182,0.0033745259632492236,0.7502857342148143,0.7035927456090351,0.004290021371956701,0.5740573529431684,0.23219095789323346,0.9213930961735028,0.0011281371179127718,0.9211979250482694,0.9713168499010014,0.0018842478092594784,0.000561905086041539,4.129320426219397e-05,0.5875132815581846,0.2969719156345897,0.001591938151548805,0.7040894271375067,0.32244363390071074,0.8478773194052908,0.06416299512777768,0.3466442848509376,0.019702778396603508,0.36712080419792587,0.004803674205556031,0.0006123553234277959,0.229512346238275,0.0005563850389128431,0.10503411261042478,0.007645613683082884,0.800965372630335,0.03158195470874633,0.09079333378005872,0.7153391515311445,0.0414425474576241,0.39619991591867554,0.36003242345301595,1.445401836878071e-05,0.94344385580989,0.1860898219201444
Cystofilobasidiales,0.4996823159221172,0.38923935059789255,0.0004156415896597765,0.42091615684707295,0.053631076736358405,0.3564750321711823,4.1613499000801254e-05,0.0098243040458149,1.0,0.00024501709929865555,0.08863828578812641,0.6473318452830712,0.0009195405117994862,0.09783207595155867,0.24019477227601935,0.5171851617794303,0.6926468953129925,0.0017576870662889476,2.253312721671568e-05,0.8477224878027293,0.002502130029486625,0.15690148959776723,0.0012157501213626832,0.48386942879232314,0.0022722270413578784,0.0008205833456841371,0.5761757967969223,0.6988053910116218,0.4782768156915853,0.003474915493190856,0.00012986867666858992,0.9346240819785231,0.005987470983091534,0.00016389571967304596,0.019805830289666145,0.18775465233435853,0.11318326988114456,0.5979574823023917,0.008349453850310263,0.5976164100562378,0.5039769602833889,0.19150097386729828,0.7491234774760545,0.11969541704092646,0.5397743931013085,7.784958180682123e-05,0.7140882981801331,0.24863322410382535,0.03474329149556434,0.39578698106374377,0.0725283376245917,0.00022762195227189538,0.19076726901083293,0.00019269424490045496,0.17371505745244045
Diaporthales,5.68808471383755e-08,6.089884951288987e-16,0.888481994853211,0.003697749259590506,0.33704931049734754,0.0005960196928183101,0.4782768156915853,0.7883772140150256,0.00024501709929865555,1.0,0.010861718548136386,0.001370959847565106,0.6652977342049764,0.2038659359532206,3.452842047655711e-08,0.00012986867666858992,6.486398356859291e-05,0.9150391350169468,0.8908897014006341,2.6384886737133874e-06,0.11969541704092646,0.05137190853216779,0.5707214292400495,1.1852351847109866e-05,0.8617730927708818,0.6409143889269118,2.6216619593350643e-05,7.668788223351446e-08,4.87064590287027e-13,0.15042334603302263,0.31984314041438067,3.8407572929174965e-08,0.32705411745856433,0.3503685819510081,0.5978872956956215,0.0005977110121639021,0.12023227245244335,0.00021065482699084726,0.02866290812670446,1.0440859172010164e-07,1.2286710338485958e-06,0.057440810077218726,2.788016469284147e-08,0.0020495775225172603,7.686431710097903e-07,0.9578244176682335,0.0017807394224240837,0.004717133187458196,0.44865429785985783,0.000793902286454503,0.1410158346306144,0.39841710276936765,4.441696114118571e-11,0.7329161272006549,0.030220524354195918
