,Agaricales,Boletales,Botryosphaeriales,Cantharellales,Capnodiales,Chaetothyriales,Chytridiales,Cladosporiales,Cystofilobasidiales,Diaporthales,Dipodascales,Diversisporales,Dothideales,Entomophthorales,Erysiphales,Eurotiales,Filobasidiales,Glomerellales,Helotiales,Hymenochaetales,Hypocreales,Kickxellales,Lecanorales,Lipomycetales,Magnaporthales,Microascales,Microstromatales,Mortierellales,Mucorales,Mycosphaerellales,Neocallimastigales,Onygenales,Ophiostomatales,Orbiliales,Ostropales,Pezizales,Phaffomycetales,Pichiales,Pleosporales,Polyporales,Pucciniales,Rhizophydiales,Russulales,Saccharomycetales,Serinales,Sordariales,Spizellomycetales,Teloschistales,Trapeliales,Tremellales,Trichosporonales,Trypetheliales,Ustilaginales,Xylariales,Zoopagales
Dipodascales,0.04970338332776049,2.628977704114841e-06,0.01687153205001923,0.44093527386713893,0.5268865694494256,0.37298806796071243,0.0017875220221556657,0.17118120141862078,0.08863828578812641,0.010861718548136386,1.0,0.2540224123515395,0.026442720164764386,0.7300631243398825,0.0005451237890447811,0.20207472321046827,0.031301863742770636,0.04932163516213642,0.0005451237890447811,0.04074879652126938,0.11771133494574527,0.9815878812597094,0.05177871025846433,0.010639623140185874,0.0699175898411462,0.0367259882848747,0.01782476508356138,0.003936322596371458,4.021015059942354e-05,0.1479796672922697,0.0044732720297520085,0.010887722795696024,0.18647731435467535,0.005546045484567839,0.2821307596874842,0.5682711049326127,0.8360159141067255,0.18775465233435853,0.3305762904081641,0.04020477493172726,0.005365040639858227,0.9438037776642124,0.0035029112559296733,0.7919923395567064,0.07322202806359142,0.002920006802564541,0.24269273133836444,0.6255904693878285,0.4004884108872032,0.35985350273620725,0.7127202446891479,0.0075630774893031116,3.432488367015554e-05,0.008017068424419852,0.9039209025491973
Diversisporales,0.9633935811931074,0.09337743485967352,0.0020495775225172603,0.754717907243076,0.1397719320690411,0.7137738054706529,0.0002451307630987617,0.03172609208284258,0.6473318452830712,0.001370959847565106,0.2540224123515395,1.0,0.003724798937895029,0.2289229285802949,0.07322202806359142,0.9150391350169468,0.37220154301090846,0.007123083987924437,0.00015835345712688907,0.7303833553338405,0.013288115316414703,0.35622793990148177,0.00616086418385273,0.22330779668729367,0.009473215810240972,0.004330122279311731,0.2878267026254933,0.3114163143917976,0.1415921089679686,0.01716595028752383,0.0005776982890122773,0.6055527175073219,0.025276807652856833,0.0007181209664817521,0.0586914976186018,0.4670393639537867,0.2656199630813861,0.9864515544145238,0.03972173127216753,0.94344385580989,0.21658246833961906,0.40300066026380266,0.34160775863677706,0.33237537239900294,0.9819778711024539,0.0005054258614671124,0.9482681100194102,0.5368385747442371,0.09567100124371676,0.751309860471399,0.19002970544186093,0.000984191060660739,0.04298187890552246,0.0011699906973940738,0.39178344656278874
Dothideales,0.00021065482699084726,1.2031811514302074e-07,0.7674002319985099,0.008239892634218034,0.24295276409742844,0.003999878696234636,0.9375128189000238,0.5593066309159246,0.0009195405117994862,0.6652977342049764,0.026442720164764386,0.003724798937895029,1.0,0.15480804035751666,2.6384886737133874e-06,0.0015746390579744658,0.000283919839366581,0.781575715235734,0.7000070313163027,0.0002050798210984187,0.1460667420244539,0.05329310347394452,0.3904640656542801,7.7837644548702e-05,0.5896077324576371,0.4287807907229542,0.00014653669418209257,1.8654766018811453e-05,5.222868005169112e-07,0.1580331604357495,0.6858497823258132,4.813424734740707e-05,0.24728710199430326,0.7194566792415545,0.4195886405829778,0.006050311682823794,0.10129610866372202,0.0016317352952910937,0.06867139920988116,0.00017229560802321293,2.9286297497613414e-05,0.055619999081690616,1.6494814437599313e-05,0.011946253227004251,0.00032461187830731337,0.6058928453312769,0.003999878696234636,0.012245007867070237,0.3192818885761946,0.0041642844579452476,0.11843065031325901,0.7674002319985099,2.41415580633898e-07,0.47988923250001375,0.03750778321218802
Entomophthorales,0.12875535443362252,0.0017038691265508629,0.19002970544186093,0.3611835484633112,0.8349878108077609,0.3267636861876026,0.07340793489985623,0.44509271310612114,0.09783207595155867,0.2038659359532206,0.7300631243398825,0.2289229285802949,0.15480804035751666,1.0,0.0028923726698761804,0.21184985045795537,0.04116391811644204,0.24549343298894863,0.13136382280781886,0.07818313984430114,0.6523837746884847,0.7491754615052992,0.3941913704727667,0.018148033508830198,0.3323853259815562,0.3503685819510081,0.02711309667257502,0.017459158918250034,0.003573841515204955,0.6619641022368438,0.05587248277497516,0.045149094478038984,0.6055527175073219,0.06350354509095738,0.588482475925438,0.4532152704143792,0.9067163187389387,0.19312388565813543,0.8906782747068839,0.10649649809793862,0.013879848364136357,0.7277425916669852,0.018704722144772798,0.588482475925438,0.13712132318469542,0.18474362235993008,0.2161562952758432,0.4847095235449717,0.719732589243897,0.3151722993008509,0.9864515544145238,0.07532442530562537,0.0010084167209818394,0.2608778347716663,0.6858497823258132
Erysiphales,0.010059973744286922,0.49666095157636986,1.9602528260182223e-07,0.025678238340729593,0.0010940925869552566,0.010861718548136386,5.404528317674829e-09,7.9451669979981e-05,0.24019477227601935,3.452842047655711e-08,0.0005451237890447811,0.07322202806359142,2.6384886737133874e-06,0.0028923726698761804,1.0,0.025778884528280394,0.5193297818241966,4.613924001502336e-06,1.2658952376011696e-10,0.08522833423035256,3.106973437042277e-07,0.004305900602626661,3.630251367493319e-07,0.7329161272006549,3.808010853782683e-06,1.8096650840212455e-07,0.6319670781185356,0.3503685819510081,0.43812070471181613,7.845282035056362e-07,1.7829749101066267e-07,0.09158678921518214,6.672052210109857e-06,2.41415580633898e-07,0.00023414712544703636,0.0017735046358651405,0.0028954594120311314,0.04327356553244773,2.3506574952043644e-06,0.019031859105941476,0.6374834553959481,0.007423711887637829,0.2856950812801134,0.0007043707448938376,0.015948266199865453,1.702528995353003e-09,0.1033661048754467,0.006303337899624657,0.0005451237890447811,0.015689935670489142,0.001100634505672888,3.7934440956156e-07,0.9903134269234761,6.752406686798027e-09,0.004383855996301154
Eurotiales,0.9138561108253589,0.010674734720924142,0.00039237707956755986,0.8072479016485704,0.11976884323242835,0.7510632399962112,1.9356899561314045e-05,0.020521554675898182,0.5171851617794303,0.00012986867666858992,0.20207472321046827,0.9150391350169468,0.0015746390579744658,0.21184985045795537,0.025778884528280394,1.0,0.2594312435295945,0.0030364179772558843,7.936210753143704e-07,0.557169439593909,0.0013910887406394725,0.34365890026857127,0.0010036933573118743,0.13324212803280489,0.0035691594337442,0.0005723197681002257,0.18474362235993008,0.15597263816698692,0.029777033514396672,0.002847492547655706,0.00016933238441817504,0.39550482510384816,0.008987458342793273,0.00022108397579640758,0.04298187890552246,0.44093527386713893,0.24721518381734858,0.9160931753803223,0.008212834837720387,0.781575715235734,0.11475824510437077,0.40106975921476046,0.17118120141862078,0.2796736118530162,0.8944201511206664,1.0613610141304876e-05,0.8571327278848266,0.5440537947200199,0.07616325003834531,0.8062255432447241,0.16244330466308024,0.0003207016345407602,0.008239892634218034,3.720840785187715e-05,0.3804826216104533
Filobasidiales,0.22580193280275956,0.8215826136782985,0.00011687228472766273,0.213293583989703,0.021185336265595465,0.16201226795605672,1.1852351847109866e-05,0.0033745259632492236,0.6926468953129925,6.486398356859291e-05,0.031301863742770636,0.37220154301090846,0.000283919839366581,0.04116391811644204,0.5193297818241966,0.2594312435295945,1.0,0.0005451237890447811,6.369623996009987e-06,0.49371607470221857,0.0006675574616159586,0.06736148560224531,0.0003330104678307819,0.7927423566321242,0.0006695448388045557,0.00022645157002289533,0.8944201511206664,0.9317782364766232,0.9074616973308162,0.0009307425444088595,3.582357830385516e-05,0.552765203352625,0.0017308817024988298,4.5965317262983095e-05,0.007206986023144301,0.07179904543130859,0.04652336008951984,0.32244363390071074,0.002321751730243611,0.2890354134369509,0.8483623327841655,0.08657887064985773,0.8705808476727278,0.04230543655534887,0.25413657069885015,2.111495477968102e-05,0.4301086499819337,0.10848158656678726,0.013082316843228258,0.18787226423767533,0.027942669692286835,6.486398356859291e-05,0.48221227833202374,4.972080237615475e-05,0.07344362454827001
Glomerellales,0.00035440127507831094,1.2031811514302074e-07,0.9893682827571526,0.015689935670489142,0.3659206528905659,0.0076726386243598215,0.6755694476084801,0.7502857342148143,0.0017576870662889476,0.9150391350169468,0.04932163516213642,0.007123083987924437,0.781575715235734,0.24549343298894863,4.613924001502336e-06,0.0030364179772558843,0.0005451237890447811,1.0,0.9761833586373831,0.0003682881826923597,0.25995266087820407,0.09453468226977806,0.5967646400608484,0.00014987365760855723,0.8062255432447241,0.6506500751185342,0.0002744885178624191,3.0790200021118654e-05,6.431699782158978e-07,0.27799681476242033,0.4645197009732972,8.080031393054052e-05,0.39619991591867554,0.49566540501800616,0.5911906167864965,0.011786409126160666,0.16749352885636717,0.003169661219426376,0.1291997452350478,0.0002905308354192831,5.3391945026087716e-05,0.09674711805472003,2.666225244571735e-05,0.023091954519407192,0.0005772268957526933,0.8790265611181508,0.007549499568813646,0.023176722070695748,0.4645197009732972,0.007993284882990266,0.195199279505041,0.5474938477062397,3.4561115816219654e-07,0.725455854695494,0.06737927906804686
Helotiales,8.187838139739111e-22,6.018379043934588e-41,0.9577943148048542,0.0004684408466146975,0.2430892616481693,9.327504333722632e-06,0.47270744146093796,0.7035927456090351,2.253312721671568e-05,0.8908897014006341,0.0005451237890447811,0.00015835345712688907,0.7000070313163027,0.13136382280781886,1.2658952376011696e-10,7.936210753143704e-07,6.369623996009987e-06,0.9761833586373831,1.0,8.782434923864737e-10,0.00464023245812399,0.018511082980508617,0.3638160345894384,7.344174963255216e-07,0.7502857342148143,0.43039309452166197,2.0553292885135937e-06,9.936929537064654e-12,6.324609336361461e-27,0.01779902025903577,0.31636034826710974,4.408651712478834e-15,0.16339667019643217,0.3503685819510081,0.49566540501800616,1.2198887109015856e-06,0.06130404065521581,4.01917388228691e-06,9.334453994825357e-05,1.1556867416123779e-17,1.684916567604645e-08,0.02396428527973397,3.896009835444896e-13,1.209469884328817e-05,5.3996294636000906e-14,0.7832711858230591,0.00028591508067544053,0.0003693033509286325,0.3480409489484029,2.2074911493932153e-05,0.07002779033601118,0.40300066026380266,2.2137865727384162e-16,0.476328562346422,0.007911792958846984
Hymenochaetales,0.49493933022268477,0.07388319800978829,1.8938007246781782e-05,0.4418849976155634,0.037761104543862674,0.3407511008936632,4.441587764158598e-07,0.004290021371956701,0.8477224878027293,2.6384886737133874e-06,0.04074879652126938,0.7303833553338405,0.0002050798210984187,0.07818313984430114,0.08522833423035256,0.557169439593909,0.49371607470221857,0.0003682881826923597,8.782434923864737e-10,1.0,1.6494814437599313e-05,0.1313711144072577,3.094096590399711e-05,0.29371591543701653,0.0003439881735180371,1.4997752967046063e-05,0.3804826216104533,0.4155023132385128,0.14784478092159054,6.255920522980545e-05,1.529818762771411e-05,0.8646615501001714,0.0006655870680851872,2.051330448102441e-05,0.010634525920784866,0.11934405749523416,0.0891885107421103,0.675531268629363,0.0001881325927336755,0.6570408848785777,0.28533399588162345,0.17371505745244045,0.46259003608185006,0.05657565852335996,0.566686049893687,4.102278652595325e-08,0.8062255432447241,0.2161562952758432,0.021362993555851393,0.39619991591867554,0.04678735763379455,3.087583371307307e-05,0.03987414871494692,2.2215697608189277e-07,0.14308604068481012
Hypocreales,8.361889665032542e-11,1.3367553001443043e-26,0.1420549908579557,0.03460046931567497,0.8847665521240914,0.007043336183006393,0.02096624613684766,0.5740573529431684,0.002502130029486625,0.11969541704092646,0.11771133494574527,0.013288115316414703,0.1460667420244539,0.6523837746884847,3.106973437042277e-07,0.0013910887406394725,0.0006675574616159586,0.25995266087820407,0.00464023245812399,1.6494814437599313e-05,1.0,0.2878267026254933,0.42290544620174775,0.00012568337934012238,0.37579671494551614,0.33549681915154345,0.0002768878763419673,3.3497919350732735e-07,7.128361731981888e-17,0.9961282320075433,0.03384443772209481,2.0281038310200648e-08,0.8586237492820789,0.04058700633399424,0.7824196988523706,0.006538199693875792,0.4886785003666531,0.002387535257128912,0.3696673229495645,5.404528317674829e-09,1.3598994242188832e-05,0.2914227652052093,6.484841756887806e-08,0.025035421136562673,4.924062950958057e-07,0.03981264089586321,0.0159665158494466,0.04819961112494452,0.9663841897944319,0.009210853977702488,0.575294621294981,0.05202702627664246,5.6034499801546736e-11,0.11210084542885576,0.20077341271454896
Kickxellales,0.2161562952758432,0.00181865859424381,0.05381264020582728,0.5455004185922088,0.5722110725703119,0.5094882472076343,0.012938613612721394,0.23219095789323346,0.15690148959776723,0.05137190853216779,0.9815878812597094,0.35622793990148177,0.05329310347394452,0.7491754615052992,0.004305900602626661,0.34365890026857127,0.06736148560224531,0.09453468226977806,0.018511082980508617,0.1313711144072577,0.2878267026254933,1.0,0.1420549908579557,0.02984736262031416,0.1335708755555236,0.1170633725524891,0.043485968630046286,0.02784326748448524,0.0044732720297520085,0.30604122335162187,0.013666858193989924,0.07428156287109736,0.3010112583490247,0.016058243316912715,0.3440990795787566,0.7028306558447316,0.8478773194052908,0.31404825169893086,0.5005680619140399,0.17800897263347895,0.022231385884825497,0.9658117842623044,0.029777033514396672,0.8705808476727278,0.229512346238275,0.03596625715755059,0.3355695754082331,0.7194029488733185,0.4600420268655405,0.48967500931385316,0.7387001137058031,0.020296213365116698,0.0012985689368892204,0.062483177975230814,0.9354737682681937
Lecanorales,1.45483257400708e-06,3.389476146095047e-14,0.5090818667585909,0.015689935670489142,0.5796517702495905,0.004021987693229599,0.19362091425457847,0.9213930961735028,0.0012157501213626832,0.5707214292400495,0.05177871025846433,0.00616086418385273,0.3904640656542801,0.3941913704727667,3.630251367493319e-07,0.0010036933573118743,0.0003330104678307819,0.5967646400608484,0.3638160345894384,3.094096590399711e-05,0.42290544620174775,0.1420549908579557,1.0,6.509494311049894e-05,0.7927423566321242,0.9227590344912191,0.00014609885140172562,1.00645686024703e-06,2.1757781764029263e-11,0.4645197009732972,0.14632431203753948,7.551313810554725e-07,0.6811013812799895,0.1660886774609768,0.8906839639078121,0.004874702860607586,0.27044792630704767,0.001411904622082055,0.1525843675222739,2.245397015670501e-06,1.0613610141304876e-05,0.1479796672922697,4.6048838814376795e-07,0.014345515096951623,1.4608078971904226e-05,0.5381739278860994,0.007423711887637829,0.02209074251830664,0.7220203074408076,0.004815589606733717,0.31891342558283053,0.19768734786705788,9.494911414125644e-10,0.754717907243076,0.09481670050402301
Lipomycetales,0.1004081086010476,0.9036748004690812,2.3320328314362903e-05,0.11222051810361149,0.008644430365610063,0.07459402036869094,1.924563718600562e-06,0.0011281371179127718,0.48386942879232314,1.1852351847109866e-05,0.010639623140185874,0.22330779668729367,7.7837644548702e-05,0.018148033508830198,0.7329161272006549,0.13324212803280489,0.7927423566321242,0.00014987365760855723,7.344174963255216e-07,0.29371591543701653,0.00012568337934012238,0.02984736262031416,6.509494311049894e-05,1.0,0.0001744923474347175,4.148094924195416e-05,0.9085871506266047,0.6858497823258132,0.8262772175230527,0.00019138744866022803,9.01825554345553e-06,0.32908853926771975,0.00043259280368670316,1.1684504188803097e-05,0.002610431432747955,0.02713360774597943,0.02020663868638925,0.17728492639190485,0.0004920725530139531,0.1397719320690411,0.9358065345162361,0.04074879652126938,0.610581833009785,0.014675657137275516,0.12037231279716458,2.8739215211923054e-06,0.27161964691737983,0.047239903684915104,0.005012911313522161,0.09182678247044841,0.010861718548136386,1.6494814437599313e-05,0.7190738126655342,7.704823390309466e-06,0.032299833782272226
Magnaporthales,0.000244985465934632,1.7787070149282938e-08,0.76782454815783,0.021393304401086853,0.48244309996394236,0.009766131492704796,0.4352440966521549,0.9211979250482694,0.0022722270413578784,0.8617730927708818,0.0699175898411462,0.009473215810240972,0.5896077324576371,0.3323853259815562,3.808010853782683e-06,0.0035691594337442,0.0006695448388045557,0.8062255432447241,0.7502857342148143,0.0003439881735180371,0.37579671494551614,0.1335708755555236,0.7927423566321242,0.0001744923474347175,1.0,0.8586237492820789,0.0003303250928109794,2.314794471459811e-05,1.8176806354666499e-07,0.39619991591867554,0.2953416478245785,5.3391945026087716e-05,0.5481913870910091,0.32333471075531117,0.7451475055972647,0.014757906623305693,0.23333032209282423,0.0038552347094687857,0.1848540101454432,0.00021008040419872895,5.323982283426512e-05,0.13662222414121786,1.8713542490358992e-05,0.030784032765113274,0.00048319759668631265,0.8828034470452518,0.010230381856823775,0.03203910548013899,0.5979574823023917,0.010310085113220503,0.2731126292056861,0.3659206528905659,1.6209415304786503e-07,0.9577943148048542,0.09567100124371676
