,Agaricales,Alaninales,Ascoideales,Auriculariales,Blastocladiales,Boletales,Botryosphaeriales,Cantharellales,Capnodiales,Chaetothyriales,Chytridiales,Cladosporiales,Coniochaetales,Cystobasidiales,Cystofilobasidiales,Diaporthales,Dimargaritales,Dipodascales,Diversisporales,Dothideales,Entomophthorales,Erysiphales,Eurotiales,Exobasidiales,Filobasidiales,Geoglossales,Glomerales,Glomerellales,Gomphales,Harpellales,Helotiales,Hymenochaetales,Hypocreales,Kickxellales,Lecanorales,Lichinales,Lipomycetales,Magnaporthales,Malasseziales,Microascales,Microbotryales,Microstromatales,Mortierellales,Mucorales,Mycosphaerellales,Myriangiales,Neocallimastigales,Onygenales,Ophiostomatales,Orbiliales,Ostropales,Pezizales,Phaffomycetales,Pichiales,Pleosporales,Pneumocystales,Polyporales,Pucciniales,Rhizophydiales,Russulales,Saccharomycetales,Saccharomycodales,Schizosaccharomycetales,Sebacinales,Serinales,Sordariales,Spizellomycetales,Sporidiobolales,Taphrinales,Teloschistales,Thelebolales,Thelephorales,Tilletiales,Trapeliales,Tremellales,Trichosporonales,Trigonopsidales,Trypetheliales,Umbelopsidales,Umbilicariales,Ustilaginales,Venturiales,Xylariales,Zoopagales
Agaricales,1.0,0.32908186421508934,3.875771614899329e-08,0.1160205606377506,0.7121532179288447,1.2391140897296392e-24,4.411513905784824e-23,0.01914712719801761,0.04708643931247353,0.7437821925634486,1.7029333901916905e-14,1.444755658145085e-13,1.8584036125243226e-08,0.03398405325313121,0.10851372417437993,6.803418704915825e-26,0.38388025420212146,2.1497573977301025e-11,0.9343120171572511,2.8101881267967803e-27,0.0007672907029113894,0.0003225561962312448,1.8445666344918352e-10,0.06335096488638696,0.0066252333328197435,0.5138835132072902,0.5915458561575939,5.0785248718955684e-52,0.18769366171269555,3.582569074930193e-07,2.170253191714028e-57,0.31820296106694124,3.0444014327153264e-90,5.927562957634111e-20,1.1036556509593012e-10,0.6248201368472568,1.3072190875506306e-05,1.95823205854282e-12,1.1219414058139205e-06,3.302959697241165e-22,0.41981263001631147,0.08813895220503447,0.00010482602491378763,7.85825566861831e-07,5.50709208164782e-22,2.1413097687248962e-08,1.8108746128143427e-09,0.009709377406210931,5.4050831758577846e-18,3.847792590920585e-25,0.01580688340288994,0.02089978544832878,0.0005354403952217505,0.3421029529533658,4.5710373122728e-22,0.09203409145454208,0.6967121984839642,0.0067084183602032586,0.011812054673783629,1.6098652381795587e-08,0.004711194836112689,0.007231315119244231,0.02114133448410291,0.04269362052259489,0.011504676045362943,4.1837842992722145e-46,0.5759329482284412,0.06098891054836602,0.187304503682937,0.30585535501292954,1.4193218082989841e-09,0.021683916859664355,0.07104567246584971,1.2089690905940536e-05,0.11235529603884853,7.722253457359282e-06,3.403053202157747e-05,1.8480656867150987e-07,0.41318136215449247,0.08769522566523878,2.1497173899514484e-11,0.0006817670795196673,5.6854082597317265e-52,0.27107600286218286
Alaninales,0.32908186421508934,1.0,1.5064326604366062e-05,0.055404902034054584,0.3878499936051391,0.04478085542432212,1.172344765104194e-10,0.02344114073196537,0.023069915707832594,0.48382211621737575,1.2265752124168853e-09,4.174277269507473e-08,1.5369209039409095e-07,0.34988778694958667,0.722840058413697,9.839481368952304e-10,0.8156946701577822,0.0007539503105328905,0.481762878806239,5.5605175247881964e-14,0.0006258941585382651,0.0532935061038461,0.004226299526159652,0.29527824989515483,0.3597623480967913,0.26434715472176296,0.8438633254592576,1.3232298500868602e-13,0.5537908557818296,1.1690643119951972e-06,1.3403756601255214e-12,0.9516737658073975,1.6940892102196972e-11,7.577683115137468e-06,9.669483344596418e-07,0.3564580961379529,0.09831818461760995,3.771428840570185e-08,0.011676229103857199,2.1143872551400035e-08,0.8885091846514442,0.3607846266924245,0.29426730578131843,0.25790721418463725,1.2773418383134984e-07,1.714256295729548e-07,1.7898307125897608e-08,0.7856962872998506,2.329091501208182e-07,2.0791040273314048e-14,0.00786499533815556,0.04846479443715634,0.015465915217342661,0.5589934751733859,1.5195727155969487e-05,0.044343774248642054,0.46444281019746253,0.3476672047627743,0.007294333323497557,0.07992120213193382,0.039394950815031825,0.008907455557265444,0.17543121197046913,0.022870229426599383,0.07891279959410165,3.707950385490938e-12,0.9151438302640974,0.7282366421634637,0.08782982696291484,0.13693427093912686,2.092191418681239e-06,0.13398566625667738,0.03441270793300247,4.0709915777285465e-05,0.08466652631552132,0.0014493437774305332,0.00013282664673017593,5.084632693506112e-07,0.8500382102918719,0.04314517434847071,0.00805657082269751,0.0009176999773572138,9.193837772192207e-11,0.12415052515324904
Ascoideales,3.875771614899329e-08,1.5064326604366062e-05,1.0,0.2795472973438533,0.03998547139721586,1.5043286254900515e-22,0.047772773406876766,0.01373845585698715,0.6841149012686606,6.548914842085794e-07,0.03180980490918965,0.23926200826532346,0.036976057638285625,5.821761747520794e-07,6.896420347937965e-07,0.1772944224685534,0.0014447831332362777,0.024912653722774063,0.003291759241019524,0.000581283726867357,0.7251633757473963,1.7344145033970862e-10,0.0019591465085277353,3.551507727815829e-05,1.3361216832703838e-09,0.07654506057524828,0.00036603256209846274,0.007310750930160204,0.0002983588956377501,0.07176856490900775,0.028547645386834287,4.300613061035548e-06,0.12295630517572849,0.4230664204114727,0.5859952007171385,0.1116760801228701,9.596299405505402e-14,0.1637198015432053,2.2545540683568485e-14,0.4710384977287638,0.001054930327064307,6.594192781605963e-05,5.30412870029951e-13,3.559065913516302e-15,0.7936879980463114,0.03888371296962288,0.008908719242735693,9.551520172139515e-11,0.7817977767838304,0.000163526655033516,0.9145930098459006,0.0002314266630348138,0.0014723401997721209,6.0080789857638175e-09,0.2720008245889459,0.4061750532337477,1.2457007166442683e-07,1.6111812397308796e-09,0.5779748460788694,7.214355331936565e-17,0.0001352745515288446,0.11429917857118033,2.7881480290042865e-06,0.2803169965315227,5.788803575210925e-06,0.03467167118532435,0.0010271201505838562,3.874961278008916e-08,0.030347805992925997,0.004804240535530207,0.6360249749795863,1.1030997260014844e-05,0.38277375858884877,0.5499294038428947,0.00023588185282827766,0.06312120702120434,0.9186153223402713,0.035116567731949856,0.0017161315782420002,0.1758891679861019,1.094570041600801e-19,0.8248874470956156,0.15986892930470395,0.060397612385865704
Auriculariales,0.1160205606377506,0.055404902034054584,0.2795472973438533,1.0,0.4498645777719163,0.00013266465598404614,0.015498539283123074,0.7072822097515683,0.6720789364120787,0.10228044206297826,0.009590255798401828,0.05542805865149025,0.00951665199978306,0.00798269558709785,0.02280584069422541,0.043603511037253954,0.08174964246047678,0.9922399631663326,0.2515122021405053,0.0006840912601896361,0.2435620354768926,0.000401331290745727,0.7398157892358629,0.012107526265214523,0.004781793887077614,0.5833824260209802,0.10939160072484327,0.0054956427308155455,0.036981901380126594,0.01809484282609277,0.013125248214644683,0.05341255018391556,0.03587201781417311,0.4740086643991489,0.13817783572230383,0.5874252074565923,0.0005464381846544033,0.039394950815031825,4.529591665539723e-05,0.10158324693328824,0.085874528480203,0.01699405408738972,0.0023928865467936528,0.0016633046519046852,0.1758891679861019,0.00998546207929748,0.002524829726922641,0.014211820944816385,0.17616340691279983,0.00024393275496243473,0.3977918373924485,0.4333166724327214,0.6150223732396699,0.0682466423931804,0.5627359011401318,0.8944399628162073,0.09521974900019933,0.00462413928854885,0.6548446563829232,0.00033291539424382805,0.43770879456956885,0.9973824811557052,0.004448151398663153,0.9252464242084381,0.29664193524595384,0.014362122871877216,0.11639178198396248,0.01795695794182959,0.6326518215274114,0.44454700121934493,0.1536951242312962,0.00429042427020536,0.8876336289918048,0.15087341698230364,0.3751915189515154,0.9522677568673128,0.28423049237144865,0.008974918102038754,0.08894199416306345,0.9406588789511928,2.1952715607722015e-05,0.4439426319991938,0.041898592247843446,0.6625736823708279
Blastocladiales,0.7121532179288447,0.3878499936051391,0.03998547139721586,0.4498645777719163,1.0,0.016636170117871094,0.0007295736784189036,0.5639072340537841,0.24754860003925097,0.6360249749795863,0.0004959439462999535,0.004185546544880965,0.0007171715237994171,0.10631618559320274,0.23833963947877382,0.0026195073701196286,0.3622131202345094,0.29176377204684695,0.8136754432677084,1.8048626028387028e-05,0.049397666826229716,0.01580688340288994,0.48236526968041665,0.10047202159503758,0.10042633378477568,0.8546855938058956,0.5237435973937985,0.00017628084360341188,0.2140172221927728,0.0016835332728714198,0.0005105392104393615,0.4015583015058669,0.0017684770299675216,0.07583539187542468,0.01453580923248038,0.9009546727601734,0.02892216332242873,0.002831911999669206,0.004343373251998247,0.00812531427260595,0.3934487086983369,0.12659221462602185,0.07927458207013592,0.06947974796529513,0.017389804580347435,0.0007615598801833574,0.00015647358845388056,0.23024112399814006,0.017930623447983646,5.9659251807739935e-06,0.11945810043382371,0.8004428701575174,0.6059350514424089,0.5468591398655762,0.09940679308905477,0.3783002951466148,0.6311346161994965,0.09709501581955493,0.20146772937878218,0.02475463786258848,0.7850949065510775,0.3569028201196509,0.05467960357681352,0.3569170606769809,0.950187124759129,0.0005833817535857257,0.5058874814789615,0.2274068262713661,0.6990824128299858,0.8709773028214954,0.01741115201097321,0.04321743935900801,0.3597623480967913,0.021857561454095637,0.8855697952987679,0.28331632707799764,0.049096911724410844,0.0007684936512690946,0.38277375858884877,0.4674977043461972,0.0039259708452889204,0.099117090661081,0.0022724806230104613,0.7115425401156433
Boletales,1.2391140897296392e-24,0.04478085542432212,1.5043286254900515e-22,0.00013266465598404614,0.016636170117871094,1.0,1.308332145931633e-51,2.4355433261893846e-12,7.695555727398989e-05,8.146402015220576e-08,6.304453565255444e-30,6.974204364357158e-32,7.120103098869495e-16,0.6858945285928014,0.12311468860226929,4.159430875589104e-63,0.3863992479192188,5.216208966088284e-58,0.006879741220307436,4.844679266254936e-53,1.660897039736549e-08,0.4897226465870944,8.437226432247431e-74,0.9742384853615246,0.3654064934176962,0.006770389104611705,0.04721769804550674,2.0270604702706781e-115,0.6582149452271223,1.4950333949613174e-13,1.3591922038341832e-134,0.016543185038905877,6.363162246936472e-235,2.1661253355194066e-70,3.2416173332148225e-27,0.027222314979667556,0.9810092074274152,5.724352214791332e-28,0.16892660969088777,1.730298481337627e-58,0.28131654696940256,0.9278154720304794,0.1959953495753459,0.11304518734658733,1.7430240416062993e-62,8.770232559223878e-16,8.389228310551758e-17,0.0010427496667928106,2.073204724217617e-50,6.416870805515694e-47,2.437136093992463e-05,2.0337328788411387e-21,2.562072719164059e-28,1.1083365152059868e-13,7.278579165073336e-84,0.00014880877582181817,1.0360065370693496e-10,0.40109942321979214,4.250370907013167e-07,0.907481439993835,6.140751516876989e-30,9.357629825936091e-11,0.7730400369734799,2.9532259124343207e-06,1.0651695581736496e-44,2.1975981323955293e-107,0.10776683828758118,0.05327310333237453,7.94645505294998e-06,2.916685094992412e-06,2.112097631570694e-24,0.5674084476878541,4.698122687860005e-05,7.427371395112059e-13,3.875577970161136e-14,1.430042849741603e-25,4.0274133717052774e-13,1.749425584055319e-13,0.35907657169773277,1.382862312578949e-05,0.12895755792160543,3.163095722636908e-10,3.52563201654329e-132,0.00020248386035835676
Botryosphaeriales,4.411513905784824e-23,1.172344765104194e-10,0.047772773406876766,0.015498539283123074,0.0007295736784189036,1.308332145931633e-51,1.0,4.7514221712188926e-07,0.12769520107840468,7.214355331936565e-17,0.6256770201206973,0.5331607774057164,0.4052148522528122,6.955983757070123e-12,4.751369576424331e-13,0.41413442830094854,7.857614912510807e-06,7.3377762389038336e-09,2.858583580507809e-06,0.10203506034169828,0.4328138616368505,2.3303461804079633e-17,1.5641184231789178e-12,5.166438931134226e-08,3.118746030947687e-18,0.0020595029573992007,9.181733956516186e-08,0.6869015146745887,8.966201538194135e-07,0.5420519670631732,0.8708099004061849,3.2109520420398933e-12,0.2795472973438533,9.316919411358233e-05,0.18412734998803326,0.006999576056709249,3.792758708257127e-26,0.772844880241643,2.542546616542416e-24,0.11531518963551261,3.231146462224218e-06,1.1915431616650455e-07,5.6825852777949746e-27,3.157346537881074e-33,0.024488956145117126,0.41771949257843477,0.1554095688657548,2.468755283447035e-24,0.03591162458541654,0.0369603589443209,0.4060054495147302,7.631137178382134e-13,2.938108138588041e-11,1.1663300498352887e-23,1.0594660211306412e-05,0.038165820169868664,1.3518739520908413e-19,6.039174110257064e-18,0.048303144038697676,1.7707287100286712e-34,3.4336202278643605e-14,0.00022205887557114848,9.418045208052056e-10,0.008857710921425193,1.101967358650827e-18,0.8653362009616171,1.3358167677886346e-06,2.6169143181980173e-16,4.687545436953795e-05,4.817136624435664e-07,0.1773803768419898,2.1252651796081768e-08,0.02825512674256868,0.46391694165953007,7.006169561574066e-12,2.255096968719969e-06,0.1522002921049047,0.3319742716852633,1.003756829276472e-05,0.0035629507860687995,4.258535133952271e-37,0.08022719868187951,0.2806815226083205,0.000491771507577133
Cantharellales,0.01914712719801761,0.02344114073196537,0.01373845585698715,0.7072822097515683,0.5639072340537841,2.4355433261893846e-12,4.7514221712188926e-07,1.0,0.3771563113579083,0.02732130009813881,3.503806629389292e-06,0.0001082464549470403,9.650095178837002e-05,0.0015229015974653605,0.00439584071519645,3.9712595154655295e-06,0.07681964554065046,0.3855817435932839,0.2709562554909988,2.004426512901945e-10,0.05145684195229701,6.713635633450489e-06,0.8809626113700927,0.006639273181391368,0.00012698117214043116,0.7535925765869352,0.08497522524797992,2.0357008829690596e-10,0.028161195842009514,0.000446820646449599,2.511819258878532e-09,0.01732182973694559,3.261624331888719e-08,0.017458152440759805,0.0016360106425353876,0.7460004882131601,3.4664965783012423e-07,8.388607150951748e-05,2.338436476836664e-08,7.968310670240039e-05,0.07744082226395119,0.010201448012559036,3.1174691263688784e-06,2.3753757976257087e-07,0.0004645523024539732,0.00010632351764924518,1.306429365825251e-05,0.00016963621230062323,0.0007343483504344572,8.20161883548592e-11,0.1697505377870158,0.48511928091828976,0.8605928997187564,0.0051811387871293834,0.03221017109340346,0.5878751442083376,0.01771048089392232,0.0001316567597411355,0.2928660281465178,7.461915146286827e-09,0.48389887422727934,0.5708717777051403,0.0014461438491479963,0.5653418872800575,0.2034884236400143,9.446720109717199e-09,0.1042548853510296,0.0015141052949690684,0.8524474313642478,0.5468591398655762,0.0027860181127712003,0.0020595029573992007,0.5629181922630584,0.011894549595402221,0.3887421165503257,0.3934487086983369,0.035121081603601646,0.0001858707382937019,0.08497522524797992,0.7553604269034743,2.3649670836831413e-11,0.10825943158376232,2.779546357358394e-07,0.8811270445163093
Capnodiales,0.04708643931247353,0.023069915707832594,0.6841149012686606,0.6720789364120787,0.24754860003925097,7.695555727398989e-05,0.12769520107840468,0.3771563113579083,1.0,0.041898592247843446,0.08147922122121483,0.2661195859516806,0.060402011360277855,0.0032662534556669727,0.009236126371615765,0.2510186638690035,0.03807030791554237,0.5825156347913287,0.11917829717361442,0.016580221766870427,0.5410238408248011,0.0001762478456388096,0.3791738165670828,0.005130452590033511,0.001981167538354831,0.34174599730648614,0.048352482874772194,0.07557866314200398,0.016382307761299435,0.08982064762978034,0.12913184366710398,0.02198282976455536,0.2404911322226125,0.9573633996054776,0.46049672719034207,0.36067007906736903,0.0002545308412947322,0.20654619022139326,2.366816528112574e-05,0.41241876523657106,0.03938184996392987,0.007223145990143805,0.0010463008266629406,0.0007539503105328905,0.5628678766304817,0.0626416351875012,0.02198282976455536,0.005791225121375868,0.557607673856016,0.007613126263313986,0.6946910787319716,0.198335785838439,0.3034361096743686,0.02727912907204124,0.9597770553189587,0.7847867509554994,0.03881730383456954,0.0019152779566868942,0.9754995985002642,0.00016967939607122963,0.19908536939326316,0.6184831638557186,0.0018288646184544688,0.723272753397652,0.12788717438257943,0.13398566625667738,0.05327310333237453,0.007223145990143805,0.3448772654842589,0.21711918450238896,0.4843003949675646,0.0017922313203035136,0.7816594063783592,0.42885340101358194,0.16975248088069556,0.632960235727295,0.6503309753096608,0.05161675465925797,0.0416999421276127,0.5933072022394507,1.3977973293647734e-05,0.8341573078181533,0.25830460593713844,0.3791738165670828
Chaetothyriales,0.7437821925634486,0.48382211621737575,6.548914842085794e-07,0.10228044206297826,0.6360249749795863,8.146402015220576e-08,7.214355331936565e-17,0.02732130009813881,0.041898592247843446,1.0,1.7022174642043341e-12,4.6226713968926626e-11,4.259595283890665e-08,0.07110783804714335,0.21382532077190539,8.328679618941773e-17,0.4711160181738047,6.840152295465401e-06,0.8228163767928284,2.7758897278350875e-21,0.0008220264376618589,0.0017587045250769312,0.00016161829226903535,0.09525314181563811,0.031953953489001284,0.4563723313026468,0.730641573955571,6.839947905466406e-28,0.25251446066692196,5.949078028913862e-07,3.4875267465077296e-27,0.4954314041506345,3.6938732583788264e-28,2.869425971149953e-10,7.7435774401632e-09,0.5627359011401318,0.0006702366189500004,1.4153767187873166e-10,3.35979658976463e-05,3.0582742035049335e-14,0.5146539451330836,0.12884786698501535,0.005678573545047068,0.001333572777389447,3.262174166575648e-13,4.8425995608900574e-08,4.316618726221449e-09,0.10253826258184916,6.669394146726711e-12,1.2110572609347163e-20,0.014211775621323289,0.051434433622067594,0.006666889262021869,0.7856962872998506,4.954556829768408e-10,0.08166259671300632,0.9973824811557052,0.031109627518769317,0.011580092620108224,6.00373994597216e-05,0.030625872851392146,0.009733546379812906,0.038010361443877635,0.03964226661003045,0.08478703184407067,1.4597607177550293e-24,0.6945003803441891,0.16516626912660642,0.16599136413650867,0.26748147135559536,4.0133443567781456e-08,0.03484607387954432,0.06308182577382114,2.1659921670946022e-05,0.13398566625667738,0.00018464594750879678,6.622574249147126e-05,2.9172251878013126e-07,0.5004975200479095,0.07916434498950878,3.1281423630466104e-07,0.000893902182950552,3.62154907228184e-23,0.2355833317297064
