,Ascomycota,Basidiomycota,Blastocladiomycota,Chytridiomycota,Microsporidia,Mucoromycota,Zoopagomycota
Ascomycota,1.0,1.4560851446593442e-286,0.22655831013369213,0.037119122686766065,5.633126000330563e-07,1.107103354929085e-70,0.19149240409691254
Basidiomycota,1.4560851446593442e-286,1.0,0.06352851059783596,7.149517109575164e-30,0.11946378267917537,0.029106415750466307,2.004597066698466e-58
Blastocladiomycota,0.22655831013369213,0.06352851059783596,1.0,0.07682373207798793,0.017154355107299048,0.022730727127529205,0.16507231383420365
Chytridiomycota,0.037119122686766065,7.149517109575164e-30,0.07682373207798793,1.0,5.009388818048686e-08,1.366402983767217e-29,0.22655831013369213
Microsporidia,5.633126000330563e-07,0.11946378267917537,0.017154355107299048,5.009388818048686e-08,1.0,0.26930391603930237,2.2525291258130305e-07
Mucoromycota,1.107103354929085e-70,0.029106415750466307,0.022730727127529205,1.366402983767217e-29,0.26930391603930237,1.0,5.084535771516752e-44
Zoopagomycota,0.19149240409691254,2.004597066698466e-58,0.16507231383420365,0.22655831013369213,2.2525291258130305e-07,5.084535771516752e-44,1.0
