,Agaricomycetes,Chytridiomycetes,Dipodascomycetes,Dothideomycetes,Entomophthoromycetes,Eurotiomycetes,Exobasidiomycetes,Geoglossomycetes,Glomeromycetes,Kickxellomycetes,Lecanoromycetes,Leotiomycetes,Lipomycetes,Microbotryomycetes,Mortierellomycetes,Mucoromycetes,Neocallimastigomycetes,Orbiliomycetes,Pezizomycetes,Pichiomycetes,Pucciniomycetes,Saccharomycetes,Sordariomycetes,Tremellomycetes,Ustilaginomycetes,Zoopagomycetes
Agaricomycetes,1.0,2.3221328638275355e-10,0.003388219247739236,1.9359323322482055e-43,0.034283103757883966,0.24670313925539636,0.2547550053577403,0.11643500743070968,0.7891993762087134,0.06489028216775743,2.0068816340050753e-15,3.3263822441620235e-35,0.21150989163741005,0.3017838826871755,0.2547550053577403,0.010476229578173322,3.7809529329123433e-07,5.199662996712604e-07,0.013147032940166786,0.25861288079737627,0.18628501099279618,3.412939051931824e-05,1.1310463108767878e-69,0.2241095680661902,0.0051856729178219735,0.06030766054473082
Chytridiomycetes,2.3221328638275355e-10,1.0,0.23217900130291588,0.5837536255937094,0.8077739976606197,8.192214065900138e-06,4.1684922928229895e-06,0.45386304914648595,0.0009509716152915782,0.38353485373496765,0.9032184934384021,0.08264054179602438,0.0003789024801091362,0.07342675620302042,6.022396141805992e-06,1.0132139291039825e-11,0.02032071694364099,0.024157199648647907,0.03494295802799125,1.4672478564311434e-05,6.49065381744296e-05,0.13454356875240364,0.06847203178047827,0.00037343280437656523,5.832212139355702e-10,0.3069849499638901
Dipodascomycetes,0.003388219247739236,0.23217900130291588,1.0,0.06349796385051798,0.6896289257970848,0.043178206247824244,0.003487681067972351,0.9874783353904745,0.07128726545697585,0.9874783353904745,0.24210133217092886,0.006455887412256713,0.010476229578173322,0.43837132084928077,0.0037671673343486456,3.348203380413307e-05,0.003430503910688925,0.004142497023732392,0.5667573675602785,0.04837004799742079,0.005405502705401799,0.9944283782139868,0.004883257087193947,0.10333872856287661,1.9074220573511046e-05,0.9370988378692797
Dothideomycetes,1.9359323322482055e-43,0.5837536255937094,0.06349796385051798,1.0,0.6303704916264049,1.7927408519651877e-13,8.578386305624323e-09,0.28874733218085036,1.4543969625329161e-05,0.21421298065814057,0.333151424114983,0.07122540702536455,4.7900623724180376e-05,0.022645857650569614,2.2597678333844078e-08,2.1680598702362996e-22,0.02722263625862614,0.032951719900247776,0.0016186377756097158,3.256060274954359e-12,3.815056746383405e-06,0.010476229578173322,0.025168034659485975,1.396748377330745e-07,1.8889544757435308e-14,0.15349237383479397
Entomophthoromycetes,0.034283103757883966,0.8077739976606197,0.6896289257970848,0.6303704916264049,1.0,0.09360088256404368,0.014164359129087018,0.7337626087966349,0.09308256043571574,0.7155790383914967,0.8579082562851614,0.29458403987538034,0.015169546146288211,0.3188316571579988,0.014164359129087018,0.0029563229450652777,0.04972266426005409,0.05696442830588547,0.39686288073780146,0.09675994177488624,0.011973891370676538,0.6702230587000221,0.30674756175915896,0.13420505078062434,0.0008845533744765955,0.6702230587000221
Eurotiomycetes,0.24670313925539636,8.192214065900138e-06,0.043178206247824244,1.7927408519651877e-13,0.09360088256404368,1.0,0.10368403697093347,0.2547550053577403,0.7878518301771045,0.17942135372905763,4.265214331664693e-07,1.886697584702605e-15,0.11174071049562453,0.6222920603865549,0.10480749511018514,0.0030609466253480504,5.540208466780975e-06,7.60433456983408e-06,0.14239418175163113,0.9874783353904745,0.09212602011831958,0.009764133039152814,1.583756647236119e-20,0.7983732116041118,0.0015577818053437685,0.18140673904587704
Exobasidiomycetes,0.2547550053577403,4.1684922928229895e-06,0.003487681067972351,8.578386305624323e-09,0.014164359129087018,0.10368403697093347,1.0,0.049142300483896666,0.29355259419528223,0.025603741654982595,1.416500689259113e-06,1.2490480998840588e-10,0.6700227760667421,0.11717693725552343,0.9874783353904745,0.7134518177980754,4.6217745268880973e-07,6.291094569530775e-07,0.011973891370676538,0.10480749511018514,0.7134518177980754,0.0008576536270897713,2.186673737547738e-11,0.0907588547893337,0.2752900626202233,0.024473956204532785
Geoglossomycetes,0.11643500743070968,0.45386304914648595,0.9874783353904745,0.28874733218085036,0.7337626087966349,0.2547550053577403,0.049142300483896666,1.0,0.23217900130291588,0.9944283782139868,0.48676405087729985,0.11143909163364796,0.042810500880420654,0.5992784174762789,0.04897266177205042,0.014670060114281763,0.01836442269019424,0.021336480652120692,0.7392915861628482,0.2588783320626449,0.03709711084364284,0.9874783353904745,0.11458792044176584,0.32843474855621496,0.004797581986864035,0.9794340991876083
Glomeromycetes,0.7891993762087134,0.0009509716152915782,0.07128726545697585,1.4543969625329161e-05,0.09308256043571574,0.7878518301771045,0.29355259419528223,0.23217900130291588,1.0,0.17361195776329255,0.000573959956855681,4.265214331664693e-07,0.2138265092299122,0.532134681043732,0.28874733218085036,0.089110786311918,1.9623489407058318e-05,2.643714594334931e-05,0.1830521216490305,0.7841071192306552,0.2041029659038825,0.038201644228463894,1.396748377330745e-07,0.6702230587000221,0.0256601172792087,0.17858860438078314
Kickxellomycetes,0.06489028216775743,0.38353485373496765,0.9874783353904745,0.21421298065814057,0.7155790383914967,0.17942135372905763,0.025603741654982595,0.9944283782139868,0.17361195776329255,1.0,0.4116040076507481,0.0649820183214089,0.02722263625862614,0.5526356207868551,0.02563678352404132,0.004427819210895412,0.010971645703966608,0.012701237959958872,0.7002966895366354,0.184652382540437,0.021835245843165502,0.9874783353904745,0.06576326879781648,0.2577259962956753,0.001348343538089142,0.9710676576354915
