,Agaricomycetes,Chytridiomycetes,Dipodascomycetes,Dothideomycetes,Entomophthoromycetes,Eurotiomycetes,Exobasidiomycetes,Geoglossomycetes,Glomeromycetes,Kickxellomycetes,Lecanoromycetes,Leotiomycetes,Lipomycetes,Microbotryomycetes,Mortierellomycetes,Mucoromycetes,Neocallimastigomycetes,Orbiliomycetes,Pezizomycetes,Pichiomycetes,Pucciniomycetes,Saccharomycetes,Sordariomycetes,Tremellomycetes,Ustilaginomycetes,Zoopagomycetes
Lecanoromycetes,2.0068816340050753e-15,0.9032184934384021,0.24210133217092886,0.333151424114983,0.8579082562851614,4.265214331664693e-07,1.416500689259113e-06,0.48676405087729985,0.000573959956855681,0.4116040076507481,1.0,0.021666741286419443,0.00033935775577073314,0.07485828476467173,2.4480476223085553e-06,2.681460350605014e-14,0.013481009339392544,0.01626361828468615,0.027931479045577606,1.0650627974505252e-06,4.717724565849725e-05,0.12357219820906562,0.010476229578173322,0.0001011422249437198,6.202898624742796e-11,0.32843474855621496
Leotiomycetes,3.3263822441620235e-35,0.08264054179602438,0.006455887412256713,0.07122540702536455,0.29458403987538034,1.886697584702605e-15,1.2490480998840588e-10,0.11143909163364796,4.265214331664693e-07,0.0649820183214089,0.021666741286419443,1.0,5.026826398746014e-06,0.0035206199618360336,3.6328089664670553e-10,2.7759707033394622e-24,0.10480749511018514,0.1188426782081318,3.991534527500287e-05,2.1255135609659628e-14,2.2261204918761335e-07,0.00029434731285040377,0.8935867814666241,9.674653784826865e-10,1.3847135232088525e-16,0.03822107840895455
Lipomycetes,0.21150989163741005,0.0003789024801091362,0.010476229578173322,4.7900623724180376e-05,0.015169546146288211,0.11174071049562453,0.6700227760667421,0.042810500880420654,0.2138265092299122,0.02722263625862614,0.00033935775577073314,5.026826398746014e-06,1.0,0.09766678786610589,0.6826947618753277,0.8159910984713309,5.026826398746014e-06,6.260284922633421e-06,0.025168034659485975,0.11174071049562453,0.9370988378692797,0.0063759692323619895,4.1684922928229895e-06,0.09675994177488624,0.7878518301771045,0.02722263625862614
Microbotryomycetes,0.3017838826871755,0.07342675620302042,0.43837132084928077,0.022645857650569614,0.3188316571579988,0.6222920603865549,0.11717693725552343,0.5992784174762789,0.532134681043732,0.5526356207868551,0.07485828476467173,0.0035206199618360336,0.09766678786610589,1.0,0.11643500743070968,0.034283103757883966,0.0011512099156466033,0.001427357658591318,0.7437428159082037,0.6303704916264049,0.09063513246785024,0.3958166542200465,0.003285625192088994,0.741129124702192,0.011088570910155365,0.5837536255937094
Mortierellomycetes,0.2547550053577403,6.022396141805992e-06,0.0037671673343486456,2.2597678333844078e-08,0.014164359129087018,0.10480749511018514,0.9874783353904745,0.04897266177205042,0.28874733218085036,0.02563678352404132,2.4480476223085553e-06,3.6328089664670553e-10,0.6826947618753277,0.11643500743070968,1.0,0.7409310982894068,5.199662996712604e-07,7.171943658151386e-07,0.012701237959958872,0.10578792217721522,0.7337626087966349,0.0010276220470415225,7.66615794147972e-11,0.09161405376378681,0.2976034171349553,0.02463551753167567
Mucoromycetes,0.010476229578173322,1.0132139291039825e-11,3.348203380413307e-05,2.1680598702362996e-22,0.0029563229450652777,0.0030609466253480504,0.7134518177980754,0.014670060114281763,0.089110786311918,0.004427819210895412,2.681460350605014e-14,2.7759707033394622e-24,0.8159910984713309,0.034283103757883966,0.7409310982894068,1.0,5.159450158235609e-09,7.988473510999752e-09,0.0001314151429860981,0.003526244744821508,0.9062858477384871,3.2435878438077234e-07,9.576025322734849e-30,0.004588730203604347,0.3743674336280685,0.003487681067972351
Neocallimastigomycetes,3.7809529329123433e-07,0.02032071694364099,0.003430503910688925,0.02722263625862614,0.04972266426005409,5.540208466780975e-06,4.6217745268880973e-07,0.01836442269019424,1.9623489407058318e-05,0.010971645703966608,0.013481009339392544,0.10480749511018514,5.026826398746014e-06,0.0011512099156466033,5.199662996712604e-07,5.159450158235609e-09,1.0,0.9795300778109822,0.0004981422478735314,6.260284922633421e-06,1.3710515553454645e-06,0.0017490989334467692,0.0912234081323499,2.0572139951893535e-05,2.2460347525932685e-09,0.007300590363810488
Orbiliomycetes,5.199662996712604e-07,0.024157199648647907,0.004142497023732392,0.032951719900247776,0.05696442830588547,7.60433456983408e-06,6.291094569530775e-07,0.021336480652120692,2.643714594334931e-05,0.012701237959958872,0.01626361828468615,0.1188426782081318,6.260284922633421e-06,0.001427357658591318,7.171943658151386e-07,7.988473510999752e-09,0.9795300778109822,1.0,0.0006502185563660674,8.71625516922881e-06,1.818983833684451e-06,0.0022500376852498446,0.10362638843705824,2.8372389386247616e-05,3.38026827325863e-09,0.008856968304085685
Pezizomycetes,0.013147032940166786,0.03494295802799125,0.5667573675602785,0.0016186377756097158,0.39686288073780146,0.14239418175163113,0.011973891370676538,0.7392915861628482,0.1830521216490305,0.7002966895366354,0.027931479045577606,3.991534527500287e-05,0.025168034659485975,0.7437428159082037,0.012701237959958872,0.0001314151429860981,0.0004981422478735314,0.0006502185563660674,1.0,0.15581375440470377,0.015322320324299483,0.48676405087729985,1.2976159196586351e-05,0.2882936688807085,7.551616517211257e-05,0.7392915861628482
Pichiomycetes,0.25861288079737627,1.4672478564311434e-05,0.04837004799742079,3.256060274954359e-12,0.09675994177488624,0.9874783353904745,0.10480749511018514,0.2588783320626449,0.7841071192306552,0.184652382540437,1.0650627974505252e-06,2.1255135609659628e-14,0.11174071049562453,0.6303704916264049,0.10578792217721522,0.003526244744821508,6.260284922633421e-06,8.71625516922881e-06,0.15581375440470377,1.0,0.09212602011831958,0.011973891370676538,1.5721457180935798e-18,0.814803257771207,0.0017093554648321694,0.18656461720556491
Pucciniomycetes,0.18628501099279618,6.49065381744296e-05,0.005405502705401799,3.815056746383405e-06,0.011973891370676538,0.09212602011831958,0.7134518177980754,0.03709711084364284,0.2041029659038825,0.021835245843165502,4.717724565849725e-05,2.2261204918761335e-07,0.9370988378692797,0.09063513246785024,0.7337626087966349,0.9062858477384871,1.3710515553454645e-06,1.818983833684451e-06,0.015322320324299483,0.09212602011831958,1.0,0.0026610679069481117,1.396748377330745e-07,0.07786015570959713,0.6702338267696463,0.021464178137999817
Saccharomycetes,3.412939051931824e-05,0.13454356875240364,0.9944283782139868,0.010476229578173322,0.6702230587000221,0.009764133039152814,0.0008576536270897713,0.9874783353904745,0.038201644228463894,0.9874783353904745,0.12357219820906562,0.00029434731285040377,0.0063759692323619895,0.3958166542200465,0.0010276220470415225,3.2435878438077234e-07,0.0017490989334467692,0.0022500376852498446,0.48676405087729985,0.011973891370676538,0.0026610679069481117,1.0,7.551616517211257e-05,0.04700786920579985,9.830083837542307e-07,0.9370988378692797
Sordariomycetes,1.1310463108767878e-69,0.06847203178047827,0.004883257087193947,0.025168034659485975,0.30674756175915896,1.583756647236119e-20,2.186673737547738e-11,0.11458792044176584,1.396748377330745e-07,0.06576326879781648,0.010476229578173322,0.8935867814666241,4.1684922928229895e-06,0.003285625192088994,7.66615794147972e-11,9.576025322734849e-30,0.0912234081323499,0.10362638843705824,1.2976159196586351e-05,1.5721457180935798e-18,1.396748377330745e-07,7.551616517211257e-05,1.0,2.305439276017288e-11,4.324944820867888e-18,0.038201644228463894
Tremellomycetes,0.2241095680661902,0.00037343280437656523,0.10333872856287661,1.396748377330745e-07,0.13420505078062434,0.7983732116041118,0.0907588547893337,0.32843474855621496,0.6702230587000221,0.2577259962956753,0.0001011422249437198,9.674653784826865e-10,0.09675994177488624,0.741129124702192,0.09161405376378681,0.004588730203604347,2.0572139951893535e-05,2.8372389386247616e-05,0.2882936688807085,0.814803257771207,0.07786015570959713,0.04700786920579985,2.305439276017288e-11,1.0,0.0017705368256833902,0.2658447837288359
Ustilaginomycetes,0.0051856729178219735,5.832212139355702e-10,1.9074220573511046e-05,1.8889544757435308e-14,0.0008845533744765955,0.0015577818053437685,0.2752900626202233,0.004797581986864035,0.0256601172792087,0.001348343538089142,6.202898624742796e-11,1.3847135232088525e-16,0.7878518301771045,0.011088570910155365,0.2976034171349553,0.3743674336280685,2.2460347525932685e-09,3.38026827325863e-09,7.551616517211257e-05,0.0017093554648321694,0.6702338267696463,9.830083837542307e-07,4.324944820867888e-18,0.0017705368256833902,1.0,0.0010372496537023317
Zoopagomycetes,0.06030766054473082,0.3069849499638901,0.9370988378692797,0.15349237383479397,0.6702230587000221,0.18140673904587704,0.024473956204532785,0.9794340991876083,0.17858860438078314,0.9710676576354915,0.32843474855621496,0.03822107840895455,0.02722263625862614,0.5837536255937094,0.02463551753167567,0.003487681067972351,0.007300590363810488,0.008856968304085685,0.7392915861628482,0.18656461720556491,0.021464178137999817,0.9370988378692797,0.038201644228463894,0.2658447837288359,0.0010372496537023317,1.0
