order,n_species,median_fraction,iqr_fraction,median_count,iqr_count,median_prob,small_n
Neocallimastigales,5,0.0416923076923076,0.006698529406175727,542.0,354.5,0.8117966027874565,False
Orbiliales,5,0.03006834909355351,0.008497639287649454,313.77777777777777,91.5,0.8894345923611036,False
Basidiobolales,1,0.0258253936784849,0.0,317.6666666666667,0.0,0.8396530265872197,True
Chaetomellales,1,0.0230654761904761,0.0,186.0,0.0,0.8353924731182796,True
Trigonopsidales,4,0.023049437770644124,0.005440445172253967,123.60714285714286,44.02678571428572,0.9177637935477732,True
Trypetheliales,5,0.0218160390988358,0.0008311968872928011,224.0,12.5,0.8604294930875576,False
Entomophthorales,5,0.01990327809479705,0.0172204903836023,168.0,140.0,0.8348278928884987,False
Myriangiales,3,0.0198917285660329,0.0022895908472931395,180.0,34.0,0.8632004424778761,True
Chytridiales,11,0.0198117880138682,0.005775063899473465,271.5,105.83333333333337,0.8326580368279511,False
Phacidiales,2,0.0196656042302919,0.0007544294451917039,181.25,16.25,0.8560708480150341,True
Coniochaetales,1,0.019645420898002277,0.0,217.0,0.0,0.8588629995780253,True
Harpellales,4,0.0193043823224279,0.002322105997579458,156.9,4.899999999999977,0.8492425543521227,True
Physodermatales,1,0.0191701349476604,0.0,152.0,0.0,0.7767296052631579,True
Alloascoideales,1,0.019148147372051998,0.0,154.5,0.0,0.8970274160206719,True
Glomerellales,6,0.018115529137015966,0.001604974747337569,213.58333333333331,44.18827838827838,0.8388723492375452,False
Dothideales,5,0.0181001123455249,0.0028479798446275004,156.0,43.0,0.8773697681713842,False
Lulworthiales,1,0.0179340747420098,0.0,179.0,0.0,0.8510072625698324,True
Diaporthales,16,0.01786681284559575,0.0025415385292559753,191.25,36.95535714285714,0.8247322230075433,False
Chaetosphaeriales,2,0.01754696560064135,0.0031971898158880477,253.0,125.0,0.8461932250330688,True
Botryosphaeriales,10,0.01748778902079109,0.0010932815852972774,199.5,57.77499999999998,0.8473068453642736,False
Microthyriales,1,0.0174733531364668,0.0,200.0,0.0,0.8343465,True
Phaeotrichales,1,0.0172457519655084,0.0,136.0,0.0,0.8395470588235294,True
Helotiales,60,0.017214643437999208,0.0025239635770598692,207.875,73.54166666666666,0.8540509896725872,False
Cladosporiales,5,0.017099906122004186,0.0028133007247129003,188.29166666666666,20.0,0.8592248780487804,False
Aulographales,2,0.01698973207157415,0.001507498569036151,180.0,3.0,0.8751070065759007,True
Ostropales,5,0.0169853648114517,0.005489486556198398,159.0,81.0,0.8405836734693878,False
Togniniales,1,0.0169591942531289,0.0,229.0,0.0,0.8467497816593886,True
Xylobotryales,1,0.0169565217391304,0.0,156.0,0.0,0.8558,True
Sordariales,36,0.0168869122957412,0.0039212462041541135,161.66666666666669,88.08333333333334,0.8477558206799003,False
Calosphaeriales,1,0.0168754794170288,0.0,198.0,0.0,0.8577075757575757,True
Cephalothecales,1,0.016408501856947103,0.0,172.5,0.0,0.8453115025005435,True
Rhizocarpales,1,0.0163494102534158,0.0,140.0,0.0,0.8732457142857143,True
Racodiales,1,0.0162515829463908,0.0,231.0,0.0,0.8300281385281385,True
Coronophorales,3,0.0160734787600459,0.0015451551905427494,378.0,20.5,0.8208196382428941,True
Pneumocystales,1,0.01606674978569363,0.0,52.142857142857146,0.0,0.7534459444194983,True
Cladochytriales,2,0.016052840871951274,0.0017957760906653734,166.75,35.25,0.8279662071901635,True
Xylariales,38,0.01603988309543325,0.003193549625748915,182.28571428571428,62.875,0.8424141355576836,False
Valsariales,1,0.0159235668789808,0.0,120.0,0.0,0.8673433333333334,True
Marthamycetales,1,0.0158979391560353,0.0,162.0,0.0,0.8516524691358025,True
Magnaporthales,8,0.01572062809666185,0.002901560094589641,171.66666666666669,45.125,0.8356237016176571,False
Monoblepharidales,2,0.015707437053290575,0.008672495302966425,211.25,134.75,0.8048474363343876,True
Lecanorales,18,0.015692007795300125,0.003369683645671598,164.9375,48.0,0.8563058990422461,False
Microascales,19,0.0156891495601173,0.0023939830801238456,121.0,31.138888888888886,0.8568117646081819,False
Caliciales,3,0.0156087408949011,0.0042124255134125006,165.0,49.0,0.8520424242424243,True
Ophiostomatales,14,0.015083196328253893,0.0035780385164780725,120.74561403508773,57.875,0.8724342185024831,False
Mytilinidiales,3,0.0150341685649202,0.0011633342570911993,180.0,10.0,0.8633016853932585,True
Thelebolales,2,0.014977813550933123,0.0005533633938352225,126.26923076923077,25.269230769230774,0.8409847951982066,True
Hysterangiales,1,0.0149410912920423,0.0,227.0,0.0,0.8308286343612334,True
