order,n_species,median_fraction,iqr_fraction,median_count,iqr_count,median_prob,small_n
Neocallimastigales,8,0.038704723562494145,0.017816481388904473,625.5,343.25,0.8135147561443933,False
Orbiliales,25,0.032053706505295,0.008171972116388704,339.0,108.0,0.8913186746987952,False
Basidiobolales,3,0.0251713047126276,0.0019340026320965459,361.0,116.0,0.8416516990291262,True
Chaetomellales,1,0.0230654761904761,0.0,186.0,0.0,0.8353924731182796,True
Dothideales,32,0.022032218614980698,0.0030007335760987505,199.5,40.25,0.8780812246591961,False
Trypetheliales,7,0.021802471616598,0.0013127750756199985,222.0,10.5,0.8604294930875576,False
Chytridiales,21,0.0213598074608904,0.007000979320407701,245.0,141.0,0.8277462962962963,False
Entomophthorales,8,0.02003097976894375,0.005212372579508448,169.0,177.5,0.8348041160337554,False
Myriangiales,9,0.0199916701374427,0.0022365939271114,182.0,36.0,0.8607202312138729,False
Coniochaetales,9,0.0197202253740042,0.000799503173728601,194.0,12.0,0.8607928888888889,False
Harpellales,8,0.019271078726850598,0.0013060275837331985,156.0,6.5,0.8519363570634038,False
Physodermatales,1,0.0191701349476604,0.0,152.0,0.0,0.7767296052631579,True
Alloascoideales,2,0.019148147372051998,0.003192674273721798,154.5,25.5,0.8970274160206719,True
Phacidiales,3,0.0189593427427849,0.0014847749115410487,180.0,25.0,0.8534381818181819,True
Lulworthiales,1,0.0179340747420098,0.0,179.0,0.0,0.8510072625698324,True
Glomerellales,108,0.01791316025647855,0.0013150905183964522,225.0,53.0,0.8377090854697755,False
Botryosphaeriales,44,0.01782997250473825,0.0020447471183980756,217.5,84.25,0.8424597422235023,False
Chaetosphaeriales,2,0.01754696560064135,0.0031971898158880477,253.0,125.0,0.8461932250330688,True
Microthyriales,1,0.0174733531364668,0.0,200.0,0.0,0.8343465,True
Helotiales,153,0.0173116089613034,0.002412623784722897,201.0,63.0,0.8546522321428571,False
Phaeotrichales,1,0.0172457519655084,0.0,136.0,0.0,0.8395470588235294,True
Sordariales,112,0.017215110051671548,0.0034717114069488762,164.0,56.25,0.8461934680451129,False
Cladosporiales,30,0.0171183308845514,0.0016416261795420516,196.0,29.5,0.8570082261904762,False
Magnaporthales,24,0.0170886798327261,0.0026705657651424526,183.0,31.75,0.8353794049403869,False
Aulographales,2,0.01698973207157415,0.001507498569036151,180.0,3.0,0.8751070065759007,True
Ostropales,5,0.0169853648114517,0.005489486556198398,159.0,81.0,0.8405836734693878,False
Togniniales,1,0.0169591942531289,0.0,229.0,0.0,0.8467497816593886,True
Xylobotryales,1,0.0169565217391304,0.0,156.0,0.0,0.8558,True
Calosphaeriales,1,0.0168754794170288,0.0,198.0,0.0,0.8577075757575757,True
Hypocreales,553,0.0167791706846673,0.005854707917373601,191.0,138.0,0.8682777777777778,False
Trapeliales,12,0.016624490455662153,0.0021488099681484744,144.5,17.75,0.8752838310854207,False
Cephalothecales,2,0.016408501856947103,0.0036850847106278985,172.5,46.5,0.8453115025005435,True
Rhizocarpales,1,0.0163494102534158,0.0,140.0,0.0,0.8732457142857143,True
Xylariales,185,0.0162811316192472,0.0032211062118233,187.0,66.0,0.8400398305084745,False
Racodiales,1,0.0162515829463908,0.0,231.0,0.0,0.8300281385281385,True
Coronophorales,3,0.0160734787600459,0.0015451551905427494,378.0,20.5,0.8208196382428941,True
Diaporthales,67,0.0159854168127322,0.002846783062227503,203.0,40.5,0.8224800970873787,False
Valsariales,1,0.0159235668789808,0.0,120.0,0.0,0.8673433333333334,True
Marthamycetales,1,0.0158979391560353,0.0,162.0,0.0,0.8516524691358025,True
Pneumocystales,7,0.0157310302282541,0.018553848776332954,51.0,60.5,0.7359086956521739,False
Lecanorales,30,0.0156757160242893,0.0019535129885052994,158.5,30.75,0.854028158660272,False
Caliciales,3,0.0156087408949011,0.0042124255134125006,165.0,49.0,0.8520424242424243,True
Thelebolales,27,0.0155955100824476,0.002072689947050352,155.0,32.0,0.8136522727272727,False
Ascoideales,29,0.0155730533683289,0.0040564033223874,89.0,26.0,0.8810748344370861,False
Mycosphaerellales,90,0.015417175669397199,0.002885777404248776,167.0,64.5,0.8690463371813372,False
Ophiostomatales,68,0.01538652402922015,0.004016847386605776,124.0,51.5,0.8719082372505543,False
Microascales,72,0.0153615246995972,0.0017284939847628765,111.0,24.25,0.8566531109380409,False
Trigonopsidales,15,0.0152808096844612,0.015152535914790297,77.0,87.0,0.9076697674418605,False
Mytilinidiales,3,0.0150341685649202,0.0011633342570911993,180.0,10.0,0.8633016853932585,True
Hysterangiales,1,0.0149410912920423,0.0,227.0,0.0,0.8308286343612334,True
Cladochytriales,4,0.014904657049965249,0.0051332854201560744,168.5,36.75,0.8269543112116642,True
Venturiales,13,0.0148489503328213,0.0016858572574064007,161.0,36.0,0.8645307692307692,False
Hysteriales,2,0.01477239640731515,0.00040802006065494834,185.5,5.5,0.8372957431646306,True
Patellariales,1,0.0147558262091579,0.0,126.0,0.0,0.8741063492063492,True
Phaeomoniellales,2,0.0145599930448632,0.000708948539867799,127.0,5.0,0.8539406048186786,True
Pyrenulales,2,0.0145590030978005,0.00033776491335020184,169.0,2.0,0.8427511205658857,True
Leucosporidiales,3,0.0144492608647326,0.0012048622502720992,129.0,10.0,0.8205653846153846,True
Ramicandelaberales,1,0.0143815915627996,0.0,120.0,0.0,0.859175,True
Lobulomycetales,2,0.0143551674143205,0.0009638834956079978,123.5,9.5,0.8187897243107769,True
Paraglomerales,2,0.0143484532852637,0.0003834814466710003,169.5,11.5,0.8007290090216099,True
Pertusariales,3,0.0142597638510445,0.0014792074891251498,157.0,13.0,0.8693294478527608,True
Kickxellales,153,0.0142035847142374,0.0029203017318466997,84.0,28.0,0.8684030769230769,False
Lineolatales,1,0.0141684322033898,0.0,107.0,0.0,0.8693738317757009,True
Sarrameanales,2,0.014112543088159,0.0002995934478713016,105.0,9.0,0.8553517817982457,True
Acrospermales,1,0.0141062602965403,0.0,137.0,0.0,0.8501766423357664,True
Pleosporales,223,0.0139939485627836,0.0014672402023065516,155.0,24.0,0.8386860759493671,False
Tilletiales,8,0.013900870276510349,0.0053259483976023005,113.5,28.75,0.8509461,False
Capnodiales,6,0.01377548214000575,0.0018262677304856003,118.0,18.0,0.8809643948296122,False
Phyllachorales,1,0.0137063727568178,0.0,97.0,0.0,0.8477082474226804,True
Auriculariales,8,0.013585605968561499,0.0016238896836842757,195.0,53.25,0.8121543399014779,False
Leotiales,2,0.0135017860651029,0.001711071253017499,110.0,14.0,0.8757776881720429,True
Rhizophydiales,10,0.013294841643081801,0.018711282188196423,85.0,27.5,0.8350369518716578,False
Trichosporonales,62,0.0132831414138782,0.0033006911167013514,105.0,63.0,0.8007159716060337,False
Sebacinales,11,0.0131295981890209,0.0007965846615395986,121.0,15.0,0.7915238461538462,False
Coniocybales,2,0.01300230406838035,0.00046523208132184975,94.0,1.0,0.8589939105829089,True
Sanchytriales,1,0.0129990714948932,0.0,28.0,0.0,0.8182892857142857,True
Geastrales,1,0.0128532551810759,0.0,307.0,0.0,0.8242433224755701,True
Umbilicariales,11,0.012806686438393,0.0008059364612956494,114.0,17.5,0.8711136842105264,False
Peltigerales,4,0.0127455088595241,0.0011716350347716984,132.5,31.0,0.8412301820820689,True
Dipodascales,200,0.012718704814554501,0.004065352828351751,72.0,30.25,0.8963423822975518,False
Rhizophlyctidales,2,0.01268125102538705,0.0036933285462184516,140.5,44.5,0.8352779420045044,True
Trechisporales,2,0.012601602348210051,0.0005789715136980487,124.5,5.5,0.8330534356819651,True
Cantharellales,36,0.01256130806802645,0.004292761229557376,165.0,88.0,0.8071238678804855,False
Eurotiales,483,0.01255930784259,0.001804701695521051,136.0,38.0,0.8472278911564626,False
Corticiales,3,0.0125168097651805,0.003391374255470401,121.0,51.0,0.8074654205607477,True
Saccharomycodales,23,0.0125095736533061,0.0036297039855735496,49.0,12.0,0.9161053333333332,False
Vezdaeales,2,0.01241124181982355,8.480373538045059e-05,83.0,4.0,0.8624265240797322,True
Phallales,4,0.0122814302202253,0.001261195161486501,161.5,80.75,0.8241239236641221,True
Polychytriales,1,0.0121895573952154,0.0,187.0,0.0,0.8126946524064171,True
Amylocorticiales,2,0.0121784712249933,0.0024108088257519984,120.5,17.5,0.8156422048684395,True
Arthoniales,3,0.0121757543673901,0.001550116696541249,92.0,26.5,0.8631684782608695,True
Pezizales,99,0.0121024204840968,0.0032805689925557,130.0,28.0,0.8471652777777777,False
Acarosporales,4,0.012065876956880751,0.002030091784423425,97.0,10.5,0.8603569834330419,True
Thelocarpales,2,0.01190968045206685,8.18930368327482e-05,74.5,0.5,0.8368869279279278,True
Lichinales,5,0.0118324272465622,0.00024825489185889907,74.0,21.0,0.855066304347826,False
Taphrinales,16,0.01182957529475765,0.0020891632097288244,70.0,15.5,0.8611970490833827,False
Phaffomycetales,112,0.0117659225584349,0.003404969667036975,68.0,21.0,0.909442105263158,False
Candelariales,4,0.0116621593384767,0.0015774104143060005,91.5,7.75,0.8628586063372718,True
Atheliales,3,0.0116253272396503,0.0022649745466318504,262.0,93.0,0.7918587786259542,True
Blastocladiales,7,0.011421063270669,0.0009474486352987008,113.0,29.0,0.8258522123893806,False
Tremellales,64,0.011317994073424601,0.0037949940814610006,80.0,38.5,0.8159791288923925,False
Teloschistales,22,0.011213513246992251,0.0020868478838248754,106.5,19.5,0.8654564916381946,False
Diversisporales,12,0.01106941558950755,0.002017548409397,417.5,245.25,0.8186966302824221,False
Saccharomycetales,157,0.0109763142692085,0.0043695025781012985,60.0,36.0,0.8999044776119403,False
Kriegeriales,4,0.010910177797100299,0.003880160294696025,83.0,49.5,0.8281697544642856,True
Zoopagales,11,0.0107913669064748,0.008861451329612448,67.0,90.5,0.8220621621621621,False
Eremomycetales,1,0.0106435037925128,0.0,87.0,0.0,0.8445908045977012,True
Agaricales,312,0.01058485986088395,0.0034967929655584755,131.0,75.5,0.8067936403508772,False
Serinales,452,0.01055471305459575,0.005481065524852474,57.0,31.0,0.8931418888129414,False
Sareales,1,0.0105177993527508,0.0,78.0,0.0,0.8618333333333333,True
Symbiotaphrinales,1,0.0104895104895104,0.0,87.0,0.0,0.8829689655172414,True
Polyporales,98,0.010396811956603899,0.0027248082255978256,118.0,50.5,0.8149142108690504,False
Chaetothyriales,63,0.0103923647932131,0.0015565199896947005,114.0,31.0,0.8651729166666666,False
Spizellomycetales,9,0.0103139521704635,0.0032306329601776984,89.0,36.0,0.8205978021978022,False
Geoglossales,7,0.0102598267821452,0.002956625807013299,94.0,46.0,0.8438212765957447,False
Glomerales,12,0.01004517232255945,0.0018073673845496012,273.5,102.75,0.7886996309081253,False
Alaninales,17,0.0098168774778176,0.0017122557869807004,58.0,13.0,0.8886021276595745,False
Pichiales,171,0.0097337006427915,0.003429518555555299,50.0,20.5,0.8865703296703297,False
Agaricostilbales,3,0.0097251585623678,0.0017753046183475,69.0,20.5,0.7941260869565218,True
Endogonales,4,0.0095742824191998,0.002084021000087675,148.5,86.75,0.7761864101485842,True
Umbelopsidales,6,0.0094694951799815,0.0008349828987443755,81.0,10.0,0.8093091236611489,False
Archaeosporales,3,0.0094389735627017,0.00046592634020235085,173.0,30.0,0.8022514619883041,True
Dacrymycetales,4,0.00943282720531775,0.0013151436168457754,91.0,9.25,0.7995604204204204,True
Xylonales,1,0.0094326536274101,0.0,68.0,0.0,0.89055,True
Hymenochaetales,22,0.00940788608183425,0.0022475418951638498,100.5,31.0,0.8065282952776336,False
Onygenales,71,0.0093322021573142,0.002081712819466699,74.0,20.0,0.848491304347826,False
Gloeophyllales,3,0.0091051805337519,0.0009657750797614009,87.0,8.0,0.8131602409638554,True
Erythrobasidiales,2,0.009089566482013301,0.001033171718669899,92.0,12.0,0.7999525480769231,True
Geminibasidiales,1,0.0090529247910863,0.0,78.0,0.0,0.79985,True
Dimargaritales,6,0.00878886051176075,0.00330017747598395,72.5,51.0,0.8210495786516854,False
Verrucariales,2,0.00877900550582585,0.0007170557869333512,82.0,6.0,0.8732081339712918,True
Microbotryales,7,0.0087496471916454,0.0017897162784831985,62.0,7.5,0.8258173333333333,False
Sporidiobolales,28,0.0087329932499479,0.002323285504887275,60.5,20.75,0.8108862570621469,False
Holtermanniales,2,0.0082220624153725,0.00047358975854049946,55.5,3.5,0.8065931225554106,True
Caulochytriales,1,0.0081371191135734,0.0,47.0,0.0,0.8044446808510638,True
Golubeviales,4,0.008070954300793201,0.000554038472418349,61.5,5.0,0.7665823484848484,True
Monoblepharidales,3,0.0080231065468549,0.0091665777012318,100.0,146.5,0.7947679245283019,True
Filobasidiales,25,0.0079884965649464,0.0014827738307157,51.0,14.0,0.8119450980392157,False
Cystobasidiales,12,0.0079854924350322,0.0010985140947591242,55.5,2.75,0.8085503637566138,False
Synchytriales,2,0.00796470092899435,0.0014773591568425504,59.0,18.0,0.8335313430471967,True
Sporopachydermiales,3,0.0079236082893132,0.0007766524484288488,39.0,4.0,0.8851514285714286,True
Cystofilobasidiales,19,0.0079015067989709,0.0024327305983643504,50.0,30.0,0.8200365853658537,False
Jaapiales,1,0.0078623220057657,0.0,90.0,0.0,0.792,True
Mortierellales,53,0.007748485928037,0.0019927067369627004,90.0,31.0,0.7792747252747253,False
Pucciniales,24,0.0077475640876187,0.002578047308712651,106.0,46.75,0.8048029014636158,False
Atractiellales,1,0.0076733544526575,0.0,109.0,0.0,0.8127422018348623,True
Neolectales,1,0.0076126030873334,0.0,36.0,0.0,0.8548333333333333,True
Mucorales,91,0.007446412424871,0.0026547242371418997,85.0,40.5,0.8079430303030303,False
Violaceomycetales,1,0.0071255306246209,0.0,47.0,0.0,0.7651702127659574,True
Exobasidiales,6,0.007071463163397049,0.0005107499462450749,50.5,2.5,0.821260137254902,False
Gomphales,6,0.006977523257975,0.0017762700023762502,99.5,48.25,0.8108014918625679,False
Microstromatales,6,0.006859197160735801,0.0007739368975406748,41.5,1.75,0.8202588690476191,False
Cyphobasidiales,1,0.0068504880972769,0.0,40.0,0.0,0.7860725,True
Lipomycetales,35,0.0068351284175642,0.0008969794209465996,42.0,9.0,0.8704041666666666,False
Boletales,338,0.006785359792805449,0.00183679026248395,73.0,32.0,0.8132605235042736,False
Mixiales,1,0.0066115702479338,0.0,40.0,0.0,0.801885,True
Entylomatales,1,0.0064303380049464,0.0,39.0,0.0,0.8293820512820513,True
Russulales,65,0.0063551736484067,0.0025570177393686,75.0,30.0,0.8198551282051282,False
Peribolosporales,2,0.0062143865006958,0.0005893865006958007,40.0,4.0,0.8004450757575757,True
Urocystidales,3,0.0061948273191884,0.0025136843122571,31.0,10.5,0.782478947368421,True
Ceraceosorales,2,0.0061100728343784,0.00011307133512809993,41.0,1.0,0.8049754166666667,True
Herpomycetales,1,0.0060503388189738,0.0,25.0,0.0,0.833488,True
Entrophosporales,2,0.006030828225146801,0.0016634200089600997,125.0,3.0,0.7740712986680328,True
Schizosaccharomycetales,7,0.0057412343653885,0.00209878538993365,28.0,9.0,0.8214892857142857,False
Erysiphales,14,0.005222690707093899,0.0015054953059837999,37.5,13.5,0.8346859649122808,False
Moniliellales,1,0.005022777712884,0.0,86.0,0.0,0.8003976744186047,True
Ustilaginales,47,0.0049743510026426,0.0009829128605404998,32.0,6.0,0.7915071428571429,False
Thelephorales,5,0.0045040536482834,0.0014144682246224997,44.0,11.0,0.8163296296296296,False
Wallemiales,3,0.0036756260050539,0.00020757315642614977,18.0,1.5,0.7799722222222222,True
Malasseziales,20,0.00267069963450055,0.0008235743326759997,10.0,2.75,0.8148239316239316,False
Georgefischeriales,1,0.0019848430169613,0.0,11.0,0.0,0.8037181818181819,True
