class,n_species,median_fraction,iqr_fraction,median_count,iqr_count,median_prob,small_n
Neocallimastigomycetes,8,0.038704723562494145,0.017816481388904473,625.5,343.25,0.8135147561443933,False
Orbiliomycetes,25,0.032053706505295,0.008171972116388704,339.0,108.0,0.8913186746987952,False
Basidiobolomycetes,3,0.0251713047126276,0.0019340026320965459,361.0,116.0,0.8416516990291262,True
Entomophthoromycetes,8,0.02003097976894375,0.005212372579508448,169.0,177.5,0.8348041160337554,False
Harpellomycetes,8,0.019271078726850598,0.0013060275837331985,156.0,6.5,0.8519363570634038,False
Physodermatomycetes,1,0.0191701349476604,0.0,152.0,0.0,0.7767296052631579,True
Alloascoideomycetes,2,0.019148147372051998,0.003192674273721798,154.5,25.5,0.8970274160206719,True
Xylobotryomycetes,1,0.0169565217391304,0.0,156.0,0.0,0.8558,True
Leotiomycetes,205,0.0168556861929039,0.0031185664918993005,187.0,63.0,0.8524161616161616,False
Sordariomycetes,1222,0.01675123941081405,0.003988148736901552,185.0,108.75,0.8534677928892697,False
Pneumocystomycetes,7,0.0157310302282541,0.018553848776332954,51.0,60.5,0.7359086956521739,False
Chytridiomycetes,56,0.0156478242848472,0.010709205880317874,132.5,142.25,0.8281163986762702,False
Trigonopsidomycetes,15,0.0152808096844612,0.015152535914790297,77.0,87.0,0.9076697674418605,False
Dothideomycetes,483,0.0148001973359644,0.0034763920131776482,162.0,52.0,0.8498211538461539,False
Kickxellomycetes,153,0.0142035847142374,0.0029203017318466997,84.0,28.0,0.8684030769230769,False
Lecanoromycetes,100,0.0139899508199424,0.00367859946762575,130.0,52.25,0.8601904135338345,False
Coniocybomycetes,2,0.01300230406838035,0.00046523208132184975,94.0,1.0,0.8589939105829089,True
Sanchytriomycetes,1,0.0129990714948932,0.0,28.0,0.0,0.8182892857142857,True
Dipodascomycetes,200,0.012718704814554501,0.004065352828351751,72.0,30.25,0.8963423822975518,False
Arthoniomycetes,3,0.0121757543673901,0.001550116696541249,92.0,26.5,0.8631684782608695,True
Eurotiomycetes,624,0.0121746274828429,0.0025734289850128256,128.0,51.0,0.848909225009022,False
Pezizomycetes,99,0.0121024204840968,0.0032805689925557,130.0,28.0,0.8471652777777777,False
Lichinomycetes,5,0.0118324272465622,0.00024825489185889907,74.0,21.0,0.855066304347826,False
Taphrinomycetes,16,0.01182957529475765,0.0020891632097288244,70.0,15.5,0.8611970490833827,False
Saccharomycetes,321,0.0117081329709387,0.004475063410396999,64.0,33.0,0.903841304347826,False
Candelariomycetes,4,0.0116621593384767,0.0015774104143060005,91.5,7.75,0.8628586063372718,True
Blastocladiomycetes,7,0.011421063270669,0.0009474486352987008,113.0,29.0,0.8258522123893806,False
