class,n_species,median_fraction,iqr_fraction,median_count,iqr_count,median_prob,small_n
Neocallimastigomycetes,5,0.0416923076923076,0.006698529406175727,542.0,354.5,0.8117966027874565,False
Orbiliomycetes,5,0.03006834909355351,0.008497639287649454,313.77777777777777,91.5,0.8894345923611036,False
Basidiobolomycetes,1,0.0258253936784849,0.0,317.6666666666667,0.0,0.8396530265872197,True
Trigonopsidomycetes,4,0.023049437770644124,0.005440445172253967,123.60714285714286,44.02678571428572,0.9177637935477732,True
Entomophthoromycetes,5,0.01990327809479705,0.0172204903836023,168.0,140.0,0.8348278928884987,False
Harpellomycetes,4,0.0193043823224279,0.002322105997579458,156.9,4.899999999999977,0.8492425543521227,True
Physodermatomycetes,1,0.0191701349476604,0.0,152.0,0.0,0.7767296052631579,True
Alloascoideomycetes,1,0.019148147372051998,0.0,154.5,0.0,0.8970274160206719,True
Xylobotryomycetes,1,0.0169565217391304,0.0,156.0,0.0,0.8558,True
Leotiomycetes,78,0.0167545029291802,0.0031872600585619235,196.5,84.625,0.8535894372294373,False
Pneumocystomycetes,1,0.01606674978569363,0.0,52.142857142857146,0.0,0.7534459444194983,True
Sordariomycetes,221,0.0158093736239582,0.0034592638133322667,164.0,69.66666666666666,0.8501722222222222,False
Monoblepharidomycetes,2,0.015707437053290575,0.008672495302966425,211.25,134.75,0.8048474363343876,True
Chytridiomycetes,34,0.01552491162663195,0.007958135482197915,137.5,122.25,0.8264091032972406,False
Dothideomycetes,178,0.014633757495114051,0.002586133247127649,158.77272727272725,49.5,0.8507018177605528,False
Lecanoromycetes,60,0.0138623523308452,0.0034905728105764054,127.0,55.34375,0.8575648913008145,False
Kickxellomycetes,7,0.013550996046671,0.001664362176845631,84.54109589041096,13.0,0.8615550561797752,False
Coniocybomycetes,2,0.01300230406838035,0.00046523208132184975,94.0,1.0,0.8589939105829089,True
Sanchytriomycetes,1,0.0129990714948932,0.0,28.0,0.0,0.8182892857142857,True
Saccharomycetes,34,0.012746260836225431,0.0025473262260226823,67.125,20.01488095238095,0.9027690905013894,False
Geoglossomycetes,5,0.012355467137915625,0.0039326522399203995,137.0,58.75,0.8438212765957447,False
Pezizomycetes,24,0.012345270226869938,0.004540696557687003,131.25,34.625,0.8492172196335066,False
Candelariomycetes,3,0.0123285947917977,0.0009724173933762757,93.0,7.5,0.8645132653061225,True
Dipodascomycetes,17,0.012272838608454425,0.0023543300192215167,74.73684210526316,21.66666666666667,0.8907594900632206,False
Arthoniomycetes,3,0.0121757543673901,0.001550116696541249,92.0,26.5,0.8631684782608695,True
Taphrinomycetes,2,0.012128308119864508,0.0004203006616393355,71.93650793650794,3.507936507936506,0.8610583925603406,True
Lichinomycetes,4,0.0117832146497268,0.0009551133401292499,82.25,21.875,0.861533152173913,True
Agaricostilbomycetes,2,0.011034952467894599,0.0016201343807405993,83.5,18.5,0.8146241045099437,True
Blastocladiomycetes,4,0.010916246390902766,0.0018242184851171503,113.75,19.791666666666657,0.8041837420899534,True
Zoopagomycetes,8,0.010741046200827168,0.010477830280857475,85.0,78.25,0.8167390810810811,False
Sareomycetes,1,0.0105177993527508,0.0,78.0,0.0,0.8618333333333333,True
Tremellomycetes,32,0.010350783136913233,0.003705907652222621,73.66666666666666,39.025,0.8148320069293846,False
Microbotryomycetes,8,0.010349585850884576,0.0030595528409749356,76.5,34.55357142857143,0.8200078119401594,False
Pichiomycetes,53,0.0100829757096762,0.0029088877872917723,53.193548387096776,17.700000000000003,0.8920205128205129,False
Eurotiomycetes,60,0.009969907962303955,0.003036792240493774,91.75,49.565789473684205,0.85781291638906,False
Glomeromycetes,15,0.009788189987163,0.003823828096446375,217.0,201.52380952380958,0.8025171296296296,False
Endogonomycetes,3,0.0096216511651074,0.001556425378748649,123.0,77.0,0.7805170731707317,True
Dacrymycetes,2,0.009488110244008476,0.0002501221176026726,90.25,7.25,0.7947349772909555,True
Xylonomycetes,1,0.0094326536274101,0.0,68.0,0.0,0.89055,True
Agaricomycetes,295,0.0093242430318828,0.0038697275053028186,103.66666666666667,60.08333333333334,0.810003256302521,False
Umbelopsidomycetes,1,0.009208349794087883,0.0,78.16666666666667,0.0,0.8127957142936283,True
Geminibasidiomycetes,1,0.0090529247910863,0.0,78.0,0.0,0.79985,True
Dimargaritomycetes,3,0.00878886051176075,0.0006929352055071499,72.5,31.33333333333333,0.8153771186440678,True
Cystobasidiomycetes,4,0.008461215741855242,0.0014620753425292161,77.5,28.65,0.8028816586538461,True
Atractiellomycetes,1,0.0076733544526575,0.0,109.0,0.0,0.8127422018348623,True
Neolectomycetes,1,0.0076126030873334,0.0,36.0,0.0,0.8548333333333333,True
Sporopachydermiomycetes,1,0.0075424640797787665,0.0,39.0,0.0,0.8750109810602833,True
Mortierellomycetes,13,0.0073918689441614,0.0021297647433035733,90.5,31.0,0.7813754740918804,False
Mucoromycetes,36,0.007181245394994011,0.002066572238648449,79.1,30.975,0.8097501380498144,False
Exobasidiomycetes,14,0.00698639214756835,0.0016083745034659756,45.75,15.5,0.8109433928571429,False
Lipomycetes,5,0.0067808708065667,0.00015619410451375108,39.0,2.5833333333333357,0.8666472520041372,False
Pucciniomycetes,7,0.0067149673087117,0.0019453299314672618,123.0,75.18333333333334,0.8223059907834102,False
Mixiomycetes,1,0.0066115702479338,0.0,40.0,0.0,0.801885,True
Peribolosporomycetes,1,0.0062143865006958,0.0,40.0,0.0,0.8004450757575757,True
Laboulbeniomycetes,1,0.0060503388189738,0.0,25.0,0.0,0.833488,True
Schizosaccharomycetes,1,0.005919853274327272,0.0,27.857142857142858,0.0,0.8480196963390619,True
Ustilaginomycetes,15,0.0051838652195042,0.0009261516845598325,32.0,3.6666666666666643,0.7940884874912711,False
Moniliellomycetes,1,0.005022777712884,0.0,86.0,0.0,0.8003976744186047,True
Wallemiomycetes,1,0.0037956945423962,0.0,17.666666666666668,0.0,0.776600828460039,True
Malasseziomycetes,1,0.00261818297998716,0.0,9.9,0.0,0.8236045159007659,True
