,Ascomycota,Basidiomycota,Blastocladiomycota,Chytridiomycota,Microsporidia,Mucoromycota,Zoopagomycota
Ascomycota,1.0,9.189991386320557e-82,0.38313565726883103,0.31840471880725646,9.337540839601187e-05,3.951057039402184e-31,0.43692477544604114
Basidiomycota,9.189991386320557e-82,1.0,0.1444227341690351,1.8470000107536764e-16,0.30487648133530465,0.05260616698916252,2.1699417776073567e-07
Blastocladiomycota,0.38313565726883103,0.1444227341690351,1.0,0.26697497122534597,0.0666196539349498,0.04805662982940539,0.5946114671146498
Chytridiomycota,0.31840471880725646,1.8470000107536764e-16,0.26697497122534597,1.0,5.3258440763193004e-05,1.7619648683903583e-16,0.23779020403721518
Microsporidia,9.337540839601187e-05,0.30487648133530465,0.0666196539349498,5.3258440763193004e-05,1.0,0.6359130383910678,0.0014635975421422626
Mucoromycota,3.951057039402184e-31,0.05260616698916252,0.04805662982940539,1.7619648683903583e-16,0.6359130383910678,1.0,7.987748318297593e-09
Zoopagomycota,0.43692477544604114,2.1699417776073567e-07,0.5946114671146498,0.23779020403721518,0.0014635975421422626,7.987748318297593e-09,1.0
