class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Agaricomycetes,108548,108548,-0.09075463280585136,-0.3097808350663893,8140743615.0,0.0,0.0
Agaricostilbomycetes,232,232,-0.12939573060549453,-0.3173828783282777,35815.0,7.076773929489594e-10,1.0615160894234392e-09
Alloascoideomycetes,309,309,-0.1542553191489361,-0.409090909090909,68675.0,3.994154831475237e-21,8.55890321030408e-21
Arthoniomycetes,315,315,-0.2060975609756097,-0.4923387096774193,70818.0,1.6426684327199816e-20,3.3986243435585825e-20
Atractiellomycetes,109,109,-0.2188235294117647,-0.3090425531914894,6668.0,0.1184611481085285,0.129230343391122
Basidiobolomycetes,953,953,-0.4766423357664234,-0.3357142857142857,352457.0,2.6530478959055175e-17,4.82372344710094e-17
Blastocladiomycetes,786,786,-0.18619854721549628,-0.16645721714465805,293785.0,0.09308474403616594,0.10342749337351771
Candelariomycetes,357,357,-0.0279257465698143,-0.3911666666666666,99735.0,5.049785698076799e-39,1.3173353994982951e-38
Chytridiomycetes,9007,9007,-0.0812095032397408,-0.2742788461538462,52063292.0,3.772008553644792e-238,1.7409270247591346e-237
Coniocybomycetes,188,188,-0.22690615512927434,-0.4626495831039895,24729.0,2.1339005998132264e-11,3.282923999712656e-11
Cystobasidiomycetes,996,996,-0.24658098682510982,-0.38931941881380083,609288.0,1.091761334980943e-18,2.183522669961886e-18
Dacrymycetes,361,361,-0.0927021696252465,-0.2752212389380531,89752.5,1.6931027649385504e-18,3.276973093429452e-18
Dimargaritomycetes,429,429,-0.3053693570451435,-0.3376044568245125,93794.5,0.6251133764117693,0.6466690100811406
Dipodascomycetes,15432,15432,-0.117928492186851,-0.347206123450602,160801290.5,0.0,0.0
Dothideomycetes,82261,82261,-0.1508042895442359,-0.3765690376569038,4742633861.0,0.0,0.0
Endogonomycetes,611,611,-0.1967625899280576,-0.3211267605633802,204404.0,0.004021218109786207,0.005026522637232758
Entomophthoromycetes,1981,1981,-0.4899641577060932,-0.3297345132743361,1411765.0,9.027085971679358e-53,2.461932537730734e-52
Eurotiomycetes,78324,78324,-0.1645557087354305,-0.33078180970770354,4016174423.5,0.0,0.0
Exobasidiomycetes,1751,1751,-0.2018779342723005,-0.391710758377425,2056623.0,1.3690140941295545e-68,4.107042282388664e-68
Geminibasidiomycetes,78,78,-0.1982011000602772,-0.2017684828246618,2921.0,0.6693038645286864,0.6693038645286864
Geoglossomycetes,1121,1121,-0.0621753246753246,-0.3522796352583586,941972.5,4.391302283190266e-93,1.3867270367969262e-92
Glomeromycetes,9158,9158,-0.5282018389440903,-0.4835455278001612,42682937.0,0.03645293776633635,0.0428858091368663
Harpellomycetes,1270,1270,-0.33653550371699564,-0.4208507199529826,881454.0,4.9387827617685674e-05,6.891324783863118e-05
Kickxellomycetes,12911,12911,-0.2715328467153284,-0.2885496183206107,81356787.0,0.0008908451132438716,0.0011619718868398324
Laboulbeniomycetes,25,25,-0.2052823315118397,-0.23671875,401.0,0.08773829506214073,0.09932637176846121
Lecanoromycetes,13364,13364,-0.0595970797003145,-0.3859696226975638,137064873.0,0.0,0.0
Leotiomycetes,38582,38582,-0.0333541666666667,-0.3529428481919083,1132466953.5,0.0,0.0
Lichinomycetes,394,394,-0.16218051000388456,-0.41554586563307494,111147.0,9.136752953287365e-26,2.1084814507586227e-25
Lipomycetes,1493,1493,-0.0641065830721003,-0.3035222052067382,1639604.0,4.475069124017663e-110,1.4916897080058877e-109
Malasseziomycetes,205,205,-0.4701195219123507,-0.2839793281653747,12872.0,1.1620664396217311e-11,1.8348417467711545e-11
Microbotryomycetes,3100,3100,-0.08644035644103734,-0.32467948717948714,6949060.0,2.5424491970614316e-203,1.0169796788245726e-202
Mixiomycetes,40,40,-0.11095821872332351,-0.24852316890881904,1050.0,0.016358610284503583,0.019630332341404298
Moniliellomycetes,86,86,-0.2874064856159872,-0.297460233872079,3846.0,0.6514766456707437,0.6625186227160106
Monoblepharidomycetes,499,499,-0.0743801652892562,-0.2222222222222222,160294.0,3.795593244415379e-15,6.506731276140649e-15
Mortierellomycetes,4923,4923,-0.1123711340206185,-0.3740420271940667,16618508.0,1.7377357557791248e-223,7.447438953339105e-223
Mucoromycetes,8625,8625,-0.311715481171548,-0.4248520710059172,42511530.0,2.008867230810662e-59,5.739620659459035e-59
Neocallimastigomycetes,5311,5311,-0.5309876543209877,-0.494943820224719,13017248.5,6.273452034265656e-12,1.0173165460971333e-11
Neolectomycetes,36,36,-0.0199689118024516,-0.2255191660191661,936.0,0.0012040951722330087,0.0015371427730634154
Orbiliomycetes,7964,7964,-0.1407461513909008,-0.3823838495575221,44746449.0,0.0,0.0
Peribolosporomycetes,80,80,-0.15566453027491983,-0.39582623762376246,4407.0,3.832923315734164e-05,5.475604736763092e-05
Pezizomycetes,12856,12856,-0.06379622765834775,-0.383643417560863,121611578.0,0.0,0.0
Physodermatomycetes,152,152,-0.19475900497213955,-0.36703313029267565,13576.0,0.008276256644922382,0.01013419181010904
Pichiomycetes,40517,40517,-0.1332467532467531,-0.3618843683083512,1131535570.5,0.0,0.0
Pneumocystomycetes,365,365,-0.6841420710355179,-0.3812280701754387,33794.0,1.0465249501944611e-30,2.6163123754861528e-30
Pucciniomycetes,2694,2694,-0.3415557969046973,-0.4850368516200806,4272877.5,1.6206836610625209e-29,3.88964078655005e-29
Saccharomycetes,22835,22835,-0.1254838709677419,-0.4012383900928793,389876901.5,0.0,0.0
Sanchytriomycetes,28,28,-0.4268200281206061,-0.34513785461369284,336.0,0.3631023416636381,0.3822129912248822
Sareomycetes,78,78,-0.013363821138211301,-0.45942881944444447,5032.0,1.7682109207950624e-12,2.947018201325104e-12
