phylum,n,median,iqr,small_n
Mucoromycota,23786,8.378297507561422,3.8960657662947726,False
Chytridiomycota,14817,8.125,4.199576189558852,False
Ascomycota,555861,7.971014492753623,3.597206393734841,False
Sanchytriomycota,28,7.840260152284264,4.087893875071398,False
Cryptomycota,40,7.784128779463149,2.0742582309189803,False
Microsporidia,65,7.6701821668264625,3.1257655560999513,False
Zoopagomycota,18647,7.622298065984073,3.6608945880027246,False
Basidiomycota,135340,7.561756857066092,3.481326624619091,False
Blastocladiomycota,938,6.8707695511819225,3.569817058044408,False
