order,n,median,iqr,small_n
Pneumocystales,365,1041.0,143.0,False
Neocallimastigales,5311,590.0,695.0,False
Malasseziales,198,518.0,437.5,False
Saccharomycodales,1209,495.0,507.0,False
Saccharomycetales,10896,479.0,418.0,False
Violaceomycetales,47,475.0,417.0,False
Dipodascales,15432,474.0,522.0,False
Glomerales,3235,462.0,773.0,False
Microstromatales,263,458.0,455.5,False
Physodermatales,152,456.5,772.25,False
Taphrinales,1158,448.5,363.0,False
Sanchytriales,28,445.5,366.5,False
Lipomycetales,1493,444.0,338.0,False
Myriangiales,1644,439.0,362.5,False
Urocystidales,90,425.0,399.75,False
Trigonopsidales,1571,425.0,385.0,False
Geoglossales,919,420.0,438.0,False
Serinales,29673,416.0,438.0,False
Schizosaccharomycetales,195,416.0,526.0,False
Trypetheliales,1532,413.0,430.0,False
Cladochytriales,667,413.0,424.0,False
Ustilaginales,1513,413.0,461.0,False
Phaffomycetales,8112,410.0,396.0,False
Dothideales,7123,409.0,364.0,False
Moniliellales,86,407.5,497.5,False
Spizellomycetales,719,406.0,477.5,False
Lichinales,394,403.0,334.75,False
Xylonales,68,402.5,348.75,False
Ceraceosorales,82,402.0,386.25,False
Arthoniales,315,400.0,355.0,False
Blastocladiales,786,397.5,308.75,False
Valsariales,120,396.5,292.5,False
Monoblepharidales,499,396.0,370.5,False
Entylomatales,39,395.0,371.5,False
Capnodiales,705,393.0,351.0,False
Coronophorales,1111,392.0,405.0,False
Pichiales,9920,389.0,371.0,False
Aulographales,360,388.5,382.25,False
Tilletiales,847,385.0,284.0,False
Marthamycetales,162,382.0,345.5,False
Cladosporiales,5652,379.0,332.25,False
Chaetothyriales,7050,378.0,363.0,False
Symbiotaphrinales,87,377.0,243.5,False
Polychytriales,187,374.0,410.0,False
Coniocybales,188,374.0,329.75,False
Caliciales,433,373.0,320.0,False
Microthyriales,200,371.5,355.0,False
Lecanorales,4757,371.0,374.0,False
Phacidiales,560,371.0,359.25,False
Chytridiales,4990,371.0,362.0,False
Botryosphaeriales,8644,370.0,366.0,False
Umbilicariales,1286,368.5,337.75,False
Rhizocarpales,140,367.5,412.5,False
Ascoideales,2618,367.0,399.75,False
Mycosphaerellales,15456,367.0,349.0,False
Atractiellales,109,366.0,342.0,False
Sareales,78,365.5,254.75,False
Caulochytriales,47,365.0,327.0,False
Alaninales,924,364.5,359.0,False
Filobasidiales,1303,364.0,287.0,False
Verrucariales,164,364.0,374.75,False
Microbotryales,451,361.0,289.0,False
Herpomycetales,25,360.0,493.0,False
Wallemiales,53,360.0,196.0,False
Lobulomycetales,247,360.0,392.5,False
Hysteriales,371,359.0,330.5,False
Leotiales,220,358.5,277.75,False
Synchytriales,118,358.0,368.25,False
Venturiales,2053,356.0,332.0,False
Candelariales,357,356.0,299.0,False
Exobasidiales,265,356.0,344.0,False
Alloascoideales,309,356.0,345.0,False
Cystobasidiales,707,355.0,339.0,False
Mytilinidiales,556,354.5,321.5,False
Chaetomellales,186,354.5,333.75,False
Peltigerales,538,353.5,368.25,False
Sarrameanales,210,351.5,290.5,False
Erythrobasidiales,184,351.0,307.75,False
Trapeliales,1685,351.0,297.0,False
Diversisporales,4759,349.0,548.0,False
Kickxellales,12911,348.0,310.0,False
Phyllachorales,97,347.0,402.0,False
Gomphales,758,346.5,489.75,False
Orbiliales,7964,346.5,280.0,False
Acarosporales,382,346.0,269.75,False
Harpellales,1270,346.0,330.0,False
Rhizophydiales,976,345.0,363.25,False
Racodiales,231,344.0,341.0,False
Helotiales,31960,343.0,317.0,False
Tremellales,5221,343.0,287.0,False
Cystofilobasidiales,1143,341.0,291.0,False
Hypocreales,111096,341.0,354.0,False
Chaetosphaeriales,506,340.5,290.75,False
Xylobotryales,156,340.0,315.75,False
Georgefischeriales,11,337.0,420.5,False
Paraglomerales,339,336.0,497.0,False
Thelocarpales,149,335.0,359.0,False
Pucciniales,2694,335.0,376.0,False
Ophiostomatales,8935,335.0,324.0,False
Lineolatales,107,335.0,327.5,False
Microascales,8572,334.0,353.0,False
Phaeomoniellales,254,334.0,310.75,False
Holtermanniales,111,333.0,272.5,False
Pertusariales,457,332.0,290.0,False
Pleosporales,34727,332.0,308.0,False
Coniochaetales,1953,331.0,286.0,False
Glomerellales,23969,331.0,344.0,False
Sordariales,19983,330.0,307.0,False
Acrospermales,137,330.0,318.0,False
Phaeotrichales,136,326.5,341.0,False
Lulworthiales,179,326.0,312.0,False
Pezizales,12856,325.0,318.0,False
Sporidiobolales,1747,325.0,298.0,False
Zoopagales,983,325.0,348.0,False
Vezdaeales,166,324.5,271.75,False
Sebacinales,1334,324.5,306.75,False
Umbelopsidales,469,324.0,383.0,False
Neolectales,36,323.5,379.0,False
Pyrenulales,338,323.5,278.25,False
Amylocorticiales,241,323.0,276.0,False
Calosphaeriales,198,321.5,298.75,False
Rhizophlyctidales,281,320.0,285.0,False
Leucosporidiales,369,319.0,263.0,False
Ostropales,744,319.0,282.5,False
Hysterangiales,227,316.0,283.0,False
Erysiphales,567,316.0,277.5,False
Cephalothecales,345,316.0,255.0,False
Patellariales,126,316.0,259.25,False
Kriegeriales,306,315.5,264.75,False
Teloschistales,2332,315.5,290.0,False
Togniniales,229,313.0,306.0,False
Mucorales,8625,312.0,390.0,False
Xylariales,37218,312.0,298.0,False
Trichosporonales,7579,312.0,279.0,False
Thelephorales,205,310.0,250.0,False
Russulales,5177,309.0,283.0,False
Agaricales,50905,308.0,279.0,False
Cantharellales,5954,307.0,322.0,False
Boletales,25603,307.0,370.0,False
Hymenochaetales,2325,306.0,258.0,False
Magnaporthales,4288,302.0,352.0,False
Golubeviales,244,300.0,274.75,False
Eurotiales,65072,300.0,278.0,False
Eremomycetales,87,298.0,259.5,False
Diaporthales,13567,297.0,280.0,False
Thelebolales,4041,295.0,219.0,False
Entomophthorales,1981,295.0,318.0,False
Geastrales,307,294.0,299.5,False
Trechisporales,249,293.0,203.0,False
Agaricostilbales,232,292.5,213.0,False
Atheliales,644,292.0,299.25,False
Basidiobolales,953,291.0,275.0,False
Geminibasidiales,78,287.5,212.5,False
Dacrymycetales,361,287.0,227.0,False
Onygenales,5353,285.0,255.0,False
Archaeosporales,575,285.0,372.0,False
Phallales,613,285.0,282.0,False
Jaapiales,90,284.5,282.5,False
Gloeophyllales,269,282.0,298.0,False
Auriculariales,1623,281.0,212.0,False
Sporopachydermiales,117,277.0,264.0,False
Peribolosporales,80,276.0,369.5,False
Polyporales,11587,272.0,223.0,False
Dimargaritales,429,272.0,231.0,False
Endogonales,611,265.0,208.5,False
Mixiales,40,265.0,351.0,False
Cyphobasidiales,40,259.0,224.25,False
Ramicandelaberales,120,251.5,296.25,False
Entrophosporales,250,248.0,333.75,False
Mortierellales,4923,247.0,319.0,False
Corticiales,437,244.0,218.0,False
