order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Acarosporales,382,382,-6.0,-2.0,50085.5,6.181698795365362e-14,1.174522771119419e-13
Acrospermales,137,137,-11.0,-5.0,5562.5,5.550458066226234e-09,8.707599351602624e-09
Agaricales,50905,50905,-8.0,-3.0,923822210.0,0.0,0.0
Agaricostilbales,232,232,-6.0,-4.0,24074.5,0.049394324831453416,0.05345841484923123
Alaninales,924,924,-20.0,-5.0,195723.0,2.2417054100897316e-90,9.583290628133602e-90
Alloascoideales,309,309,-19.0,-3.0,16286.5,1.294821724214821e-45,4.5186635681782533e-45
Amylocorticiales,241,241,-10.0,-3.0,17310.5,1.6489900748354854e-14,3.3173800329043296e-14
Archaeosporales,575,575,-2.0,-2.0,156694.5,0.1257327368092781,0.132717888854238
Arthoniales,315,315,-8.0,-4.0,37336.5,7.613705237998997e-08,1.172922158286332e-07
Ascoideales,2618,2618,-15.0,-3.0,1679070.0,3.251983893908025e-224,2.2243569834330893e-223
Atheliales,644,644,-9.0,-3.0,144511.5,4.444622685783495e-21,1.1515613322257237e-20
Atractiellales,109,109,-11.0,-6.0,4528.5,0.002423638840070375,0.0030251258514747015
Aulographales,360,360,-12.0,-4.0,41258.5,3.194505027848072e-17,7.094290386519745e-17
Auriculariales,1623,1623,-6.0,-4.0,1075668.0,1.4856827494926643e-19,3.6293107166177943e-19
Basidiobolales,953,953,-7.0,-3.0,350343.0,5.6319567070065064e-18,1.301438644456909e-17
Blastocladiales,786,786,-4.0,-1.0,244353.0,7.232724415287364e-13,1.3157402925682333e-12
Boletales,25603,25603,-10.0,-3.0,192662501.0,0.0,0.0
Botryosphaeriales,8644,8644,-12.0,-4.0,22431371.0,0.0,0.0
Caliciales,433,433,-7.0,-2.0,61611.0,2.431188999499056e-18,5.694976971429296e-18
Calosphaeriales,198,198,-13.0,-5.0,11400.5,5.856980100702822e-13,1.0769285991614866e-12
Candelariales,357,357,-4.0,-2.0,52898.0,8.475878238056256e-05,0.00011502977608790634
Cantharellales,5954,5954,-4.0,-3.0,16113894.5,8.315416050174672e-18,1.8959148594398253e-17
Capnodiales,705,705,-14.0,-4.0,141524.0,1.575928594692702e-44,5.389675793849042e-44
Caulochytriales,47,47,-9.0,-4.0,825.5,0.035129307669912076,0.03875555878422558
