class,n,median,iqr,small_n
Saccharomycetes,22835,36.34920634920635,11.488412090483997,False
Alloascoideomycetes,309,35.820895522388064,12.489513218222601,False
Trigonopsidomycetes,1571,35.728542914171655,14.062377443332963,False
Schizosaccharomycetes,195,35.65573770491803,19.034589673835185,False
Dipodascomycetes,15432,35.10444769498697,12.567977706964825,False
Pichiomycetes,40517,34.59119496855346,12.857700201855707,False
Coniocybomycetes,188,33.84375,13.601883108448082,False
Xylonomycetes,68,33.817605360320414,14.786833304898146,False
Sareomycetes,78,33.066049537152864,14.282901408445412,False
Sporopachydermiomycetes,117,32.79352226720648,11.725548298240856,False
Candelariomycetes,357,32.42424242424242,10.09791122715405,False
Arthoniomycetes,315,32.14285714285714,12.40592036309289,False
Laboulbeniomycetes,25,31.91489361702128,10.588025180580917,False
Lipomycetes,1493,31.640625,12.952909369265683,False
Lecanoromycetes,13364,31.57259932815939,9.90051089500404,False
Orbiliomycetes,7964,31.43691280312774,8.90798882135919,False
Xylobotryomycetes,156,31.16782989774387,10.589735544520266,False
Dimargaritomycetes,429,31.00436681222708,11.063011063011068,False
Neolectomycetes,36,30.73440962329851,6.960048462640103,False
Harpellomycetes,1270,30.70690679709284,15.002631623198642,False
Lichinomycetes,394,30.493492082533592,13.136986235702793,False
Eurotiomycetes,78324,30.43478260869565,12.143524336173392,False
Pucciniomycetes,2694,30.234733174399413,13.649823945346448,False
Taphrinomycetes,1158,30.193504609481025,9.599126391432996,False
Leotiomycetes,38582,30.12820512820513,10.806398931787104,False
Cystobasidiomycetes,996,29.899434000404284,10.11827897323699,False
Dothideomycetes,82261,29.694323144104803,10.740883084486924,False
Peribolosporomycetes,80,29.42389926295206,11.377027464304494,False
Agaricostilbomycetes,232,29.37134981714972,7.716983446652197,False
Atractiellomycetes,109,29.310344827586206,9.294403055694158,False
Exobasidiomycetes,1751,29.133858267716537,10.699755173170985,False
Sordariomycetes,234430,29.11392405063291,10.884683027574745,False
Entomophthoromycetes,1981,29.06574394463668,15.820281601012503,False
Umbelopsidomycetes,469,29.03225806451613,11.630794701986758,False
Chytridiomycetes,9007,28.8,10.287613185402215,False
Microbotryomycetes,3100,28.759691842750627,10.116161545753638,False
Pezizomycetes,12856,28.744939271255063,11.247433464422897,False
Mixiomycetes,40,28.731329173756855,4.492001526060928,False
Tremellomycetes,15357,28.46153846153846,10.310377041894544,False
Blastocladiomycetes,786,28.40118343195266,12.66621253326084,False
Moniliellomycetes,86,28.32512315270936,12.916596137202585,False
Kickxellomycetes,12911,28.18181818181818,15.745148081894612,False
Sanchytriomycetes,28,28.01154009034444,9.383557284508335,False
Geoglossomycetes,1121,27.45762711864407,10.502747252747255,False
Geminibasidiomycetes,78,27.379306009554938,11.264895999680679,False
Mortierellomycetes,4923,26.666666666666668,11.192816968199914,False
Agaricomycetes,108548,26.627785712666345,10.3712546653584,False
Monoblepharidomycetes,499,26.53061224489796,8.618891086395703,False
Dacrymycetes,361,26.5158371040724,7.3796791443850225,False
Mucoromycetes,8625,26.086956521739133,13.705568691075648,False
Ustilaginomycetes,1650,25.754324359474573,10.836959478380344,False
Basidiobolomycetes,953,25.5663430420712,17.696708406164202,False
Zoopagomycetes,983,24.80314960629921,13.539868733509778,False
Physodermatomycetes,152,24.733840150263934,7.3458827671456035,False
Endogonomycetes,611,24.390243902439025,17.53512098332999,False
Malasseziomycetes,205,22.945205479452053,14.690934065934066,False
Neocallimastigomycetes,5311,21.91435768261965,9.958150203995867,False
Wallemiomycetes,53,21.7283950617284,5.637254901960791,False
Glomeromycetes,9158,19.429925524712253,17.759632876841014,False
Pneumocystomycetes,365,16.50943396226415,3.338771587188214,False
