order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Acarosporales,382,382,346.0,442.0,61594.0,0.00019374844898053728,0.00047329978250959824
Acrospermales,137,137,330.0,407.0,7862.5,0.020343229439565878,0.03586280653779139
Agaricales,50905,50905,308.0,352.0,1174166621.0,5.005440097071679e-148,9.51033618443619e-147
Agaricostilbales,232,232,292.5,400.5,20684.5,1.6193766224924277e-05,4.4663452007452445e-05
Alaninales,924,924,364.5,427.0,389526.5,0.0011244245467280163,0.0024338809808922886
Alloascoideales,309,309,356.0,436.0,43503.0,0.05623875210533433,0.0874256964546561
Amylocorticiales,241,241,323.0,361.0,26184.5,0.06181721047530732,0.09438163385069243
Archaeosporales,575,575,285.0,234.0,198503.0,3.774529317290051e-09,1.4669193483104518e-08
Arthoniales,315,315,400.0,418.0,47789.5,0.42494354112516397,0.4780614837658095
Ascoideales,2618,2618,367.0,441.5,3023158.0,1.544178938067447e-13,7.334849955820374e-13
Atheliales,644,644,292.0,368.0,182632.0,0.00021058990424360955,0.0005071954031782709
Atractiellales,109,109,366.0,371.0,6240.0,0.520793023832858,0.5660159593967221
Aulographales,360,360,388.5,404.0,63389.5,0.6133547443186407,0.6596456684181607
Auriculariales,1623,1623,281.0,363.0,1028993.0,3.8271742718516054e-27,2.337310001737945e-26
Basidiobolales,953,953,291.0,309.0,469184.5,0.20940848661202993,0.26525074970857127
Blastocladiales,786,786,397.5,423.5,299800.5,0.31207030099305266,0.37058348242925004
Boletales,25603,25603,307.0,322.0,331482714.0,0.025896665659321187,0.0438448497796428
Botryosphaeriales,8644,8644,370.0,395.0,35746359.0,8.824739897686932e-07,2.64742196930608e-06
Caliciales,433,433,373.0,360.0,99513.5,0.1170397366814728,0.1624933217696733
Calosphaeriales,198,198,321.5,428.0,14783.0,2.3263624211234585e-05,6.31441228590653e-05
Candelariales,357,357,356.0,404.0,61300.5,0.3791541926193306,0.4351366908584264
Cantharellales,5954,5954,307.0,375.0,15818320.5,2.8220480028690157e-24,1.66403520169173e-23
Capnodiales,705,705,393.0,402.0,248711.5,0.9792847228927605,0.985045221262718
Caulochytriales,47,47,365.0,639.0,725.5,0.004206426538731113,0.008462340448506122
Cephalothecales,345,345,316.0,440.0,45330.5,6.061735533673559e-08,2.11542199236363e-07
Ceraceosorales,82,82,402.0,501.5,3017.5,0.2579038127153016,0.3195764635820042
Chaetomellales,186,186,354.5,454.5,14341.0,0.004357656719105388,0.008664643011244434
Chaetosphaeriales,506,506,340.5,376.0,116058.5,0.010100787270327873,0.018980600255231496
Chaetothyriales,7050,7050,378.0,412.0,23607919.5,2.678905491925471e-07,8.643261115457651e-07
Chytridiales,4990,4990,371.0,395.0,12292714.0,0.2742721675064379,0.33741396146475455
Cladochytriales,667,667,413.0,368.0,250248.5,7.747816175090503e-05,0.00020382716399084248
Cladosporiales,5652,5652,379.0,404.0,15749890.5,0.19931481554273456,0.2576713627740727
Coniochaetales,1953,1953,331.0,411.0,1579923.0,1.6256498422495972e-20,9.266204100822705e-20
Coniocybales,188,188,374.0,440.0,15991.0,0.11075972429377531,0.1565282054069056
Coronophorales,1111,1111,392.0,358.0,670176.0,0.0004549721989350466,0.0010103928054271815
Corticiales,437,437,244.0,339.0,74239.0,1.2460932616204193e-08,4.632216255154168e-08
Cyphobasidiales,40,40,259.0,340.5,636.5,0.11676546772943273,0.1624933217696733
Cystobasidiales,707,707,355.0,468.0,200050.5,8.233485488047193e-11,3.519815046140175e-10
Cystofilobasidiales,1143,1143,341.0,422.0,563825.0,1.4652316892074625e-08,5.3309493373292786e-08
Dacrymycetales,361,361,287.0,360.0,54708.5,0.00019156849645427814,0.00047329978250959824
Diaporthales,13567,13567,297.0,407.0,70114726.0,5.730901899794995e-253,2.4499605621623605e-251
Dimargaritales,429,429,272.0,415.0,66732.0,3.2350319181694205e-12,1.4951093459647863e-11
Dipodascales,15432,15432,474.0,395.0,137491103.5,1.884477430587531e-122,2.929505823913344e-121
Diversisporales,4759,4759,349.0,196.0,15362319.0,2.0570060697097257e-199,5.0249719702909014e-198
Dothideales,7123,7123,409.0,392.0,26597430.5,5.530733494768315e-07,1.7195553229188763e-06
Endogonales,611,611,265.0,245.0,200630.0,0.023533452135073324,0.040648690051490285
Entomophthorales,1981,1981,295.0,277.0,2140507.5,7.28950396830966e-07,2.2259021046088428e-06
Entrophosporales,250,250,248.0,273.0,32484.5,0.44491247041406723,0.4972551139921928
Entylomatales,39,39,395.0,557.0,597.0,0.10331879917523185,0.1497247004997004
Eremomycetales,87,87,298.0,451.0,2787.0,0.002691757740072675,0.005613299677468628
Erysiphales,567,567,316.0,313.0,168476.0,0.16091644460149768,0.21497431270981332
Erythrobasidiales,184,184,351.0,375.5,15450.5,0.1477343325646924,0.19891788085482204
Eurotiales,65072,65072,300.0,402.0,1678481061.0,0.0,0.0
Exobasidiales,265,265,356.0,476.0,27793.5,3.30075035190422e-05,8.819192346494088e-05
Filobasidiales,1303,1303,364.0,419.0,802039.5,0.014680235486671203,0.026705534768306127
Geastrales,307,307,294.0,301.0,47821.5,0.7513102970695144,0.788184422079061
Geminibasidiales,78,78,287.5,277.0,2960.0,0.7726775484789956,0.8007749138782319
Geoglossales,919,919,420.0,385.0,456747.5,0.0024489510496811286,0.005170007771549049
Georgefischeriales,11,11,337.0,580.0,45.5,0.3408882863277022,0.39512103236384766
Gloeophyllales,269,269,282.0,401.0,29375.0,0.00016024334306451534,0.0004029648774122371
Glomerales,3235,3235,462.0,260.0,6847142.5,1.8486042910552093e-102,2.2579380983602916e-101
Glomerellales,23969,23969,331.0,393.0,256747618.5,3.408452097988873e-90,3.885635391707316e-89
Golubeviales,244,244,300.0,443.5,21686.5,2.1234122037698693e-07,6.98275936239707e-07
Gomphales,758,758,346.5,253.5,361608.5,2.75543460964309e-18,1.4724353695280263e-17
Harpellales,1270,1270,346.0,349.5,840010.5,0.0693758649698847,0.10498471601637419
Helotiales,31960,31960,343.0,393.0,468928093.0,8.703181862094991e-72,8.75437704951908e-71
Herpomycetales,25,25,360.0,437.0,354.5,0.4206491097928712,0.4763642236727217
Holtermanniales,111,111,333.0,367.0,6227.5,0.8894682038429905,0.9107728314799484
Hymenochaetales,2325,2325,306.0,383.0,2321812.5,8.521291538202494e-17,4.2857083912724307e-16
Hypocreales,111096,111096,341.0,396.0,5741501390.0,1.0875463815834267e-177,2.3246303906345748e-176
Hysterangiales,227,227,316.0,311.0,27364.0,0.25264128430583377,0.317659261884541
Hysteriales,371,371,359.0,399.0,62010.0,0.01966048794760968,0.035020244156679745
Jaapiales,90,90,284.5,437.0,3330.5,0.03968059424476611,0.06401303411183967
Kickxellales,12911,12911,348.0,374.0,80405375.5,9.040724718605075e-07,2.6654550463473584e-06
Kriegeriales,306,306,315.5,407.5,38965.5,0.00033039664098572527,0.0007725774268928808
Lecanorales,4757,4757,371.0,400.0,11174615.5,0.2962660623176331,0.35677110321348776
Leotiales,220,220,358.5,437.0,21086.5,0.01958749444794584,0.035020244156679745
Leucosporidiales,369,369,319.0,411.0,57110.5,0.00015175345369865893,0.00039317940276470723
Lichinales,394,394,403.0,408.0,77609.0,0.9978771685714126,0.9978771685714126
Lineolatales,107,107,335.0,442.0,4535.5,0.008686366598625863,0.016745119099763534
Lipomycetales,1493,1493,444.0,422.0,1151044.0,0.12105491208293043,0.16560311972944883
Lobulomycetales,247,247,360.0,367.0,30282.0,0.8887062789455334,0.9107728314799484
Lulworthiales,179,179,326.0,380.0,14723.5,0.18542404830383985,0.2420420783202795
Magnaporthales,4288,4288,302.0,403.0,7856413.5,1.9643150052164016e-31,1.3995744412166862e-30
Malasseziales,198,198,518.0,422.0,21055.5,0.20200962257399357,0.25778839895636496
Marthamycetales,162,162,382.0,413.0,12309.0,0.33517597651405484,0.39256912317742043
Microascales,8572,8572,334.0,420.0,31414581.0,1.0802510114854718e-60,9.722259103369247e-60
Microbotryales,451,451,361.0,436.0,89068.0,0.001243004215937365,0.002656921511566118
Microstromatales,263,263,458.0,453.0,35098.5,0.7682793792558544,0.8007749138782319
Microthyriales,200,200,371.5,381.0,19538.5,0.6900834209747739,0.7284213888067058
Mixiales,40,40,265.0,430.0,615.0,0.07583290425852944,0.11363113015775095
Moniliellales,86,86,407.5,295.5,4555.0,0.00871529590572488,0.016745119099763534
Monoblepharidales,499,499,396.0,376.0,131125.0,0.14570085792834056,0.19773687861703362
Mortierellales,4923,4923,247.0,431.0,8714181.0,1.0388989101544517e-128,1.7765171363641126e-127
Mucorales,8625,8625,312.0,368.0,36377113.5,0.0123501310272159,0.022708305437138913
Mycosphaerellales,15456,15456,367.0,393.0,114708271.5,1.5719419510600694e-09,6.251211014680741e-09
Myriangiales,1644,1644,439.0,422.0,1393934.5,0.11783141461660519,0.1624933217696733
Mytilinidiales,556,556,354.5,401.5,140913.0,0.01077136898500029,0.020020696700380973
Neocallimastigales,5311,5311,590.0,333.0,19516788.0,3.3036796852418743e-257,1.8830974205878685e-255
Neolectales,36,36,323.5,330.0,723.5,0.398282774250301,0.4540423626453432
Onygenales,5353,5353,285.0,403.0,11324261.5,1.0775952230304574e-78,1.1516798946138014e-77
Ophiostomatales,8935,8935,335.0,446.0,31914452.5,3.693301515969958e-119,5.2629546602571905e-118
Orbiliales,7964,7964,346.5,406.5,28495658.0,1.450197483955367e-28,9.537837298321837e-28
Ostropales,744,744,319.0,415.0,222997.0,8.694276177590337e-11,3.6261493326047506e-10
Paraglomerales,339,339,336.0,295.0,64869.0,0.003671541442865729,0.007474209365833806
Patellariales,126,126,316.0,420.5,5884.0,0.000386077069331626,0.0008686734059961586
Peltigerales,538,538,353.5,398.0,140919.5,0.4556934532539302,0.5059972760157277
Peribolosporales,80,80,276.0,451.0,2342.5,0.0034483176627302377,0.00710436530514302
Pertusariales,457,457,332.0,371.0,97948.0,0.10462654517037787,0.1503457077658371
Pezizales,12856,12856,325.0,352.0,82710895.5,0.9029993353501486,0.9191243234814014
Phacidiales,560,560,371.0,420.5,146561.0,0.05853956453968942,0.09018257239898099
Phaeomoniellales,254,254,334.0,419.0,26323.5,0.000334331751988732,0.0007725774268928808
Phaeotrichales,136,136,326.5,408.5,8006.0,0.05563187177252648,0.0872756887440553
Phaffomycetales,8112,8112,410.0,400.0,35464231.0,8.77260586309052e-18,4.5458048563287246e-17
Phallales,613,613,285.0,383.0,155269.0,1.4271725968377304e-07,4.785225765867685e-07
Phyllachorales,97,97,347.0,406.0,4020.0,0.0802404238410629,0.11727446561386116
Physodermatales,152,152,456.5,456.0,12421.0,0.2570609875128824,0.3195764635820042
Pichiales,9920,9920,389.0,424.0,48686733.5,0.20041105993538988,0.2576713627740727
Pleosporales,34727,34727,332.0,403.0,520736572.5,9.330740632514172e-213,2.659261080266539e-211
Pneumocystales,365,365,1041.0,369.0,111157.0,4.129714155924936e-55,3.3627672412531624e-54
Polychytriales,187,187,374.0,449.0,16400.0,0.29975005018994516,0.3584423677096547
Polyporales,11587,11587,272.0,381.0,49855263.5,2.974689178412507e-252,1.0173436990170775e-250
Pucciniales,2694,2694,335.0,310.0,4018302.0,8.961523994045886e-12,4.032685797320649e-11
Pyrenulales,338,338,323.5,427.5,44869.5,1.3929466756464467e-06,4.037184432805803e-06
Racodiales,231,231,344.0,411.0,22939.0,0.009128043731404458,0.01734328308966847
Ramicandelaberales,120,120,251.5,364.5,6054.0,0.03316308734993521,0.05452776862345116
Rhizocarpales,140,140,367.5,399.5,9464.5,0.6209607035045626,0.6636517518705013
Rhizophlyctidales,281,281,320.0,359.0,37651.0,0.3419760981862541,0.39512103236384766
Rhizophydiales,976,976,345.0,326.5,504540.0,0.02326905082761476,0.040602119301246166
Russulales,5177,5177,309.0,369.0,11718527.5,1.936529391662522e-28,1.2264686147195973e-27
Saccharomycetales,10896,10896,479.0,409.0,67578398.0,4.491920437101227e-70,4.2673244152461663e-69
Saccharomycodales,1209,1209,495.0,423.0,818980.0,2.8259346854840886e-07,8.948793170699615e-07
Sanchytriales,28,28,445.5,323.0,525.0,0.029911822356709458,0.04965943323298366
Sareales,78,78,365.5,418.5,2667.5,0.1849602677871438,0.2420420783202795
