order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Sarrameanales,210,210,351.5,393.0,19851.5,0.0772110344214387,0.11381971453505188
Schizosaccharomycetales,195,195,416.0,363.0,21509.5,0.024905967307014044,0.04258920409499402
Sebacinales,1334,1334,324.5,389.5,777785.5,1.810201652260513e-08,6.448843386178078e-08
Serinales,29673,29673,416.0,413.0,465677350.0,3.5886258482244443e-34,2.6680653045494782e-33
Sordariales,19983,19983,330.0,403.0,173475400.0,3.967557115763802e-114,5.218863590735464e-113
Spizellomycetales,719,719,406.0,394.0,274057.5,0.04788974900269601,0.07653408485477586
Sporidiobolales,1747,1747,325.0,445.0,1258229.0,2.6729700551292876e-19,1.4744447723455103e-18
Sporopachydermiales,117,117,277.0,487.0,4888.5,0.00015881117446273443,0.0004029648774122371
Symbiotaphrinales,87,87,377.0,389.0,3622.0,0.6258267402880882,0.6646979663929383
Synchytriales,118,118,358.0,466.0,6117.5,0.10751429164625943,0.1532078655959197
Taphrinales,1158,1158,448.5,384.0,762657.5,1.0138421386541287e-08,3.8526001268856894e-08
Teloschistales,2332,2332,315.5,392.5,2438474.0,1.037357075331724e-09,4.223525235279162e-09
Thelebolales,4041,4041,295.0,388.0,6501478.5,1.1990423216034097e-56,1.0251811849709153e-55
Thelephorales,205,205,310.0,402.0,16739.5,0.00036910480507041776,0.0008415589555605525
Thelocarpales,149,149,335.0,424.0,10091.5,0.17511165053952704,0.23212474606402422
Tilletiales,847,847,385.0,479.0,279575.0,3.820909628288218e-15,1.8667872755351008e-14
Togniniales,229,229,313.0,436.0,19547.5,2.46148543676961e-06,7.0152334947933894e-06
Trapeliales,1685,1685,351.0,410.0,1268525.5,8.804967255705467e-08,3.01129880145127e-07
Trechisporales,249,249,293.0,428.0,20407.0,4.188469924290085e-11,1.8364829668041143e-10
Tremellales,5221,5221,343.0,429.0,11921008.0,1.3688871366265801e-28,9.36318801452581e-28
Trichosporonales,7579,7579,312.0,401.0,24586708.5,3.7463917471206257e-53,2.9119681307164865e-52
Trigonopsidales,1571,1571,425.0,403.0,1301661.5,0.007804404236860256,0.015339691086242571
Trypetheliales,1532,1532,413.0,425.5,1199127.5,0.2954720941193457,0.35677110321348776
Umbelopsidales,469,469,324.0,389.0,96382.5,0.0010472193566515608,0.0022958270511207295
Umbilicariales,1286,1286,368.5,407.5,793532.0,0.07641859630492023,0.11363113015775095
Urocystidales,90,90,425.0,327.0,4825.5,0.02660605213805368,0.04460426387850176
Ustilaginales,1513,1513,413.0,511.0,1032829.0,3.3089892262874335e-06,9.276018978609036e-06
Valsariales,120,120,396.5,430.5,6856.0,0.5229855063431701,0.5660159593967221
Venturiales,2053,2053,356.0,387.0,1967596.0,0.0002322723171693317,0.0005516467532771628
Verrucariales,164,164,364.0,432.5,12600.0,0.3236719330798232,0.3817096590113777
Vezdaeales,166,166,324.5,409.5,12080.0,0.052232021969226605,0.08270070145127546
Violaceomycetales,47,47,475.0,542.0,1011.0,0.4818878423494537,0.5316311034952037
Wallemiales,53,53,360.0,405.0,1233.0,0.27991873639481935,0.3419007423108151
Xylariales,37218,37218,312.0,398.0,576806738.5,0.0,0.0
Xylobotryales,156,156,340.0,425.0,10505.5,0.0369731093350061,0.06021334948843851
Xylonales,68,68,402.5,442.5,2292.0,0.9323633303339205,0.9433972159000024
Zoopagales,983,983,325.0,346.0,474635.0,0.4989736279613328,0.5469518614191533
