phylum,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Ascomycota,555861,555861,-0.1457692307692307,-0.3511811023622048,210103907461.5,0.0,0.0
Basidiomycota,135340,135340,-0.10833333333333345,-0.3199413363611341,12442294572.5,0.0,0.0
Blastocladiomycota,938,938,-0.18706516219132868,-0.1896015641149314,433965.5,0.6116611431268204,0.688118786017673
Chytridiomycota,14817,14817,-0.2674766355140188,-0.3525252525252525,123597897.0,1.1619412274587546e-78,2.614367761782198e-78
Cryptomycota,40,40,0.02853210859757975,-0.3096020570747567,1089.0,0.005501654602412103,0.008252481903618155
Microsporidia,65,65,-0.2866310160427807,-0.3470914127423825,2176.0,0.7692566652857007,0.7692566652857007
Mucoromycota,23786,23786,-0.3240767434867967,-0.4350479252794365,322946845.0,1.2856745923864399e-157,3.85702377715932e-157
Sanchytriomycota,28,28,-0.4268200281206061,-0.34513785461369284,336.0,0.3631023416636381,0.46684586785324894
Zoopagomycota,18647,18647,-0.3051063829787234,-0.3058510638297872,165095582.5,3.5619199933693254e-17,6.411455988064786e-17
