class,n,median,iqr,small_n
Harpellomycetes,1270,0.0,15.0,False
Entomophthoromycetes,1981,0.0,11.0,False
Moniliellomycetes,86,-1.0,12.75,False
Pneumocystomycetes,365,-1.0,15.0,False
Laboulbeniomycetes,25,-1.0,7.0,False
Glomeromycetes,9158,-1.0,12.0,False
Blastocladiomycetes,786,-1.0,14.0,False
Pucciniomycetes,2694,-1.0,13.0,False
Monoblepharidomycetes,499,-2.0,13.0,False
Geminibasidiomycetes,78,-2.0,12.5,False
Peribolosporomycetes,80,-2.0,17.25,False
Lichinomycetes,394,-2.0,17.0,False
Zoopagomycetes,983,-2.0,14.0,False
Schizosaccharomycetes,195,-2.0,15.5,False
Taphrinomycetes,1158,-2.0,13.75,False
Candelariomycetes,357,-2.0,14.0,False
Ustilaginomycetes,1650,-2.0,15.0,False
Wallemiomycetes,53,-2.0,15.0,False
Sanchytriomycetes,28,-2.5,7.5,False
Pezizomycetes,12856,-3.0,14.0,False
Orbiliomycetes,7964,-3.0,14.0,False
Neocallimastigomycetes,5311,-3.0,16.0,False
Mucoromycetes,8625,-3.0,14.0,False
Trigonopsidomycetes,1571,-3.0,15.5,False
Xylobotryomycetes,156,-3.0,14.0,False
Physodermatomycetes,152,-3.0,16.25,False
Agaricomycetes,108548,-3.0,14.0,False
Dimargaritomycetes,429,-3.0,15.0,False
Geoglossomycetes,1121,-3.0,13.0,False
Alloascoideomycetes,309,-3.0,16.0,False
Basidiobolomycetes,953,-3.0,14.0,False
Chytridiomycetes,9007,-3.0,13.0,False
Coniocybomycetes,188,-3.0,15.0,False
Exobasidiomycetes,1751,-3.0,16.0,False
Microbotryomycetes,3100,-3.0,15.0,False
Lecanoromycetes,13364,-3.0,14.0,False
Kickxellomycetes,12911,-3.0,14.0,False
Mixiomycetes,40,-3.5,16.25,False
Mortierellomycetes,4923,-4.0,16.0,False
Cystobasidiomycetes,996,-4.0,16.0,False
Malasseziomycetes,205,-4.0,14.0,False
Arthoniomycetes,315,-4.0,15.0,False
Agaricostilbomycetes,232,-4.0,15.0,False
Tremellomycetes,15357,-4.0,15.0,False
Sordariomycetes,234430,-4.0,14.0,False
Leotiomycetes,38582,-4.0,14.0,False
Saccharomycetes,22835,-4.0,17.0,False
Dipodascomycetes,15432,-4.0,16.0,False
Dothideomycetes,82261,-4.0,14.0,False
Neolectomycetes,36,-4.5,10.5,False
Xylonomycetes,68,-4.5,9.5,False
Dacrymycetes,361,-5.0,13.0,False
Lipomycetes,1493,-5.0,16.0,False
Pichiomycetes,40517,-5.0,17.0,False
Sporopachydermiomycetes,117,-5.0,20.0,False
Endogonomycetes,611,-5.0,17.0,False
Umbelopsidomycetes,469,-5.0,14.0,False
Eurotiomycetes,78324,-5.0,14.0,False
Atractiellomycetes,109,-6.0,12.0,False
Sareomycetes,78,-7.0,18.5,False
