order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Gloeophyllales,269,269,27.81456953642384,19.910514541387023,60418.0,3.346331700228724e-41,5.155159646298304e-41
Glomerales,3235,3235,17.58957654723127,16.360294117647058,5299149.0,0.3757783824172629,0.38248871067471407
Glomerellales,23969,23969,27.816091954022987,18.58407079646017,489853286.0,0.0,0.0
Golubeviales,244,244,27.61549395877754,21.250222011722222,47760.5,7.279668745520888e-31,9.879550440349776e-31
Gomphales,758,758,27.25752558459093,20.106155927853028,421986.0,2.8522610929909537e-56,4.781731832367187e-56
Harpellales,1270,1270,30.70690679709284,18.71255336705773,1345577.0,4.317024042519617e-187,1.2727777780531974e-186
Helotiales,31960,31960,30.50847457627119,19.21364348050129,919381311.0,0.0,0.0
Herpomycetales,25,25,31.91489361702128,19.908466819221967,526.0,3.583595520473842e-05,3.7139080848547087e-05
Holtermanniales,111,111,27.365728900255757,20.454545454545453,9976.0,1.5513930808219936e-15,1.7924879514902766e-15
Hymenochaetales,2325,2325,28.846153846153847,19.956850053937437,4550590.0,0.0,0.0
Hypocreales,111096,111096,29.482071713147413,18.60465116279069,10783135511.5,0.0,0.0
Hysterangiales,227,227,21.00656455142232,20.2020202020202,26955.0,0.3945770289806737,0.3992465796194982
Hysteriales,371,371,29.33985330073349,18.69918699186992,118457.0,7.835465578662876e-65,1.4887384599459465e-64
Jaapiales,90,90,28.862519892063933,20.570616306223982,6747.0,1.2142506057987263e-14,1.384245690610548e-14
Kickxellales,12911,12911,28.18181818181818,18.365384615384613,138487726.0,0.0,0.0
Kriegeriales,306,306,29.55650651624198,20.0,82001.0,3.164701065402191e-58,5.411638821837747e-58
Lecanorales,4757,4757,31.524547803617573,19.42446043165468,20502341.5,0.0,0.0
Leotiales,220,220,31.328186798699207,18.802752815379364,42634.0,1.8897414269515513e-43,2.9646402202634427e-43
Leucosporidiales,369,369,28.627450980392155,20.0,116100.0,9.295118262229779e-62,1.6731212872013602e-61
