phylum,n,median,iqr,small_n
Cryptomycota,40,0.02853210859757975,0.6723592715932734,False
Basidiomycota,135340,-0.10833333333333345,0.3839508640963301,False
Ascomycota,555861,-0.1457692307692307,0.37961194029850726,False
Blastocladiomycota,938,-0.18706516219132868,0.5432384113034285,False
Chytridiomycota,14817,-0.2674766355140188,0.5717169969138471,False
Microsporidia,65,-0.2866310160427807,0.41341230936819173,False
Zoopagomycota,18647,-0.3051063829787234,0.45038733196627934,False
Mucoromycota,23786,-0.3240767434867967,0.6456927802145936,False
Sanchytriomycota,28,-0.4268200281206061,0.5724049056638454,False
