phylum,n,median,iqr,small_n
Ascomycota,555861,30.331125827814567,11.614512471655338,False
Zoopagomycota,18647,28.200371057513912,15.653670040258337,False
Sanchytriomycota,28,28.01154009034444,9.383557284508335,False
Cryptomycota,40,27.520142245929875,17.277900394494647,False
Blastocladiomycota,938,27.333661021493363,12.06827983032166,False
Basidiomycota,135340,26.992825114672343,10.563453298662637,False
Chytridiomycota,14817,26.528925619834716,11.74242424242425,False
Microsporidia,65,26.229508196721312,17.26967063670589,False
Mucoromycota,23786,23.868312757201647,14.823348694316444,False
