class,n,median,iqr,small_n
Glomeromycetes,9158,11.22914055668167,7.370979156724198,False
Dacrymycetes,361,9.248554913294798,4.351395730706074,False
Physodermatomycetes,152,9.21161660425464,3.9022063482641034,False
Schizosaccharomycetes,195,8.588957055214724,4.581074450834979,False
Lipomycetes,1493,8.471892319873318,3.735688583578672,False
Neocallimastigomycetes,5311,8.37378640776699,4.219525635622601,False
Agaricomycetes,108548,8.203991130820398,4.3980773432379285,False
Wallemiomycetes,53,8.189655172413794,3.4640522875816995,False
Sanchytriomycetes,28,8.091787439613526,2.930293689112067,False
Geminibasidiomycetes,78,8.02019019232134,2.6873419652292068,False
Endogonomycetes,611,7.986111111111111,6.404994266534771,False
Trigonopsidomycetes,1571,7.936507936507937,4.18767652194915,False
Xylobotryomycetes,156,7.774605027304181,4.848353626606555,False
Orbiliomycetes,7964,7.630522088353413,3.737993120930943,False
Mixiomycetes,40,7.572861920688007,2.748018394849675,False
Entomophthoromycetes,1981,7.557117750439367,6.280848445867533,False
Agaricostilbomycetes,232,7.518410350621005,3.1410385527922795,False
Leotiomycetes,38582,7.441860465116279,4.67931087549805,False
Monoblepharidomycetes,499,7.400379506641366,3.6039393546619554,False
Dothideomycetes,82261,7.333333333333333,4.522104607721046,False
Geoglossomycetes,1121,7.326283987915408,4.304820284201727,False
Kickxellomycetes,12911,7.317073170731708,5.6386903686885645,False
Eurotiomycetes,78324,7.246376811594203,4.870144794300163,False
Ustilaginomycetes,1650,7.219704458794983,4.505246174209928,False
Saccharomycetes,22835,7.173913043478261,4.4683997044581805,False
Mucoromycetes,8625,7.142857142857143,5.79694259038149,False
Moniliellomycetes,86,7.019704433497537,4.7598942708658205,False
Atractiellomycetes,109,6.954887218045113,4.701474498428813,False
Peribolosporomycetes,80,6.927588287289717,4.549241733951024,False
Pezizomycetes,12856,6.907230876540339,5.342899449559901,False
Sordariomycetes,234430,6.790123456790123,4.523952571353594,False
Malasseziomycetes,205,6.75990675990676,6.867855193462331,False
Exobasidiomycetes,1751,6.752411575562701,4.463055894630559,False
Sareomycetes,78,6.7448848518212685,5.003995459337949,False
Microbotryomycetes,3100,6.7144912271688035,3.2342104745833202,False
Chytridiomycetes,9007,6.7073170731707314,4.729215497617296,False
Tremellomycetes,15357,6.70391061452514,4.41897690892991,False
Pichiomycetes,40517,6.653992395437262,4.54341626159172,False
Harpellomycetes,1270,6.605851550162081,4.546174349400743,False
Lecanoromycetes,13364,6.528426165680697,4.423232627290826,False
Mortierellomycetes,4923,6.486486486486487,4.5830167122254135,False
Basidiobolomycetes,953,6.451612903225806,5.858888057840938,False
Umbelopsidomycetes,469,6.451612903225806,4.77623433336373,False
Taphrinomycetes,1158,6.4006866919488274,4.201934167332091,False
Sporopachydermiomycetes,117,6.329113924050633,3.8727463383283167,False
Alloascoideomycetes,309,6.128133704735376,3.9927814121362513,False
Neolectomycetes,36,6.07552319608887,2.632750585010796,False
Arthoniomycetes,315,6.067961165048544,3.9908244874601024,False
Xylonomycetes,68,6.0293550696701,4.419697457215021,False
Zoopagomycetes,983,6.024096385542169,4.5584819740013724,False
Cystobasidiomycetes,996,5.994550408719346,3.7029813064766257,False
Candelariomycetes,357,5.970149253731344,4.094202898550724,False
Laboulbeniomycetes,25,5.555555555555555,3.343655980339215,False
Dimargaritomycetes,429,5.490196078431373,4.164471758852795,False
Pneumocystomycetes,365,5.483028720626632,1.985475960067161,False
Coniocybomycetes,188,5.451256720897644,3.4696621861433488,False
Lichinomycetes,394,5.211322249254371,4.130140053788601,False
Pucciniomycetes,2694,5.164319248826291,4.811584537175898,False
Blastocladiomycetes,786,5.079966866318339,3.882953760501408,False
Dipodascomycetes,15432,4.793426408157906,4.4985198743588,False
