domain_id,adhesion_count,adhesion_rate,background_count,background_rate,enrichment_ratio
CBM29,16,2.1341955483348608e-05,0,0.0,inf
GH5_54,11,1.4672594394802166e-05,0,0.0,inf
GH43,9,1.200484995938359e-05,0,0.0,inf
fungi_co,10,1.3338722177092878e-05,0,0.0,inf
PL7_3,9,1.200484995938359e-05,0,0.0,inf
CBM6,14,1.8674211047930032e-05,0,0.0,inf
CBM43,18,2.400969991876718e-05,0,0.0,inf
CBM22,6,8.003233306255728e-06,0,0.0,inf
CBM38,5,6.669361088546439e-06,0,0.0,inf
AA1_3,12493,0.016664065615842133,2,2.667744435418576e-06,6246.499999999999
AA1_1,9279,0.012377000308124482,5,6.669361088546439e-06,1855.8
AA13,1362,0.00181673396052005,1,1.333872217709288e-06,1361.9999999999998
AA1_2,11125,0.014839328422015827,9,1.200484995938359e-05,1236.111111111111
AA1,19800,0.026410669910643902,17,2.2675827701057892e-05,1164.7058823529414
GH132,7417,0.009893330238749788,20,2.6677444354185756e-05,370.85
AA11,9679,0.012910549195208197,44,5.8690377579208665e-05,219.97727272727272
CBM24,216,0.0002881163990252062,1,1.333872217709288e-06,216.0
CBM63,1729,0.002306265064419359,10,1.3338722177092878e-05,172.9
CBM20,187,0.00024943410471163686,2,2.667744435418576e-06,93.5
GH43_23,147,0.00019607921600326531,2,2.667744435418576e-06,73.49999999999999
