order,n,median,iqr,small_n
Georgefischeriales,11,2.0,12.5,False
Holtermanniales,111,1.0,13.0,False
Entomophthorales,1981,0.0,11.0,False
Harpellales,1270,0.0,15.0,False
Diversisporales,4759,0.0,12.0,False
Peltigerales,538,-1.0,13.0,False
Pneumocystales,365,-1.0,15.0,False
Pucciniales,2694,-1.0,13.0,False
Lobulomycetales,247,-1.0,11.5,False
Blastocladiales,786,-1.0,14.0,False
Moniliellales,86,-1.0,12.75,False
Herpomycetales,25,-1.0,7.0,False
Glomerales,3235,-1.0,12.0,False
Cyphobasidiales,40,-1.0,13.5,False
Exobasidiales,265,-1.0,14.0,False
Erysiphales,567,-1.0,13.0,False
Urocystidales,90,-1.5,12.75,False
Rhizocarpales,140,-1.5,13.0,False
Verrucariales,164,-1.5,15.25,False
Lichinales,394,-2.0,17.0,False
Geminibasidiales,78,-2.0,12.5,False
Lulworthiales,179,-2.0,16.0,False
Microbotryales,451,-2.0,15.0,False
Entrophosporales,250,-2.0,13.75,False
Microthyriales,200,-2.0,13.25,False
Acarosporales,382,-2.0,14.0,False
Monoblepharidales,499,-2.0,13.0,False
Peribolosporales,80,-2.0,17.25,False
Polychytriales,187,-2.0,13.0,False
Sarrameanales,210,-2.0,14.75,False
Schizosaccharomycetales,195,-2.0,15.5,False
Spizellomycetales,719,-2.0,16.0,False
Symbiotaphrinales,87,-2.0,13.0,False
Taphrinales,1158,-2.0,13.75,False
Teloschistales,2332,-2.0,13.25,False
Thelocarpales,149,-2.0,16.0,False
Trechisporales,249,-2.0,15.0,False
Ustilaginales,1513,-2.0,16.0,False
Valsariales,120,-2.0,15.75,False
Vezdaeales,166,-2.0,16.0,False
Wallemiales,53,-2.0,15.0,False
Pertusariales,457,-2.0,13.0,False
Zoopagales,983,-2.0,14.0,False
Candelariales,357,-2.0,14.0,False
Caliciales,433,-2.0,12.0,False
Archaeosporales,575,-2.0,12.0,False
Phaeotrichales,136,-2.5,12.25,False
Sanchytriales,28,-2.5,7.5,False
Sporidiobolales,1747,-3.0,16.0,False
Magnaporthales,4288,-3.0,14.0,False
Kriegeriales,306,-3.0,11.75,False
Atheliales,644,-3.0,14.25,False
Synchytriales,118,-3.0,18.0,False
Leucosporidiales,369,-3.0,15.0,False
Patellariales,126,-3.0,13.5,False
Physodermatales,152,-3.0,16.25,False
Paraglomerales,339,-3.0,13.0,False
Chytridiales,4990,-3.0,13.0,False
Ostropales,744,-3.0,14.25,False
Boletales,25603,-3.0,12.0,False
Sebacinales,1334,-3.0,13.0,False
Basidiobolales,953,-3.0,14.0,False
Ramicandelaberales,120,-3.0,12.25,False
Orbiliales,7964,-3.0,14.0,False
Ceraceosorales,82,-3.0,16.5,False
Cephalothecales,345,-3.0,15.0,False
Onygenales,5353,-3.0,14.0,False
Mucorales,8625,-3.0,14.0,False
Rhizophydiales,976,-3.0,13.0,False
Myriangiales,1644,-3.0,14.0,False
Mytilinidiales,556,-3.0,13.0,False
Kickxellales,12911,-3.0,14.0,False
Racodiales,231,-3.0,13.5,False
Geoglossales,919,-3.0,13.0,False
Corticiales,437,-3.0,13.0,False
Xylobotryales,156,-3.0,14.0,False
Dimargaritales,429,-3.0,15.0,False
Agaricales,50905,-3.0,13.0,False
Violaceomycetales,47,-3.0,20.0,False
Venturiales,2053,-3.0,14.0,False
Alloascoideales,309,-3.0,16.0,False
Amylocorticiales,241,-3.0,13.0,False
Umbilicariales,1286,-3.0,14.0,False
Ascoideales,2618,-3.0,17.0,False
Neocallimastigales,5311,-3.0,16.0,False
Gloeophyllales,269,-3.0,14.0,False
Coronophorales,1111,-3.0,13.0,False
Trigonopsidales,1571,-3.0,15.5,False
Golubeviales,244,-3.0,16.0,False
Gomphales,758,-3.0,12.0,False
Coniocybales,188,-3.0,15.0,False
Trichosporonales,7579,-3.0,15.0,False
Pezizales,12856,-3.0,14.0,False
Cantharellales,5954,-3.0,12.0,False
Tilletiales,847,-3.0,17.0,False
Mixiales,40,-3.5,16.25,False
Polyporales,11587,-4.0,14.0,False
Botryosphaeriales,8644,-4.0,14.0,False
Rhizophlyctidales,281,-4.0,14.0,False
Dipodascales,15432,-4.0,16.0,False
Russulales,5177,-4.0,14.0,False
Saccharomycetales,10896,-4.0,17.0,False
Saccharomycodales,1209,-4.0,19.0,False
Sordariales,19983,-4.0,14.0,False
Auriculariales,1623,-4.0,13.0,False
Aulographales,360,-4.0,13.25,False
Thelebolales,4041,-4.0,15.0,False
Thelephorales,205,-4.0,16.0,False
Trapeliales,1685,-4.0,14.0,False
Arthoniales,315,-4.0,15.0,False
Tremellales,5221,-4.0,15.0,False
Trypetheliales,1532,-4.0,14.0,False
Agaricostilbales,232,-4.0,15.0,False
Xylariales,37218,-4.0,15.0,False
Pleosporales,34727,-4.0,14.0,False
Capnodiales,705,-4.0,16.0,False
Phyllachorales,97,-4.0,17.0,False
Cystobasidiales,707,-4.0,15.5,False
Hysteriales,371,-4.0,13.5,False
Hypocreales,111096,-4.0,14.0,False
Hymenochaetales,2325,-4.0,14.0,False
Chaetothyriales,7050,-4.0,14.0,False
Coniochaetales,1953,-4.0,14.0,False
Malasseziales,198,-4.0,14.0,False
Helotiales,31960,-4.0,14.0,False
Microascales,8572,-4.0,16.0,False
Glomerellales,23969,-4.0,14.0,False
Chaetosphaeriales,506,-4.0,13.0,False
Microstromatales,263,-4.0,15.0,False
Mortierellales,4923,-4.0,16.0,False
Lecanorales,4757,-4.0,14.0,False
Mycosphaerellales,15456,-4.0,15.0,False
Geastrales,307,-4.0,12.0,False
Ophiostomatales,8935,-4.0,15.0,False
Caulochytriales,47,-4.0,18.5,False
Dothideales,7123,-4.0,14.0,False
Filobasidiales,1303,-4.0,14.0,False
Cystofilobasidiales,1143,-4.0,16.0,False
Entylomatales,39,-4.0,16.5,False
Phallales,613,-4.0,14.0,False
Cladochytriales,667,-4.0,14.0,False
Erythrobasidiales,184,-4.5,17.0,False
Xylonales,68,-4.5,9.5,False
Leotiales,220,-4.5,15.0,False
Neolectales,36,-4.5,10.5,False
Umbelopsidales,469,-5.0,14.0,False
Pichiales,9920,-5.0,17.0,False
Phaffomycetales,8112,-5.0,17.0,False
Endogonales,611,-5.0,17.0,False
Diaporthales,13567,-5.0,15.0,False
Calosphaeriales,198,-5.0,15.0,False
Dacrymycetales,361,-5.0,13.0,False
Alaninales,924,-5.0,15.0,False
Phaeomoniellales,254,-5.0,15.75,False
Eurotiales,65072,-5.0,14.0,False
Phacidiales,560,-5.0,16.0,False
Pyrenulales,338,-5.0,13.0,False
Marthamycetales,162,-5.0,14.75,False
Chaetomellales,186,-5.0,13.0,False
Acrospermales,137,-5.0,13.0,False
Serinales,29673,-5.0,16.0,False
Cladosporiales,5652,-5.0,14.0,False
Lipomycetales,1493,-5.0,16.0,False
Sporopachydermiales,117,-5.0,20.0,False
Jaapiales,90,-5.0,15.75,False
Togniniales,229,-6.0,16.0,False
