class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Agaricomycetes,108548,108548,8.203991130820398,7.6923076923076925,6198934734.5,1.5546269002501446e-98,8.479783092273516e-98
Agaricostilbomycetes,232,232,7.518410350621005,7.187488468776522,26752.0,0.9120582109560349,0.9435084940924499
Alloascoideomycetes,309,309,6.128133704735376,8.0,31639.5,4.0214378417388273e-13,8.617366803726059e-13
Arthoniomycetes,315,315,6.067961165048544,7.091469681397739,37872.5,2.755684577208864e-07,4.7240307037866236e-07
Atractiellomycetes,109,109,6.954887218045113,8.262108262108262,4807.0,0.014967119827112867,0.02088435324713423
Basidiobolomycetes,953,953,6.451612903225806,8.26086956521739,319237.0,3.036350584049103e-29,8.280956138315736e-29
Blastocladiomycetes,786,786,5.079966866318339,6.690470019133935,217441.5,2.904176963311107e-24,7.260442408277768e-24
Candelariomycetes,357,357,5.970149253731344,7.611548556430447,43930.0,6.82190272123072e-13,1.411428149220149e-12
Chytridiomycetes,9007,9007,6.7073170731707314,7.428571428571429,35217788.5,5.930418279616045e-53,2.223906854856017e-52
Coniocybomycetes,188,188,5.451256720897644,7.142857142857143,11604.5,8.534879679842407e-09,1.5061552376192484e-08
Cystobasidiomycetes,996,996,5.994550408719346,7.1349029589564115,384102.5,2.826322175485155e-18,6.280715945522566e-18
Dacrymycetes,361,361,9.248554913294798,8.0,78532.5,1.8246229805848972e-06,3.041038300974829e-06
Dimargaritomycetes,429,429,5.490196078431373,7.391673746813933,56752.0,2.5598601457293375e-22,6.14366434975041e-22
Dipodascomycetes,15432,15432,4.793426408157906,7.977207977207978,58010772.5,0.0,0.0
Dothideomycetes,82261,82261,7.333333333333333,7.834101382488479,3021710196.0,1.18589264570858e-308,1.1858926457085801e-307
Endogonomycetes,611,611,7.986111111111111,7.407407407407407,198220.5,0.060926447517570266,0.08123526335676036
Entomophthoromycetes,1981,1981,7.557117750439367,8.854166666666666,1519749.5,1.0295496894240102e-34,3.251209545549506e-34
Eurotiomycetes,78324,78324,7.246376811594203,7.982616811841285,2576152067.5,0.0,0.0
Exobasidiomycetes,1751,1751,6.752411575562701,6.542056074766355,1547809.0,0.6206196382133683,0.6770396053236746
Geminibasidiomycetes,78,78,8.02019019232134,6.854264829835155,3349.5,0.27653239631403737,0.32533223095769104
Geoglossomycetes,1121,1121,7.326283987915408,7.4766355140186915,602342.5,0.09007675152557626,0.11749141503336033
Glomeromycetes,9158,9158,11.22914055668167,9.174311926605505,50617664.0,4.223692699676178e-130,2.815795133117452e-129
Harpellomycetes,1270,1270,6.605851550162081,8.474576271186441,541540.5,1.3326819060485976e-46,4.442273020161992e-46
Kickxellomycetes,12911,12911,7.317073170731708,7.333333333333333,77116996.5,2.4301877688027934e-25,6.339620266442069e-25
Laboulbeniomycetes,25,25,5.555555555555555,6.853582554517134,236.5,0.1429344646949602,0.1750217935040329
Lecanoromycetes,13364,13364,6.528426165680697,7.5699643428727095,72810277.0,1.232024485260962e-150,1.0560209873665387e-149
Leotiomycetes,38582,38582,7.441860465116279,7.947019867549669,666144992.5,9.635822187491145e-141,7.226866640618359e-140
Lichinomycetes,394,394,5.211322249254371,6.566494148984349,56836.0,7.780351100805105e-11,1.5058744066074395e-10
Lipomycetes,1493,1493,8.471892319873318,7.975460122699387,1205430.0,0.0001137428828058038,0.00017498905047046737
Malasseziomycetes,205,205,6.75990675990676,7.205240174672489,17645.5,0.005015346997123156,0.007339532190911936
Microbotryomycetes,3100,3100,6.7144912271688035,7.007883979097997,4363424.5,3.70019856893131e-10,6.937872316746206e-10
Mixiomycetes,40,40,7.572861920688007,7.652777777777779,700.0,0.33833146790996826,0.3830167561244924
Moniliellomycetes,86,86,7.019704433497537,7.4420214607130495,3211.5,0.1366557840354918,0.17081973004436474
Monoblepharidomycetes,499,499,7.400379506641366,7.207207207207207,123476.5,0.8221352453362785,0.865405521406609
Mortierellomycetes,4923,4923,6.486486486486487,7.481296758104738,10065180.5,5.323323691111289e-48,1.8788201262745727e-47
Mucoromycetes,8625,8625,7.142857142857143,8.308605341246292,30651992.0,4.609433016547606e-89,2.127430623021972e-88
Neocallimastigomycetes,5311,5311,8.37378640776699,9.662921348314606,10292277.5,1.6230287080386044e-128,9.738172248231628e-128
Neolectomycetes,36,36,6.07552319608887,7.7355495657382445,401.5,0.005596247665223705,0.00799463952174815
Orbiliomycetes,7964,7964,7.630522088353413,8.04159757768005,28385940.0,1.9741201571828826e-30,5.6403433062368076e-30
Peribolosporomycetes,80,80,6.927588287289717,6.396936414369327,3201.5,0.9972771139851258,0.9972771139851258
Pezizomycetes,12856,12856,6.907230876540339,7.281553398058253,78961222.5,6.450292322228995e-10,1.1727804222234536e-09
Physodermatomycetes,152,152,9.21161660425464,7.650176057883969,14126.5,0.0007823275484441897,0.0011734913226662846
Pichiomycetes,40517,40517,6.653992395437262,8.695652173913043,535120641.5,0.0,0.0
Pneumocystomycetes,365,365,5.483028720626632,9.25925925925926,21046.5,1.3917628585734765e-57,5.567051434293906e-57
Pucciniomycetes,2694,2694,5.164319248826291,7.009282274351406,2529297.5,1.1777190784363896e-82,5.047367479013098e-82
Saccharomycetes,22835,22835,7.173913043478261,8.630952380952381,189653626.0,0.0,0.0
Sanchytriomycetes,28,28,8.091787439613526,7.840260152284264,367.0,0.6880685751927261,0.7372163305636351
Sareomycetes,78,78,6.7448848518212685,7.02729044834308,2751.0,0.3031701746610952,0.34981173999357135
Schizosaccharomycetes,195,195,8.588957055214724,8.522727272727273,18990.0,0.9842310530092481,0.9972771139851258
Sordariomycetes,234430,234430,6.790123456790123,7.901907356948229,21793020003.5,0.0,0.0
Sporopachydermiomycetes,117,117,6.329113924050633,8.508732646663681,4609.0,1.5839622560141777e-05,2.5009930358118596e-05
Taphrinomycetes,1158,1158,6.4006866919488274,7.3975377796509925,520459.0,1.1264081043950079e-20,2.5994033178346334e-20
Tremellomycetes,15357,15357,6.70391061452514,7.125307125307125,101897017.5,1.7643414542475593e-94,8.821707271237796e-94
Trigonopsidomycetes,1571,1571,7.936507936507937,8.374384236453203,1119117.5,6.204241934664197e-06,1.0060932867023023e-05
Umbelopsidomycetes,469,469,6.451612903225806,7.875457875457876,81669.5,8.859863640220925e-12,1.771972728044185e-11
Ustilaginomycetes,1650,1650,7.219704458794983,6.7220732444724876,1377656.0,0.5488539495994265,0.6098377217771405
Wallemiomycetes,53,53,8.189655172413794,6.7073170731707314,1644.0,0.13100066978341948,0.16723489759585466
Xylobotryomycetes,156,156,7.774605027304181,8.038140020898641,11113.5,0.1858603050138995,0.2230323660166794
Xylonomycetes,68,68,6.0293550696701,7.078618483389489,1818.0,0.031723648135032353,0.04325952018413503
Zoopagomycetes,983,983,6.024096385542169,7.64609503003823,333187.0,9.860698134121784e-33,2.9582094402365355e-32
