class,n,median,iqr,small_n
Blastocladiomycetes,786,-0.16645721714465805,0.3837989634134702,False
Geminibasidiomycetes,78,-0.2017684828246618,0.40908335264237916,False
Monoblepharidomycetes,499,-0.2222222222222222,0.37693325579885634,False
Neolectomycetes,36,-0.2255191660191661,0.22981767419886617,False
Laboulbeniomycetes,25,-0.23671875,0.4135620334162817,False
Mixiomycetes,40,-0.24852316890881904,0.36437332659019295,False
Chytridiomycetes,9007,-0.2742788461538462,0.4468400970641264,False
Dacrymycetes,361,-0.2752212389380531,0.44008363465326183,False
Malasseziomycetes,205,-0.2839793281653747,0.3076092397248845,False
Kickxellomycetes,12911,-0.2885496183206107,0.4358692668664912,False
Moniliellomycetes,86,-0.297460233872079,0.44960376619280185,False
Sporopachydermiomycetes,117,-0.3034993270524898,0.41654964662263944,False
Lipomycetes,1493,-0.3035222052067382,0.4575115633672525,False
Atractiellomycetes,109,-0.3090425531914894,0.40031113695841813,False
Agaricomycetes,108548,-0.3097808350663893,0.43820045415272,False
Agaricostilbomycetes,232,-0.3173828783282777,0.4278971182380381,False
Endogonomycetes,611,-0.3211267605633802,0.46380932090119437,False
Zoopagomycetes,983,-0.3245283018867924,0.40112379753760263,False
Microbotryomycetes,3100,-0.32467948717948714,0.41636501850069496,False
Taphrinomycetes,1158,-0.3273717784056853,0.4218771697461986,False
Entomophthoromycetes,1981,-0.3297345132743361,0.4161130982796798,False
Eurotiomycetes,78324,-0.33078180970770354,0.42983554156918435,False
Basidiobolomycetes,953,-0.3357142857142857,0.47257142857142853,False
Sordariomycetes,234430,-0.3374562888967684,0.4299059196130371,False
Dimargaritomycetes,429,-0.3376044568245125,0.41035788299059467,False
Sanchytriomycetes,28,-0.34513785461369284,0.44365674978192315,False
Dipodascomycetes,15432,-0.347206123450602,0.4481876557200049,False
Tremellomycetes,15357,-0.3473140495867768,0.4349344393898851,False
Geoglossomycetes,1121,-0.3522796352583586,0.4068521317591952,False
Leotiomycetes,38582,-0.3529428481919083,0.46408142489164605,False
Pichiomycetes,40517,-0.3618843683083512,0.4373879095612187,False
Trigonopsidomycetes,1571,-0.3655737704918033,0.46716277121191685,False
Physodermatomycetes,152,-0.36703313029267565,0.44745882557603356,False
Schizosaccharomycetes,195,-0.3709523809523809,0.4000804035210903,False
Mortierellomycetes,4923,-0.3740420271940667,0.4398118367696805,False
Ustilaginomycetes,1650,-0.3763197908273793,0.3917713325264252,False
Dothideomycetes,82261,-0.3765690376569038,0.44072490110125095,False
Pneumocystomycetes,365,-0.3812280701754387,0.4395791330645161,False
Orbiliomycetes,7964,-0.3823838495575221,0.43375078876133183,False
Pezizomycetes,12856,-0.383643417560863,0.4747926217164654,False
Lecanoromycetes,13364,-0.3859696226975638,0.46418931432050886,False
Xylobotryomycetes,156,-0.38697188288836065,0.48520928676285513,False
Cystobasidiomycetes,996,-0.38931941881380083,0.4111552317355911,False
Candelariomycetes,357,-0.3911666666666666,0.4496245668078551,False
Exobasidiomycetes,1751,-0.391710758377425,0.4198796343543641,False
Peribolosporomycetes,80,-0.39582623762376246,0.42735763690792733,False
Saccharomycetes,22835,-0.4012383900928793,0.4505598163845953,False
Umbelopsidomycetes,469,-0.4028469750889679,0.43824007651841246,False
Xylonomycetes,68,-0.4084710049775552,0.3280293116125451,False
Alloascoideomycetes,309,-0.409090909090909,0.5201234148200804,False
Lichinomycetes,394,-0.41554586563307494,0.4359008023574316,False
Harpellomycetes,1270,-0.4208507199529826,0.4663448991716158,False
Mucoromycetes,8625,-0.4248520710059172,0.455972962433381,False
Sareomycetes,78,-0.45942881944444447,0.457355842991391,False
Coniocybomycetes,188,-0.4626495831039895,0.5169331649864848,False
Wallemiomycetes,53,-0.4789731051344742,0.4477487070276849,False
Glomeromycetes,9158,-0.4835455278001612,0.4510219135598841,False
Pucciniomycetes,2694,-0.4850368516200806,0.44655032506774056,False
Arthoniomycetes,315,-0.4923387096774193,0.5151109166703136,False
Neocallimastigomycetes,5311,-0.494943820224719,0.48481238929428183,False
