class,n,median,iqr,small_n
Pucciniomycetes,2694,20.731707317073173,6.776430567899009,False
Dimargaritomycetes,429,20.689655172413797,7.153164296021444,False
Exobasidiomycetes,1751,20.67736185383244,6.272627147367601,False
Ustilaginomycetes,1650,20.460520262365762,6.0976319029296775,False
Physodermatomycetes,152,20.380111407972663,6.1716654726812195,False
Atractiellomycetes,109,20.35010940919037,5.624830658999912,False
Xylonomycetes,68,20.275594108611187,5.501612842625118,False
Microbotryomycetes,3100,20.17355620811686,6.2795362742519,False
Agaricomycetes,108548,20.071684587813618,6.052628271988141,False
Laboulbeniomycetes,25,19.908466819221967,7.183515482695817,False
Arthoniomycetes,315,19.83471074380165,5.152407262402221,False
Sareomycetes,78,19.79653087725635,7.21158391566464,False
Xylobotryomycetes,156,19.684217031269313,6.47541448132564,False
Coniocybomycetes,188,19.6763859832636,5.745074434072727,False
Tremellomycetes,15357,19.672131147540984,6.141345427059715,False
Cystobasidiomycetes,996,19.65811965811966,5.937782164264963,False
Moniliellomycetes,86,19.60219246199921,4.995668634055367,False
Lichinomycetes,394,19.576325579366515,4.70830059915048,False
Agaricostilbomycetes,232,19.561305534872176,5.350177663743981,False
Candelariomycetes,357,19.52461799660441,5.743740795287188,False
Lecanoromycetes,13364,19.46564885496183,5.48507666284716,False
Mortierellomycetes,4923,19.423076923076923,6.377119096116491,False
Mixiomycetes,40,19.417132347739972,3.530080977462955,False
Peribolosporomycetes,80,19.357071580160504,6.961628381622088,False
Orbiliomycetes,7964,19.35483870967742,5.523798579065154,False
Blastocladiomycetes,786,19.294281390308424,6.766013415591143,False
Geminibasidiomycetes,78,19.237361142598054,6.121656985867478,False
Leotiomycetes,38582,19.17808219178082,5.276321731808093,False
Alloascoideomycetes,309,19.13214990138067,5.294675216057989,False
Eurotiomycetes,78324,19.09814323607427,5.002889616644193,False
Lipomycetes,1493,19.074074074074076,5.095378312636029,False
Wallemiomycetes,53,19.009100101112235,5.961070559610704,False
Trigonopsidomycetes,1571,18.96551724137931,4.945412232644557,False
Pezizomycetes,12856,18.96551724137931,5.925586251496604,False
Geoglossomycetes,1121,18.900343642611684,5.662914321450906,False
Dacrymycetes,361,18.897637795275596,6.133925268220491,False
Chytridiomycetes,9007,18.828932261768085,5.91320934668574,False
Dothideomycetes,82261,18.81656804733728,5.06002974925627,False
Sordariomycetes,234430,18.72852233676976,4.871323529411768,False
Harpellomycetes,1270,18.71255336705773,5.19539234714663,False
Umbelopsidomycetes,469,18.63517060367454,5.029911805558491,False
Taphrinomycetes,1158,18.610995720662803,4.687340100803265,False
Dipodascomycetes,15432,18.39080459770115,5.022386757744194,False
Kickxellomycetes,12911,18.365384615384613,5.226229627762152,False
Malasseziomycetes,205,18.33333333333333,4.4642958618886865,False
Sporopachydermiomycetes,117,18.24104234527687,4.72158505809611,False
Mucoromycetes,8625,18.220338983050848,5.478330000722735,False
Schizosaccharomycetes,195,18.21192052980133,4.507900694713353,False
Basidiobolomycetes,953,18.160919540229884,5.026990553306341,False
Entomophthoromycetes,1981,17.983651226158038,5.399727458550986,False
Monoblepharidomycetes,499,17.983193277310924,5.315607045504759,False
Zoopagomycetes,983,17.928286852589643,5.682397227450872,False
Saccharomycetes,22835,17.712691771269178,4.281619030263268,False
Pichiomycetes,40517,17.708333333333336,4.394409937888202,False
Pneumocystomycetes,365,17.088305489260144,4.010025062656643,False
Endogonomycetes,611,16.853932584269664,7.889924085576258,False
Glomeromycetes,9158,16.561504777070063,5.707196883667473,False
Neolectomycetes,36,16.418186754868806,3.8526200693862105,False
Neocallimastigomycetes,5311,16.341030195381883,5.376653028781718,False
Sanchytriomycetes,28,16.14256792058516,3.355386232715036,False
