class,n,median,iqr,small_n
Pneumocystomycetes,365,2.0,24.0,False
Entomophthoromycetes,1981,-1.0,15.0,False
Exobasidiomycetes,1751,-2.0,16.0,False
Mortierellomycetes,4923,-2.0,14.0,False
Pucciniomycetes,2694,-3.0,15.0,False
Mixiomycetes,40,-3.0,12.5,False
Neolectomycetes,36,-4.0,9.0,False
Monoblepharidomycetes,499,-4.0,16.0,False
Zoopagomycetes,983,-4.0,20.0,False
Candelariomycetes,357,-4.0,14.0,False
Blastocladiomycetes,786,-4.0,26.0,False
Peribolosporomycetes,80,-4.5,9.0,False
Glomeromycetes,9158,-5.0,16.0,False
Chytridiomycetes,9007,-5.0,17.0,False
Endogonomycetes,611,-5.0,14.0,False
Taphrinomycetes,1158,-5.0,17.0,False
Laboulbeniomycetes,25,-5.0,16.0,False
Orbiliomycetes,7964,-5.0,16.0,False
Agaricostilbomycetes,232,-6.0,17.0,False
Microbotryomycetes,3100,-6.0,16.0,False
Pezizomycetes,12856,-7.0,17.0,False
Harpellomycetes,1270,-7.0,26.0,False
Basidiobolomycetes,953,-7.0,21.0,False
Malasseziomycetes,205,-7.0,35.0,False
Coniocybomycetes,188,-7.0,19.25,False
Cystobasidiomycetes,996,-7.0,18.0,False
Moniliellomycetes,86,-7.5,18.5,False
Mucoromycetes,8625,-8.0,28.0,False
Xylonomycetes,68,-8.0,20.25,False
Ustilaginomycetes,1650,-8.0,19.0,False
Schizosaccharomycetes,195,-8.0,18.5,False
Arthoniomycetes,315,-8.0,18.0,False
Geminibasidiomycetes,78,-8.0,13.75,False
Geoglossomycetes,1121,-8.0,18.0,False
Agaricomycetes,108548,-8.0,14.0,False
Leotiomycetes,38582,-8.0,15.0,False
Umbelopsidomycetes,469,-9.0,25.0,False
Dothideomycetes,82261,-9.0,18.0,False
Lecanoromycetes,13364,-9.0,17.0,False
Tremellomycetes,15357,-10.0,17.0,False
Sordariomycetes,234430,-10.0,20.0,False
Atractiellomycetes,109,-11.0,17.0,False
Dimargaritomycetes,429,-11.0,25.0,False
Sareomycetes,78,-11.0,20.25,False
Lichinomycetes,394,-11.0,30.0,False
Eurotiomycetes,78324,-12.0,17.0,False
Physodermatomycetes,152,-13.0,33.25,False
Dacrymycetes,361,-14.0,13.0,False
Kickxellomycetes,12911,-15.0,27.0,False
Sanchytriomycetes,28,-15.5,22.25,False
Trigonopsidomycetes,1571,-16.0,23.0,False
Xylobotryomycetes,156,-16.0,22.25,False
Neocallimastigomycetes,5311,-17.0,50.0,False
Lipomycetes,1493,-18.0,25.0,False
Alloascoideomycetes,309,-19.0,29.0,False
Dipodascomycetes,15432,-19.0,35.0,False
Pichiomycetes,40517,-20.0,35.0,False
Saccharomycetes,22835,-20.0,32.0,False
Sporopachydermiomycetes,117,-22.0,33.0,False
Wallemiomycetes,53,-23.0,28.0,False
