class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Malasseziomycetes,205,205,-7.0,-4.0,15823.5,1.5159709549729803e-05,2.1656727928185435e-05
Microbotryomycetes,3100,3100,-6.0,-3.0,4243353.0,1.5529947944776456e-15,3.005796376408346e-15
Mixiomycetes,40,40,-3.0,-3.5,914.5,0.2723415302372242,0.2917944966827402
Moniliellomycetes,86,86,-7.5,-1.0,2279.0,1.3823740425764044e-05,2.022986403770348e-05
Monoblepharidomycetes,499,499,-4.0,-2.0,114330.0,0.025441837694408897,0.029355966570471802
Mortierellomycetes,4923,4923,-2.0,-4.0,12252474.0,0.3399168816330469,0.35780724382425994
Mucoromycetes,8625,8625,-8.0,-3.0,27091058.5,9.511832620808474e-210,4.390076594219296e-209
Neocallimastigomycetes,5311,5311,-17.0,-3.0,9946099.0,1.40764016334694e-152,5.63056065338776e-152
Neolectomycetes,36,36,-4.0,-4.5,613.5,0.7014331291332002,0.7133218262371528
Orbiliomycetes,7964,7964,-5.0,-3.0,29026751.0,2.04700888582461e-20,4.723866659595254e-20
Peribolosporomycetes,80,80,-4.5,-2.0,2500.5,0.016953772540942345,0.01994561475404982
Pezizomycetes,12856,12856,-7.0,-3.0,60003970.0,0.0,0.0
Physodermatomycetes,152,152,-13.0,-3.0,8150.0,8.994921599402816e-06,1.3492382399104224e-05
Pichiomycetes,40517,40517,-20.0,-5.0,373823955.5,0.0,0.0
Pneumocystomycetes,365,365,2.0,-1.0,72399.5,0.042180804666409666,0.0477518543393317
Pucciniomycetes,2694,2694,-3.0,-1.0,3076056.0,3.441813813374381e-22,8.260353152098514e-22
Saccharomycetes,22835,22835,-20.0,-4.0,121043699.0,0.0,0.0
Sanchytriomycetes,28,28,-15.5,-2.5,166.0,0.00021816120616757452,0.0002908816082234327
Sareomycetes,78,78,-11.0,-7.0,2350.0,0.014206415054832548,0.017047698065799057
Schizosaccharomycetes,195,195,-8.0,-2.0,11788.0,8.447707031005927e-11,1.4481783481724447e-10
Sordariomycetes,234430,234430,-10.0,-4.0,18740202968.5,0.0,0.0
Sporopachydermiomycetes,117,117,-22.0,-5.0,2958.5,6.099244943511209e-14,1.1436084269083517e-13
Taphrinomycetes,1158,1158,-5.0,-2.0,528228.5,9.200578003564783e-19,1.9715524293353108e-18
Tremellomycetes,15357,15357,-10.0,-4.0,81730825.5,0.0,0.0
Trigonopsidomycetes,1571,1571,-16.0,-3.0,652513.5,7.938275320836642e-116,2.801744230883521e-115
Umbelopsidomycetes,469,469,-9.0,-5.0,88699.5,2.875727146671819e-07,4.4241956102643363e-07
Ustilaginomycetes,1650,1650,-8.0,-2.0,963128.5,5.666945045078983e-48,1.700083513523695e-47
Wallemiomycetes,53,53,-23.0,-2.0,526.5,2.905646294440672e-08,4.711858855849738e-08
Xylobotryomycetes,156,156,-16.0,-3.0,5151.0,1.2557805188024856e-18,2.598166590625832e-18
Xylonomycetes,68,68,-8.0,-4.5,1730.0,0.011327186338802234,0.013870024088329266
Zoopagomycetes,983,983,-4.0,-2.0,406129.5,9.243679500414292e-10,1.5406132500690486e-09
