class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Agaricomycetes,108548,108548,-8.0,-3.0,4095359699.5,0.0,0.0
Agaricostilbomycetes,232,232,-6.0,-4.0,24074.5,0.049394324831453416,0.05388471799794918
Alloascoideomycetes,309,309,-19.0,-3.0,16286.5,1.294821724214821e-45,3.53133197513133e-45
Arthoniomycetes,315,315,-8.0,-4.0,37336.5,7.613705237998997e-08,1.20216398494721e-07
Atractiellomycetes,109,109,-11.0,-6.0,4528.5,0.002423638840070375,0.0030940070298770745
Basidiobolomycetes,953,953,-7.0,-3.0,350343.0,5.6319567070065064e-18,1.1263913414013013e-17
Blastocladiomycetes,786,786,-4.0,-1.0,244353.0,7.232724415287364e-13,1.3150408027795206e-12
Candelariomycetes,357,357,-4.0,-2.0,52898.0,8.475878238056256e-05,0.00011826806843799427
Chytridiomycetes,9007,9007,-5.0,-3.0,33888170.0,1.3025682054525375e-81,4.341894018175125e-81
Coniocybomycetes,188,188,-7.0,-3.0,13550.0,9.126410768336766e-05,0.000124451055931865
Cystobasidiomycetes,996,996,-7.0,-4.0,406606.0,3.233161960230535e-12,5.705579929818591e-12
Dacrymycetes,361,361,-14.0,-5.0,31803.0,1.0576941414571693e-32,2.7592021081491373e-32
Dimargaritomycetes,429,429,-11.0,-3.0,56506.5,1.2759207300069383e-22,3.1898018250173455e-22
Dipodascomycetes,15432,15432,-19.0,-4.0,59046278.5,0.0,0.0
Dothideomycetes,82261,82261,-9.0,-4.0,2376584137.5,0.0,0.0
Endogonomycetes,611,611,-5.0,-5.0,186867.0,0.9733474685217667,0.9733474685217667
Entomophthoromycetes,1981,1981,-1.0,0.0,1862074.0,0.0053998352987748134,0.006749794123468517
Eurotiomycetes,78324,78324,-12.0,-5.0,1853343668.0,0.0,0.0
Exobasidiomycetes,1751,1751,-2.0,-3.0,1548403.0,0.6065546236875008,0.6274703003663801
Geminibasidiomycetes,78,78,-8.0,-2.0,2004.5,0.00023479664477206783,0.000306256493180958
Geoglossomycetes,1121,1121,-8.0,-3.0,410769.5,9.043846800465402e-46,2.5839562287044008e-45
Glomeromycetes,9158,9158,-5.0,-1.0,31492914.5,2.2032741164726476e-187,9.442603356311346e-187
Harpellomycetes,1270,1270,-7.0,0.0,523323.0,5.265792426169253e-53,1.6628818187902904e-52
Kickxellomycetes,12911,12911,-15.0,-3.0,40523240.0,0.0,0.0
Laboulbeniomycetes,25,25,-5.0,-1.0,210.5,0.04868063004145047,0.05388471799794918
Lecanoromycetes,13364,13364,-9.0,-3.0,56983297.0,0.0,0.0
Leotiomycetes,38582,38582,-8.0,-4.0,549473083.0,0.0,0.0
Lichinomycetes,394,394,-11.0,-2.0,48373.5,5.385636481410992e-20,1.1968081069802204e-19
Lipomycetes,1493,1493,-18.0,-5.0,569706.0,2.084129485371541e-118,7.81548557014328e-118
