class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Sareomycetes,78,78,365.5,418.5,2667.5,0.1849602677871438,0.2466136903828584
Schizosaccharomycetes,195,195,416.0,363.0,21509.5,0.024905967307014044,0.042695943954881216
Sordariomycetes,234430,234430,330.0,400.0,24333328577.5,0.0,0.0
Sporopachydermiomycetes,117,117,277.0,487.0,4888.5,0.00015881117446273443,0.0003664873256832333
Taphrinomycetes,1158,1158,448.5,384.0,762657.5,1.0138421386541287e-08,2.896691824726082e-08
Tremellomycetes,15357,15357,329.0,414.0,102881691.5,1.8846827121215935e-83,1.1308096272729561e-82
Trigonopsidomycetes,1571,1571,425.0,403.0,1301661.5,0.007804404236860256,0.015105298522955333
Umbelopsidomycetes,469,469,324.0,389.0,96382.5,0.0010472193566515608,0.0022440414785390586
Ustilaginomycetes,1650,1650,416.0,505.0,1250197.5,4.9496918614724254e-05,0.0001187926046753382
Wallemiomycetes,53,53,360.0,405.0,1233.0,0.27991873639481935,0.3427576364018196
Xylobotryomycetes,156,156,340.0,425.0,10505.5,0.0369731093350061,0.05995639351622611
Xylonomycetes,68,68,402.5,442.5,2292.0,0.9323633303339205,0.948166098644665
Zoopagomycetes,983,983,325.0,346.0,474635.0,0.4989736279613328,0.5443348668669086
