class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Agaricomycetes,108548,108548,303.0,352.0,5372676517.0,2.0863936715113934e-276,3.1295905072670904e-275
Agaricostilbomycetes,232,232,292.5,400.5,20684.5,1.6193766224924277e-05,4.048441556231069e-05
Alloascoideomycetes,309,309,356.0,436.0,43503.0,0.05623875210533433,0.08879802964000158
Arthoniomycetes,315,315,400.0,418.0,47789.5,0.42494354112516397,0.47215949013907105
Atractiellomycetes,109,109,366.0,371.0,6240.0,0.520793023832858,0.557992525535205
Basidiobolomycetes,953,953,291.0,309.0,469184.5,0.20940848661202993,0.27314150427656075
Blastocladiomycetes,786,786,397.5,423.5,299800.5,0.31207030099305266,0.3744843611916632
Candelariomycetes,357,357,356.0,404.0,61300.5,0.3791541926193306,0.4460637560227419
Chytridiomycetes,9007,9007,365.0,381.0,40984174.5,0.22751480357091403,0.29044443009052856
Coniocybomycetes,188,188,374.0,440.0,15991.0,0.11075972429377531,0.16208740140552486
Cystobasidiomycetes,996,996,354.0,454.0,405846.0,2.152254862267037e-12,7.174182874223457e-12
Dacrymycetes,361,361,287.0,360.0,54708.5,0.00019156849645427814,0.00042570776989839584
Dimargaritomycetes,429,429,272.0,415.0,66732.0,3.2350319181694205e-12,1.0215890267903433e-11
Dipodascomycetes,15432,15432,474.0,395.0,137491103.5,1.884477430587531e-122,1.4133580729406483e-121
Dothideomycetes,82261,82261,358.0,399.0,3144523034.5,8.09490457918315e-136,8.09490457918315e-135
Endogonomycetes,611,611,265.0,245.0,200630.0,0.023533452135073324,0.04152962141483528
Entomophthoromycetes,1981,1981,295.0,277.0,2140507.5,7.28950396830966e-07,1.9880465368117258e-06
Eurotiomycetes,78324,78324,306.0,403.0,2475225345.0,0.0,0.0
Exobasidiomycetes,1751,1751,373.0,475.0,1248496.0,1.9094624133612373e-21,7.637849653444949e-21
Geminibasidiomycetes,78,78,287.5,277.0,2960.0,0.7726775484789956,0.813344787872627
Geoglossomycetes,1121,1121,415.0,382.0,677455.0,0.0013462950768558838,0.0027854380900466562
Glomeromycetes,9158,9158,366.0,224.0,54957482.5,4.6198812411001043e-290,9.239762482200208e-289
Harpellomycetes,1270,1270,346.0,349.5,840010.5,0.0693758649698847,0.10673209995366877
Kickxellomycetes,12911,12911,348.0,374.0,80405375.5,9.040724718605075e-07,2.358449926592628e-06
Laboulbeniomycetes,25,25,360.0,437.0,354.5,0.4206491097928712,0.47215949013907105
Lecanoromycetes,13364,13364,352.0,401.0,84050409.0,8.767317229156414e-17,3.0943472573493227e-16
Leotiomycetes,38582,38582,338.5,393.0,673933083.0,1.8371760199383803e-114,1.2247840132922536e-113
Lichinomycetes,394,394,403.0,408.0,77609.0,0.9978771685714126,0.9978771685714126
Lipomycetes,1493,1493,444.0,422.0,1151044.0,0.12105491208293043,0.1729355886899006
Malasseziomycetes,205,205,521.0,420.0,22706.0,0.1581981916760956,0.21572480683103948
Microbotryomycetes,3100,3100,325.0,432.5,3999508.5,2.9492954447453832e-30,1.3612132821901767e-29
Mixiomycetes,40,40,265.0,430.0,615.0,0.07583290425852944,0.11374935638779417
Moniliellomycetes,86,86,407.5,295.5,4555.0,0.00871529590572488,0.016341179823234152
Monoblepharidomycetes,499,499,396.0,376.0,131125.0,0.14570085792834056,0.20330352269070776
Mortierellomycetes,4923,4923,247.0,431.0,8714181.0,1.0388989101544517e-128,8.904847801323872e-128
Mucoromycetes,8625,8625,312.0,368.0,36377113.5,0.0123501310272159,0.02245478368584709
Neocallimastigomycetes,5311,5311,590.0,333.0,19516788.0,3.3036796852418743e-257,3.964415622290249e-256
Neolectomycetes,36,36,323.5,330.0,723.5,0.398282774250301,0.4595570472118858
Orbiliomycetes,7964,7964,346.5,406.5,28495658.0,1.450197483955367e-28,6.215132074094429e-28
Peribolosporomycetes,80,80,276.0,451.0,2342.5,0.0034483176627302377,0.006896635325460475
Pezizomycetes,12856,12856,325.0,352.0,82710895.5,0.9029993353501486,0.934137243465671
Physodermatomycetes,152,152,456.5,456.0,12421.0,0.2570609875128824,0.321326234391103
Pichiomycetes,40517,40517,406.0,416.0,852078033.5,5.99787945475559e-21,2.2492047955333464e-20
Pneumocystomycetes,365,365,1041.0,369.0,111157.0,4.129714155924936e-55,2.064857077962468e-54
Pucciniomycetes,2694,2694,335.0,310.0,4018302.0,8.961523994045886e-12,2.688457198213766e-11
Saccharomycetes,22835,22835,438.0,409.0,283290483.0,8.863271874200167e-58,4.83451193138191e-57
Sanchytriomycetes,28,28,445.5,323.0,525.0,0.029911822356709458,0.04985303726118243
