class,n,median,iqr,small_n
Neocallimastigomycetes,5311,9.662921348314606,4.430944956585284,False
Pneumocystomycetes,365,9.25925925925926,3.29006384074032,False
Glomeromycetes,9158,9.174311926605505,4.287974683544304,False
Entomophthoromycetes,1981,8.854166666666666,3.7678833273887378,False
Pichiomycetes,40517,8.695652173913043,3.654212074035633,False
Saccharomycetes,22835,8.630952380952381,3.6611670547688986,False
Schizosaccharomycetes,195,8.522727272727273,3.3799780727026913,False
Sporopachydermiomycetes,117,8.508732646663681,4.465955854844744,False
Harpellomycetes,1270,8.474576271186441,3.33284162492217,False
Trigonopsidomycetes,1571,8.374384236453203,3.5407372039870992,False
Mucoromycetes,8625,8.308605341246292,3.4546549176290293,False
Atractiellomycetes,109,8.262108262108262,3.5745520020577892,False
Basidiobolomycetes,953,8.26086956521739,3.6591478696741833,False
Orbiliomycetes,7964,8.04159757768005,3.511563618765427,False
Xylobotryomycetes,156,8.038140020898641,3.217099307913889,False
Dacrymycetes,361,8.0,3.6031649421789407,False
Alloascoideomycetes,309,8.0,3.962408366049405,False
Eurotiomycetes,78324,7.982616811841285,3.555859865342918,False
Dipodascomycetes,15432,7.977207977207978,3.561178463492955,False
Lipomycetes,1493,7.975460122699387,3.4746081504702193,False
Leotiomycetes,38582,7.947019867549669,3.577720894956392,False
Sordariomycetes,234430,7.901907356948229,3.5526950925181016,False
Umbelopsidomycetes,469,7.875457875457876,3.0284073136747525,False
Sanchytriomycetes,28,7.840260152284264,4.087893875071398,False
Dothideomycetes,82261,7.834101382488479,3.6339826485513154,False
Neolectomycetes,36,7.7355495657382445,2.8986599317826514,False
Agaricomycetes,108548,7.6923076923076925,3.4491213880472067,False
Mixiomycetes,40,7.652777777777779,2.3404541203372906,False
Physodermatomycetes,152,7.650176057883969,2.822685406888443,False
Zoopagomycetes,983,7.64609503003823,3.535789026055788,False
Candelariomycetes,357,7.611548556430447,3.841501180660396,False
Lecanoromycetes,13364,7.5699643428727095,3.419805210417066,False
Mortierellomycetes,4923,7.481296758104738,3.5115411264705454,False
Geoglossomycetes,1121,7.4766355140186915,3.2674139120915715,False
Moniliellomycetes,86,7.4420214607130495,3.6057406762973976,False
Chytridiomycetes,9007,7.428571428571429,3.6367692994199023,False
Endogonomycetes,611,7.407407407407407,3.7473248886575288,False
Taphrinomycetes,1158,7.3975377796509925,3.6088320087466492,False
Dimargaritomycetes,429,7.391673746813933,3.257902298850574,False
Kickxellomycetes,12911,7.333333333333333,3.534946152129816,False
Pezizomycetes,12856,7.281553398058253,3.511731635512362,False
Monoblepharidomycetes,499,7.207207207207207,3.2307127537715408,False
Malasseziomycetes,205,7.205240174672489,3.2887402452619847,False
Agaricostilbomycetes,232,7.187488468776522,3.3130004149510333,False
Coniocybomycetes,188,7.142857142857143,3.679120752984389,False
Cystobasidiomycetes,996,7.1349029589564115,3.5258422621152796,False
Tremellomycetes,15357,7.125307125307125,3.4904880066170394,False
Arthoniomycetes,315,7.091469681397739,3.4209336225681124,False
Xylonomycetes,68,7.078618483389489,3.3403222041632326,False
Sareomycetes,78,7.02729044834308,3.091936116923118,False
Pucciniomycetes,2694,7.009282274351406,3.1493215104774688,False
Microbotryomycetes,3100,7.007883979097997,3.4349520508041724,False
Geminibasidiomycetes,78,6.854264829835155,3.959578225130204,False
Laboulbeniomycetes,25,6.853582554517134,3.1554019457245266,False
Ustilaginomycetes,1650,6.7220732444724876,3.2702856420919346,False
Wallemiomycetes,53,6.7073170731707314,4.020089355857763,False
Blastocladiomycetes,786,6.690470019133935,3.636627321467323,False
Lichinomycetes,394,6.566494148984349,3.2927550228999554,False
Exobasidiomycetes,1751,6.542056074766355,3.2282717053976846,False
Peribolosporomycetes,80,6.396936414369327,3.368700013646883,False
