phylum,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Ascomycota,555861,555861,6.953642384105961,7.971014492753623,124624279023.0,0.0,0.0
Basidiomycota,135340,135340,7.862407862407863,7.561756857066092,9309421701.5,1.1115488326332543e-13,2.0007878987398576e-13
Blastocladiomycota,938,938,5.5275853537852555,6.8707695511819225,343496.5,2.043510110956501e-16,4.597897749652128e-16
Chytridiomycota,14817,14817,7.374631268436578,8.125,91842285.5,5.827844321107902e-131,2.6225299444985562e-130
Cryptomycota,40,40,7.353865161538989,7.784128779463149,652.0,0.1558059152834131,0.17528165469383974
Microsporidia,65,65,6.002143622722401,7.6701821668264625,1338.0,0.0003133731720687317,0.0004029083640883693
Mucoromycota,23786,23786,8.108108108108109,8.378297507561422,274662512.0,3.9849003133039414e-08,5.977350469955913e-08
Sanchytriomycota,28,28,8.091787439613526,7.840260152284264,367.0,0.6880685751927261,0.6880685751927261
Zoopagomycota,18647,18647,7.027027027027027,7.622298065984073,149487098.0,1.6250906113497996e-121,4.875271834049399e-121
