order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Acarosporales,382,382,5.573306740475415,7.515054243546889,47379.5,4.96672833957426e-17,1.698621092134397e-16
Acrospermales,137,137,6.976744186046512,7.432432432432432,8673.0,0.27831579425355735,0.3448695711402776
Agaricales,50905,50905,8.257638315441783,7.762557077625571,1349996186.5,4.71490980779534e-31,2.3713222856853035e-30
Agaricostilbales,232,232,7.518410350621005,7.187488468776522,26752.0,0.9120582109560349,0.9339039166076765
Alaninales,924,924,7.928221204083274,8.526069518716579,348213.5,6.918510712859215e-12,2.1126166641052246e-11
Alloascoideales,309,309,6.128133704735376,8.0,31639.5,4.0214378417388273e-13,1.2974827753534707e-12
Amylocorticiales,241,241,8.477508650519031,7.177033492822966,33091.0,0.008076847715066613,0.01381140959276391
Archaeosporales,575,575,9.420289855072465,8.219178082191782,178681.5,0.017599779961852843,0.02893809974496958
Arthoniales,315,315,6.067961165048544,7.091469681397739,37872.5,2.755684577208864e-07,6.929736216216408e-07
Ascoideales,2618,2618,7.252184455871901,8.834963915813631,2412827.5,9.324987000283088e-77,7.593203700230514e-76
Atheliales,644,644,8.42911877394636,7.721635108358743,231015.5,0.0003958019526245138,0.0007962603988093161
Atractiellales,109,109,6.954887218045113,8.262108262108262,4807.0,0.014967119827112867,0.025091936180748044
Aulographales,360,360,6.675323648060749,8.06322718714868,49766.5,7.15478760036573e-08,1.8260726562127463e-07
Auriculariales,1623,1623,7.594936708860759,7.633587786259542,1273748.0,0.1047005169549153,0.144385390316859
Basidiobolales,953,953,6.451612903225806,8.26086956521739,319237.0,3.036350584049103e-29,1.442266527423324e-28
Blastocladiales,786,786,5.079966866318339,6.690470019133935,217441.5,2.904176963311107e-24,1.2733698992979471e-23
Boletales,25603,25603,8.433734939759036,7.648401826484018,363235123.5,7.273027629251387e-100,8.883483747157051e-99
Botryosphaeriales,8644,8644,7.676348547717843,7.826086956521739,35258605.0,1.5258176582847537e-10,4.422285077401574e-10
Caliciales,433,433,6.719367588932807,7.754442649434572,78039.0,1.980428496624886e-05,4.4559641174059936e-05
Calosphaeriales,198,198,8.217874849256331,8.373211066349128,17530.5,0.0689893468987704,0.09669818294827655
Candelariales,357,357,5.970149253731344,7.611548556430447,43930.0,6.82190272123072e-13,2.1602691950563946e-12
Cantharellales,5954,5954,8.564523276425039,7.539242600218209,20550674.0,2.768742036865966e-51,1.972728701267001e-50
Capnodiales,705,705,7.558733401430031,7.399577167019028,251514.0,0.6946457726106123,0.7377914727727621
Caulochytriales,47,47,4.903677758318739,6.265060240963855,849.0,0.05381886478045959,0.07933642997809129
Cephalothecales,345,345,7.5396825396825395,7.872340425531915,55041.5,0.08770852799250796,0.12193624623348667
Ceraceosorales,82,82,5.78634959413371,6.051149760062134,3047.5,0.30175284320128304,0.3676744671421793
Chaetomellales,186,186,8.3717784772772,8.279942868802285,16920.5,0.7161934786907007,0.7559820052846286
Chaetosphaeriales,506,506,8.27441119354678,8.22300642291528,119293.0,0.06057030088487654,0.08682018771253763
Chaetothyriales,7050,7050,7.696728558797524,7.793162719633308,23623679.5,3.7838453902909397e-07,9.377355967242764e-07
Chytridiales,4990,4990,6.6157760814249365,7.48752804165958,10483573.0,1.655682308819372e-42,9.43738916027042e-42
Cladochytriales,667,667,7.488986784140969,7.142857142857143,233151.5,0.12804668801409436,0.17377764801912807
