phylum,n,median,iqr,small_n
Mucoromycota,23786,8.108108108108109,6.822266639386834,False
Sanchytriomycota,28,8.091787439613526,2.930293689112067,False
Basidiomycota,135340,7.862407862407863,4.4985571759519445,False
Chytridiomycota,14817,7.374631268436578,4.828934978390516,False
Cryptomycota,40,7.353865161538989,4.889038092751925,False
Zoopagomycota,18647,7.027027027027027,5.574468085106384,False
Ascomycota,555861,6.953642384105961,4.641096443669855,False
Microsporidia,65,6.002143622722401,3.8246619321934014,False
Blastocladiomycota,938,5.5275853537852555,4.810983902978371,False
