phylum,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Ascomycota,555861,555861,345.0,400.0,141668618292.5,0.0,0.0
Basidiomycota,135340,135340,310.0,362.0,8326952259.5,0.0,0.0
Blastocladiomycota,938,938,410.0,433.0,433938.0,0.610017307703371,0.610017307703371
Chytridiomycota,14817,14817,432.0,364.0,126664624.0,1.7697019084980713e-116,5.309105725494214e-116
Cryptomycota,40,40,303.0,319.5,885.0,0.4161324731618802,0.46814903230711524
Microsporidia,65,65,471.0,346.0,2423.5,0.1482346501105127,0.19058740728494492
Mucoromycota,23786,23786,302.0,322.0,300537868.0,4.6216456367361734e-32,1.039870268265639e-31
Sanchytriomycota,28,28,445.5,323.0,525.0,0.029911822356709458,0.04486773353506419
Zoopagomycota,18647,18647,338.0,357.0,170907090.0,0.0045673397039159,0.00822121146704862
