domain_id,adhesion_count,adhesion_rate,background_count,background_rate,enrichment_ratio
MER0001085,6,8.003233306255728e-06,0,0.0,inf
MER0001094,23,3.0679061007313624e-05,0,0.0,inf
MER0011435,6,8.003233306255728e-06,0,0.0,inf
MER0012071,19,2.534357213647647e-05,0,0.0,inf
MER0013586,6,8.003233306255728e-06,0,0.0,inf
MER0011426,11,1.4672594394802166e-05,0,0.0,inf
MER0011249,23,3.0679061007313624e-05,0,0.0,inf
MER0005075,15,2.000808326563932e-05,0,0.0,inf
MER0005070,23,3.0679061007313624e-05,0,0.0,inf
MER0021882,5,6.669361088546439e-06,0,0.0,inf
MER0001063,5,6.669361088546439e-06,0,0.0,inf
MER0001084,5,6.669361088546439e-06,0,0.0,inf
MER0011498,8,1.0670977741674304e-05,0,0.0,inf
MER0003418,22,2.9345188789604332e-05,0,0.0,inf
MER0158091,11,1.4672594394802166e-05,0,0.0,inf
MER0003153,21,2.8011316571895044e-05,0,0.0,inf
MER0003021,11,1.4672594394802166e-05,0,0.0,inf
MER0038531,40,5.335488870837151e-05,1,1.333872217709288e-06,39.99999999999999
MER0157380,20,2.6677444354185756e-05,1,1.333872217709288e-06,19.999999999999996
MER0003426,1867,0.0024903394304632404,95,0.00012671786068238234,19.652631578947368
