order,n,median,iqr,small_n
Pneumocystales,365,2.0,24.0,False
Tilletiales,847,1.0,14.0,False
Ramicandelaberales,120,0.0,6.0,False
Entomophthorales,1981,-1.0,15.0,False
Microbotryales,451,-1.0,14.0,False
Ceraceosorales,82,-1.5,13.75,False
Rhizophlyctidales,281,-2.0,15.0,False
Vezdaeales,166,-2.0,9.0,False
Phaeotrichales,136,-2.0,12.0,False
Archaeosporales,575,-2.0,13.0,False
Mortierellales,4923,-2.0,14.0,False
Pucciniales,2694,-3.0,15.0,False
Mixiales,40,-3.0,12.5,False
Magnaporthales,4288,-3.0,13.0,False
Hysterangiales,227,-3.0,49.0,False
Venturiales,2053,-3.0,12.0,False
Erysiphales,567,-4.0,18.0,False
Microthyriales,200,-4.0,16.25,False
Monoblepharidales,499,-4.0,16.0,False
Chytridiales,4990,-4.0,16.0,False
Myriangiales,1644,-4.0,15.0,False
Neolectales,36,-4.0,9.0,False
Zoopagales,983,-4.0,20.0,False
Cantharellales,5954,-4.0,11.0,False
Candelariales,357,-4.0,14.0,False
Polychytriales,187,-4.0,14.5,False
Blastocladiales,786,-4.0,26.0,False
Erythrobasidiales,184,-4.5,13.0,False
Peribolosporales,80,-4.5,9.0,False
Paraglomerales,339,-5.0,15.0,False
Entylomatales,39,-5.0,23.5,False
Exobasidiales,265,-5.0,11.0,False
Endogonales,611,-5.0,14.0,False
Diversisporales,4759,-5.0,15.0,False
Herpomycetales,25,-5.0,16.0,False
Kriegeriales,306,-5.0,13.0,False
Taphrinales,1158,-5.0,17.0,False
Corticiales,437,-5.0,10.0,False
Rhizophydiales,976,-5.0,18.0,False
Orbiliales,7964,-5.0,16.0,False
Urocystidales,90,-5.5,16.0,False
Thelephorales,205,-6.0,13.0,False
Lobulomycetales,247,-6.0,22.5,False
Jaapiales,90,-6.0,15.5,False
Thelocarpales,149,-6.0,12.0,False
Microstromatales,263,-6.0,18.0,False
Synchytriales,118,-6.0,14.75,False
Glomerales,3235,-6.0,17.0,False
Phyllachorales,97,-6.0,19.0,False
Peltigerales,538,-6.0,15.0,False
