order,n,median,iqr,small_n
Blastocladiales,786,-0.16645721714465805,0.3837989634134702,False
Caulochytriales,47,-0.1944013077237433,0.3397882251289133,False
Geminibasidiales,78,-0.2017684828246618,0.40908335264237916,False
Monoblepharidales,499,-0.2222222222222222,0.37693325579885634,False
Neolectales,36,-0.2255191660191661,0.22981767419886617,False
Herpomycetales,25,-0.23671875,0.4135620334162817,False
Auriculariales,1623,-0.2391386953768208,0.44999834566412455,False
Chytridiales,4990,-0.24464931546965374,0.44166782379383346,False
Mixiales,40,-0.24852316890881904,0.36437332659019295,False
Atheliales,644,-0.25380419178868785,0.4105343239173329,False
Cyphobasidiales,40,-0.26310450365971194,0.4480507501330811,False
Synchytriales,118,-0.2636242437332388,0.36087385198985833,False
Calosphaeriales,198,-0.26431176763899267,0.4050577667486411,False
Coronophorales,1111,-0.2652650822669104,0.4206616823865075,False
Ramicandelaberales,120,-0.26630293107550895,0.4270904682523061,False
Kriegeriales,306,-0.2689795918367347,0.40635077438008627,False
Dacrymycetales,361,-0.2752212389380531,0.44008363465326183,False
Chaetosphaeriales,506,-0.27699590039477684,0.43589127535815714,False
Polychytriales,187,-0.2783417935702199,0.373137506170348,False
Corticiales,437,-0.2856132075471698,0.4138863217947504,False
Malasseziales,198,-0.2858163478624438,0.3103246329264371,False
Phaeotrichales,136,-0.286727683172204,0.5858929230026815,False
Kickxellales,12911,-0.2885496183206107,0.4358692668664912,False
Georgefischeriales,11,-0.2897698209718668,0.253450930685704,False
Rhizophydiales,976,-0.29474969474969476,0.4424888872099851,False
Cystofilobasidiales,1143,-0.296546052631579,0.43815468629770593,False
Cladochytriales,667,-0.2966824644549762,0.46445586889416307,False
Moniliellales,86,-0.297460233872079,0.44960376619280185,False
Togniniales,229,-0.3005797101449275,0.3895602902126416,False
Agaricales,50905,-0.3024822695035461,0.4481664849145766,False
Sporopachydermiales,117,-0.3034993270524898,0.41654964662263944,False
Lipomycetales,1493,-0.3035222052067382,0.4575115633672525,False
Polyporales,11587,-0.303894297635605,0.4287371774059515,False
Ophiostomatales,8935,-0.3064646464646465,0.45339669163305185,False
Trechisporales,249,-0.3083538083538082,0.3858948392975481,False
Microthyriales,200,-0.308403274137685,0.3777727751174494,False
Racodiales,231,-0.3089041095890411,0.42946455512020987,False
Atractiellales,109,-0.3090425531914894,0.40031113695841813,False
Phallales,613,-0.3114068441064639,0.43970588235294145,False
Entylomatales,39,-0.3127403846153846,0.3398329955492331,False
Glomerellales,23969,-0.313095238095238,0.425847148368262,False
Trichosporonales,7579,-0.3132631578947367,0.43157418428883687,False
Cephalothecales,345,-0.3139240506329113,0.4004619333679873,False
Russulales,5177,-0.3145228215767636,0.43411957411957425,False
Leucosporidiales,369,-0.3160377358490566,0.44054493019829866,False
Agaricostilbales,232,-0.3173828783282777,0.4278971182380381,False
Boletales,25603,-0.318403247631935,0.4301054383987318,False
Thelebolales,4041,-0.3189624329159212,0.47149737828714755,False
Cantharellales,5954,-0.3202741692280925,0.3996984061833224,False
Endogonales,611,-0.3211267605633802,0.46380932090119437,False
Eurotiales,65072,-0.3224489795918367,0.42649575455406635,False
Zoopagales,983,-0.3245283018867924,0.40112379753760263,False
Sporidiobolales,1747,-0.3250000000000001,0.41432877139462576,False
Taphrinales,1158,-0.3273717784056853,0.4218771697461986,False
Diaporthales,13567,-0.3286573146292584,0.43620706680818455,False
Amylocorticiales,241,-0.3289228159457166,0.3838846939158303,False
Entomophthorales,1981,-0.3297345132743361,0.4161130982796798,False
Thelephorales,205,-0.3301184433164129,0.4190335305719922,False
Spizellomycetales,719,-0.3320754716981132,0.4415200580719757,False
Geastrales,307,-0.3337962962962964,0.4971650072834522,False
Coniochaetales,1953,-0.3344262295081967,0.44215483870967764,False
Xylariales,37218,-0.3352618721069775,0.4416651212818039,False
Basidiobolales,953,-0.3357142857142857,0.47257142857142853,False
Gloeophyllales,269,-0.3362962962962963,0.44192369984609325,False
Dimargaritales,429,-0.3376044568245125,0.41035788299059467,False
Sebacinales,1334,-0.3384222440828226,0.4053475895190022,False
Hymenochaetales,2325,-0.3401408450704226,0.4465859156732832,False
Jaapiales,90,-0.3402953780226507,0.4717259383249476,False
Phacidiales,560,-0.341157984009411,0.47923647359913696,False
Hypocreales,111096,-0.34189944134078215,0.4228366252936753,False
Sanchytriales,28,-0.34513785461369284,0.44365674978192315,False
Chaetothyriales,7050,-0.3455499118794432,0.44029474862451135,False
Mytilinidiales,556,-0.3458741764422305,0.4588639529752942,False
Dipodascales,15432,-0.347206123450602,0.4481876557200049,False
Magnaporthales,4288,-0.34777561114196054,0.42404090835171704,False
Geoglossales,919,-0.3503211991434689,0.3938898332740256,False
Symbiotaphrinales,87,-0.3506726457399103,0.4796122495660551,False
Botryosphaeriales,8644,-0.3508263114976896,0.4592216971740412,False
Alaninales,924,-0.35296140554238475,0.4232992440052775,False
Serinales,29673,-0.3535407725321889,0.4385761226725082,False
Rhizophlyctidales,281,-0.3537037037037038,0.4345450713261641,False
Chaetomellales,186,-0.35418430478671425,0.4586175295277902,False
Ostropales,744,-0.3547855430760428,0.44996586709844716,False
Thelocarpales,149,-0.3567901234567901,0.42208603495999686,False
Microascales,8572,-0.3569471153846153,0.4167028570451554,False
Helotiales,31960,-0.35758404841852187,0.46517725485801664,False
