class,n,median,iqr,small_n
Pneumocystomycetes,365,1041.0,143.0,False
Neocallimastigomycetes,5311,590.0,695.0,False
Malasseziomycetes,205,521.0,437.0,False
Dipodascomycetes,15432,474.0,522.0,False
Physodermatomycetes,152,456.5,772.25,False
Taphrinomycetes,1158,448.5,363.0,False
Sanchytriomycetes,28,445.5,366.5,False
Lipomycetes,1493,444.0,338.0,False
Saccharomycetes,22835,438.0,411.0,False
Trigonopsidomycetes,1571,425.0,385.0,False
Ustilaginomycetes,1650,416.0,460.0,False
Schizosaccharomycetes,195,416.0,526.0,False
Geoglossomycetes,1121,415.0,433.0,False
Moniliellomycetes,86,407.5,497.5,False
Pichiomycetes,40517,406.0,409.0,False
Lichinomycetes,394,403.0,334.75,False
Xylonomycetes,68,402.5,348.75,False
Arthoniomycetes,315,400.0,355.0,False
Blastocladiomycetes,786,397.5,308.75,False
Monoblepharidomycetes,499,396.0,370.5,False
Coniocybomycetes,188,374.0,329.75,False
Exobasidiomycetes,1751,373.0,324.5,False
Glomeromycetes,9158,366.0,614.0,False
Atractiellomycetes,109,366.0,342.0,False
Sareomycetes,78,365.5,254.75,False
Chytridiomycetes,9007,365.0,372.5,False
Wallemiomycetes,53,360.0,196.0,False
Laboulbeniomycetes,25,360.0,493.0,False
Dothideomycetes,82261,358.0,337.0,False
Candelariomycetes,357,356.0,299.0,False
Alloascoideomycetes,309,356.0,345.0,False
Cystobasidiomycetes,996,354.0,330.25,False
Lecanoromycetes,13364,352.0,339.0,False
Kickxellomycetes,12911,348.0,310.0,False
Orbiliomycetes,7964,346.5,280.0,False
Harpellomycetes,1270,346.0,330.0,False
Xylobotryomycetes,156,340.0,315.75,False
Leotiomycetes,38582,338.5,305.0,False
Pucciniomycetes,2694,335.0,376.0,False
Sordariomycetes,234430,330.0,332.0,False
Tremellomycetes,15357,329.0,283.0,False
Microbotryomycetes,3100,325.0,283.0,False
Zoopagomycetes,983,325.0,348.0,False
Pezizomycetes,12856,325.0,318.0,False
Umbelopsidomycetes,469,324.0,383.0,False
Neolectomycetes,36,323.5,379.0,False
Mucoromycetes,8625,312.0,390.0,False
Eurotiomycetes,78324,306.0,286.0,False
Agaricomycetes,108548,303.0,298.0,False
Entomophthoromycetes,1981,295.0,318.0,False
Agaricostilbomycetes,232,292.5,213.0,False
Basidiobolomycetes,953,291.0,275.0,False
Geminibasidiomycetes,78,287.5,212.5,False
Dacrymycetes,361,287.0,227.0,False
Sporopachydermiomycetes,117,277.0,264.0,False
Peribolosporomycetes,80,276.0,369.5,False
Dimargaritomycetes,429,272.0,231.0,False
Mixiomycetes,40,265.0,351.0,False
Endogonomycetes,611,265.0,208.5,False
Mortierellomycetes,4923,247.0,319.0,False
