order,n,median,iqr,small_n
Saccharomycodales,1209,38.03317535545024,10.778105244705444,False
Phaffomycetales,8112,36.7816091954023,11.564451479844202,False
Ascoideales,2618,36.11748216106014,10.325357348957631,False
Alaninales,924,36.09022556390977,12.472612332162889,False
Saccharomycetales,10896,35.97464342313788,12.031454368060054,False
Alloascoideales,309,35.820895522388064,12.489513218222601,False
Trigonopsidales,1571,35.728542914171655,14.062377443332963,False
Schizosaccharomycetales,195,35.65573770491803,19.034589673835185,False
Pichiales,9920,35.61843815618438,13.167524118739983,False
Dipodascales,15432,35.10444769498697,12.567977706964825,False
Serinales,29673,34.25692695214106,12.771118721461189,False
Coniocybales,188,33.84375,13.601883108448082,False
Xylonales,68,33.817605360320414,14.786833304898146,False
Caulochytriales,47,33.67609254498714,13.079164874929095,False
Georgefischeriales,11,33.67003367003367,15.668881067399838,False
Phaeomoniellales,254,33.5571377072819,9.76499685276897,False
Acarosporales,382,33.15762471141032,12.25675988651497,False
Sareales,78,33.066049537152864,14.282901408445412,False
Rhizocarpales,140,33.037772872209956,11.035893650737048,False
Sporopachydermiales,117,32.79352226720648,11.725548298240856,False
Sarrameanales,210,32.544130008405716,9.209713712685428,False
Candelariales,357,32.42424242424242,10.09791122715405,False
Symbiotaphrinales,87,32.352941176470594,11.832792655605019,False
Capnodiales,705,32.23684210526316,11.444861632596304,False
Trapeliales,1685,32.1917808219178,9.376417233560087,False
Microstromatales,263,32.15339233038348,12.233722442211217,False
Arthoniales,315,32.14285714285714,12.40592036309289,False
Herpomycetales,25,31.91489361702128,10.588025180580917,False
Dothideales,7123,31.86813186813187,9.473727333910837,False
Ramicandelaberales,120,31.85964357270906,16.8559909070011,False
Teloschistales,2332,31.81874039938556,10.185745745105795,False
Aulographales,360,31.756258105827513,11.477487826785804,False
Ophiostomatales,8935,31.701030927835053,11.528583476675564,False
Lipomycetales,1493,31.640625,12.952909369265683,False
Pertusariales,457,31.56146179401993,10.041525832930951,False
Valsariales,120,31.552185548617306,9.42308864227111,False
Chaetothyriales,7050,31.548843817362332,12.664835328026733,False
Lecanorales,4757,31.524547803617573,9.006130037182196,False
Trypetheliales,1532,31.500445155077493,10.119488171851735,False
Verrucariales,164,31.437070770134785,12.404940003116721,False
Orbiliales,7964,31.43691280312774,8.90798882135919,False
Vezdaeales,166,31.433993632271523,10.248377352731573,False
Myriangiales,1644,31.35256927629809,8.944645211012165,False
Leotiales,220,31.328186798699207,10.731042954918557,False
Caliciales,433,31.32387706855792,9.35137939413043,False
Xylobotryales,156,31.16782989774387,10.589735544520266,False
Venturiales,2053,31.159420289855078,10.778072686994502,False
Thelocarpales,149,31.069182389937104,10.684301322599197,False
Trechisporales,249,31.037924151696608,11.736027550724028,False
Dimargaritales,429,31.00436681222708,11.063011063011068,False
Umbilicariales,1286,30.97298568810974,11.784511784511785,False
Polychytriales,187,30.952380952380956,10.612111123889314,False
Microascales,8572,30.952380952380956,10.692753623188405,False
Ostropales,744,30.74192658680193,11.348233992426625,False
Neolectales,36,30.73440962329851,6.960048462640103,False
Phacidiales,560,30.717416755152602,11.009466036753047,False
Harpellales,1270,30.70690679709284,15.002631623198642,False
Helotiales,31960,30.50847457627119,10.968054667607838,False
Lichinales,394,30.493492082533592,13.136986235702793,False
Mycosphaerellales,15456,30.48553812675673,11.371802132758045,False
Eurotiales,65072,30.31496062992126,12.08555961919032,False
Lineolatales,107,30.250481695568403,11.304807485222089,False
Cladosporiales,5652,30.249110320284696,10.664745922564595,False
Pucciniales,2694,30.234733174399413,13.649823945346448,False
Peltigerales,538,30.206207482993193,11.841891195280276,False
Rhizophydiales,976,30.19638043896804,10.59867287276926,False
Taphrinales,1158,30.193504609481025,9.599126391432996,False
Onygenales,5353,30.03003003003003,12.707973416756161,False
Pyrenulales,338,30.02463054187192,10.713169697014902,False
Phaeotrichales,136,29.959016393442624,9.151615434513054,False
Cystobasidiales,707,29.89690721649484,10.470038383909205,False
Erythrobasidiales,184,29.87952922219319,9.003357273704452,False
Cladochytriales,667,29.861111111111114,9.710647519779322,False
Tremellales,5221,29.787234042553195,9.629971299712999,False
Phyllachorales,97,29.76356050069541,10.483639494833525,False
Phallales,613,29.67741935483871,12.4253178204034,False
Patellariales,126,29.651669085631355,11.176967957528223,False
Mytilinidiales,556,29.636915955446263,10.236653508617529,False
Chaetomellales,186,29.60354720918101,9.101235001716837,False
Kriegeriales,306,29.55650651624198,8.581772654657822,False
Eremomycetales,87,29.52755905511811,12.33977600749968,False
Cystofilobasidiales,1143,29.491525423728813,7.745298470230068,False
Hypocreales,111096,29.482071713147413,10.685973899712067,False
Peribolosporales,80,29.42389926295206,11.377027464304494,False
Cyphobasidiales,40,29.394293942939427,11.12381696397945,False
Coniochaetales,1953,29.38931297709924,11.251885369532427,False
Agaricostilbales,232,29.37134981714972,7.716983446652197,False
Tilletiales,847,29.33985330073349,10.148816518288864,False
Hysteriales,371,29.33985330073349,11.01960562211126,False
Atractiellales,109,29.310344827586206,9.294403055694158,False
Violaceomycetales,47,29.25,11.80147121504072,False
Botryosphaeriales,8644,29.23287095418243,11.210339029501554,False
Acrospermales,137,29.19463087248322,10.201051217385153,False
Xylariales,37218,29.097297929870596,11.965185106360131,False
Cephalothecales,345,29.09090909090909,10.793063583815034,False
Entomophthorales,1981,29.06574394463668,15.820281601012503,False
Erysiphales,567,29.059829059829056,11.687396827932105,False
Microthyriales,200,29.04767524191645,12.377977462694037,False
Umbelopsidales,469,29.03225806451613,11.630794701986758,False
Lulworthiales,179,29.01678657074341,8.126262282433565,False
Thelephorales,205,29.00763358778626,11.293463312522064,False
Magnaporthales,4288,28.997716894977167,11.360544217687071,False
