phylum,n,median,iqr,small_n
Blastocladiomycota,938,-0.1896015641149314,0.4041483901320998,False
Zoopagomycota,18647,-0.3058510638297872,0.4386094588881523,False
Cryptomycota,40,-0.3096020570747567,0.46505225272817885,False
Basidiomycota,135340,-0.3199413363611341,0.43782834867597836,False
Sanchytriomycota,28,-0.34513785461369284,0.44365674978192315,False
Microsporidia,65,-0.3470914127423825,0.3001814944973643,False
Ascomycota,555861,-0.3511811023622048,0.4392804082423616,False
Chytridiomycota,14817,-0.3525252525252525,0.47384735812133083,False
Mucoromycota,23786,-0.4350479252794365,0.4564356568603615,False
