phylum,n,median,iqr,small_n
Basidiomycota,135340,20.04175365344468,6.088963608012737,False
Blastocladiomycota,938,19.499717017664054,6.616471687826664,False
Ascomycota,555861,18.72340425531915,4.971425361922012,False
Zoopagomycota,18647,18.37160751565762,5.304403901217487,False
Chytridiomycota,14817,17.902542372881356,5.892140653137737,False
Mucoromycota,23786,17.802027693668563,5.952284597221341,False
Cryptomycota,40,17.291515882589465,2.7791914590643962,False
Microsporidia,65,16.167664670658684,4.006524778623577,False
Sanchytriomycota,28,16.14256792058516,3.355386232715036,False
