domain_id,adhesion_count,adhesion_rate,background_count,background_rate,enrichment_ratio
3D,6,8.003233306255728e-06,0,0.0,inf
Apolipoprotein,9,1.200484995938359e-05,0,0.0,inf
Cu-binding_MopE,6,8.003233306255728e-06,0,0.0,inf
Pericardin_rpt,5,6.669361088546439e-06,0,0.0,inf
Lustrin_cystein,9,1.200484995938359e-05,0,0.0,inf
Cupredoxin_1,27,3.6014549878150776e-05,0,0.0,inf
Curlin_rpt,6,8.003233306255728e-06,0,0.0,inf
Lectin_C,13,1.7340338830220744e-05,0,0.0,inf
LbR_Ice_bind,12,1.6006466612511456e-05,0,0.0,inf
Laminin_G_2,5,6.669361088546439e-06,0,0.0,inf
Laminin_EGF,14,1.8674211047930032e-05,0,0.0,inf
LTD,5,6.669361088546439e-06,0,0.0,inf
DIPSY,10,1.3338722177092878e-05,0,0.0,inf
Ig_2,22,2.9345188789604332e-05,0,0.0,inf
Antifungal_pept,27,3.6014549878150776e-05,0,0.0,inf
DUF11,51,6.802748310317368e-05,0,0.0,inf
RGM_N,6,8.003233306255728e-06,0,0.0,inf
DUF1388,5,6.669361088546439e-06,0,0.0,inf
Kazal_1,97,0.00012938560511780093,0,0.0,inf
DUF285,5,6.669361088546439e-06,0,0.0,inf
