order,n,median,iqr,small_n
Glomerales,3235,9.803921568627452,4.081120704781152,False
Neocallimastigales,5311,9.662921348314606,4.430944956585284,False
Pneumocystales,365,9.25925925925926,3.29006384074032,False
Lobulomycetales,247,9.195402298850574,3.41029087385398,False
Entrophosporales,250,8.911657559198543,4.064125894471903,False
Diversisporales,4759,8.860759493670885,4.243243243243243,False
Entomophthorales,1981,8.854166666666666,3.7678833273887378,False
Saccharomycodales,1209,8.83668903803132,3.6447616365959847,False
Ascoideales,2618,8.834963915813631,3.7831702172260977,False
Serinales,29673,8.695652173913043,3.650866697346218,False
Pichiales,9920,8.679900419287211,3.6769967082894333,False
Phaffomycetales,8112,8.590753456695417,3.7301992846193146,False
Saccharomycetales,10896,8.588957055214724,3.5632547442934985,False
Paraglomerales,339,8.536585365853659,3.6758024397343263,False
Alaninales,924,8.526069518716579,3.583400993733111,False
Schizosaccharomycetales,195,8.522727272727273,3.3799780727026913,False
Sporopachydermiales,117,8.508732646663681,4.465955854844744,False
Harpellales,1270,8.474576271186441,3.33284162492217,False
Hysteriales,371,8.394698085419735,3.6629295016720826,False
Trigonopsidales,1571,8.374384236453203,3.5407372039870992,False
Calosphaeriales,198,8.373211066349128,3.3358264702984357,False
Mucorales,8625,8.308605341246292,3.4546549176290293,False
Chaetomellales,186,8.279942868802285,4.000158809824162,False
Atractiellales,109,8.262108262108262,3.5745520020577892,False
Basidiobolales,953,8.26086956521739,3.6591478696741833,False
Chaetosphaeriales,506,8.22300642291528,3.6133718230365046,False
Archaeosporales,575,8.219178082191782,4.39001053725741,False
Glomerellales,23969,8.095238095238095,3.65174814759653,False
Aulographales,360,8.06322718714868,4.154081019006204,False
Eurotiales,65072,8.04289544235925,3.5462735462735466,False
Orbiliales,7964,8.04159757768005,3.511563618765427,False
Xylobotryales,156,8.038140020898641,3.217099307913889,False
Racodiales,231,8.02919708029197,3.491191703975556,False
Hypocreales,111096,8.025017273521321,3.525445063837439,False
Pyrenulales,338,8.02451289599103,3.607698072986998,False
Togniniales,229,8.0,3.588644609581367,False
Alloascoideales,309,8.0,3.962408366049405,False
Dacrymycetales,361,8.0,3.6031649421789407,False
Jaapiales,90,7.984715364756315,3.2442921290601188,False
Dipodascales,15432,7.977207977207978,3.561178463492955,False
Lipomycetales,1493,7.975460122699387,3.4746081504702193,False
Helotiales,31960,7.964601769911504,3.5942464066283195,False
Pleosporales,34727,7.954545454545454,3.6270495267072347,False
Thelephorales,205,7.949790794979079,3.158783783783784,False
Xylariales,37218,7.94392523364486,3.5492010092514716,False
Diaporthales,13567,7.942708333333333,3.6083882003873864,False
Trechisporales,249,7.906976744186046,3.4252873563218404,False
Polychytriales,187,7.906295754026354,3.079373273521643,False
Phallales,613,7.894736842105263,3.5862785862785875,False
Trypetheliales,1532,7.883971074254874,3.519284373841473,False
Phacidiales,560,7.877894573523137,3.5330885483281538,False
Umbelopsidales,469,7.875457875457876,3.0284073136747525,False
Venturiales,2053,7.872340425531915,3.417081996313237,False
Cephalothecales,345,7.872340425531915,3.574132969862184,False
Sanchytriales,28,7.840260152284264,4.087893875071398,False
Botryosphaeriales,8644,7.826086956521739,3.6235408729046155,False
Chaetothyriales,7050,7.793162719633308,3.477327676987011,False
Mytilinidiales,556,7.769505508325368,3.4444441575409854,False
Agaricales,50905,7.762557077625571,3.4358607534573204,False
