class,n,median,iqr,small_n
Taphrinomycetes,1158,0.04172120771385475,0.4428949506646639,False
Sareomycetes,78,-0.013363821138211301,0.4243865966722774,False
Trigonopsidomycetes,1571,-0.0188022284122562,0.3338750925840027,False
Neolectomycetes,36,-0.0199689118024516,0.45899446489237294,False
Candelariomycetes,357,-0.0279257465698143,0.4709992473701714,False
Leotiomycetes,38582,-0.0333541666666667,0.3479106459277557,False
Xylobotryomycetes,156,-0.03357771260997065,0.4241884268214055,False
Lecanoromycetes,13364,-0.0595970797003145,0.40797276550028194,False
Geoglossomycetes,1121,-0.0621753246753246,0.4032768143689479,False
Pezizomycetes,12856,-0.06379622765834775,0.4275986597264922,False
Lipomycetes,1493,-0.0641065830721003,0.3145355504587155,False
Monoblepharidomycetes,499,-0.0743801652892562,0.33835426151750236,False
Chytridiomycetes,9007,-0.0812095032397408,0.4629627531324945,False
Microbotryomycetes,3100,-0.08644035644103734,0.33430881155411835,False
Agaricomycetes,108548,-0.09075463280585136,0.37360407066052226,False
Dacrymycetes,361,-0.0927021696252465,0.29954318936877067,False
Schizosaccharomycetes,195,-0.1011167512690355,0.3225503289173383,False
Xylonomycetes,68,-0.1045481252002991,0.44207338675704455,False
Mixiomycetes,40,-0.11095821872332351,0.49336377803483056,False
Mortierellomycetes,4923,-0.1123711340206185,0.5408738548016144,False
Dipodascomycetes,15432,-0.117928492186851,0.4819265378702451,False
Saccharomycetes,22835,-0.1254838709677419,0.31679428785067554,False
Agaricostilbomycetes,232,-0.12939573060549453,0.32392103453596366,False
Pichiomycetes,40517,-0.1332467532467531,0.4023103748910199,False
Sporopachydermiomycetes,117,-0.1362637362637362,0.3278617801635702,False
Orbiliomycetes,7964,-0.1407461513909008,0.37285996397753995,False
Dothideomycetes,82261,-0.1508042895442359,0.3670576735092865,False
Alloascoideomycetes,309,-0.1542553191489361,0.43814754098360653,False
Peribolosporomycetes,80,-0.15566453027491983,0.3909150104219539,False
Lichinomycetes,394,-0.16218051000388456,0.4290471273744279,False
Umbelopsidomycetes,469,-0.1644244433917575,0.5355604428939784,False
Eurotiomycetes,78324,-0.1645557087354305,0.36387525255770437,False
Sordariomycetes,234430,-0.1713101160862354,0.3727546401423509,False
Tremellomycetes,15357,-0.1845425867507887,0.3910928319623971,False
Blastocladiomycetes,786,-0.18619854721549628,0.5396761380246548,False
Physodermatomycetes,152,-0.19475900497213955,0.5487339227634612,False
Endogonomycetes,611,-0.1967625899280576,0.6955505290257296,False
Geminibasidiomycetes,78,-0.1982011000602772,0.5421392924959996,False
Exobasidiomycetes,1751,-0.2018779342723005,0.37303885859338953,False
Laboulbeniomycetes,25,-0.2052823315118397,0.40437566620983684,False
Arthoniomycetes,315,-0.2060975609756097,0.37595702579871804,False
Atractiellomycetes,109,-0.2188235294117647,0.3589704944178628,False
Coniocybomycetes,188,-0.22690615512927434,0.4085072393645469,False
Cystobasidiomycetes,996,-0.24658098682510982,0.4614812661494601,False
Kickxellomycetes,12911,-0.2715328467153284,0.3836826393259588,False
Moniliellomycetes,86,-0.2874064856159872,0.5170946722015739,False
Dimargaritomycetes,429,-0.3053693570451435,0.4168846503178929,False
Mucoromycetes,8625,-0.311715481171548,0.5848215980261908,False
Ustilaginomycetes,1650,-0.32862137862137863,0.5013998696398698,False
Harpellomycetes,1270,-0.33653550371699564,0.577114829648248,False
Pucciniomycetes,2694,-0.3415557969046973,0.6103778154668171,False
Zoopagomycetes,983,-0.3715867158671587,0.6433843801927623,False
Sanchytriomycetes,28,-0.4268200281206061,0.5724049056638454,False
Wallemiomycetes,53,-0.4533783783783784,0.4489183319380241,False
Malasseziomycetes,205,-0.4701195219123507,0.4772897033824659,False
Basidiobolomycetes,953,-0.4766423357664234,0.766268101501262,False
Entomophthoromycetes,1981,-0.4899641577060932,0.518293885601578,False
Glomeromycetes,9158,-0.5282018389440903,0.6137762749152927,False
Neocallimastigomycetes,5311,-0.5309876543209877,0.34347887045553394,False
Pneumocystomycetes,365,-0.6841420710355179,0.25521245109682356,False
