class,n,median,iqr,small_n
Ustilaginomycetes,1650,505.0,462.0,False
Sporopachydermiomycetes,117,487.0,422.0,False
Exobasidiomycetes,1751,475.0,455.0,False
Physodermatomycetes,152,456.0,409.25,False
Cystobasidiomycetes,996,454.0,457.25,False
Peribolosporomycetes,80,451.0,518.0,False
Xylonomycetes,68,442.5,301.5,False
Coniocybomycetes,188,440.0,375.5,False
Laboulbeniomycetes,25,437.0,244.0,False
Alloascoideomycetes,309,436.0,361.0,False
Microbotryomycetes,3100,432.5,419.0,False
Mortierellomycetes,4923,431.0,435.0,False
Mixiomycetes,40,430.0,409.75,False
Xylobotryomycetes,156,425.0,309.75,False
Blastocladiomycetes,786,423.5,440.75,False
Lipomycetes,1493,422.0,363.0,False
Malasseziomycetes,205,420.0,411.0,False
Sareomycetes,78,418.5,347.25,False
Arthoniomycetes,315,418.0,369.0,False
Pichiomycetes,40517,416.0,369.0,False
Dimargaritomycetes,429,415.0,401.0,False
Tremellomycetes,15357,414.0,376.0,False
Saccharomycetes,22835,409.0,371.0,False
Lichinomycetes,394,408.0,458.5,False
Orbiliomycetes,7964,406.5,354.0,False
Wallemiomycetes,53,405.0,326.0,False
Candelariomycetes,357,404.0,358.0,False
Trigonopsidomycetes,1571,403.0,386.0,False
Eurotiomycetes,78324,403.0,317.25,False
Lecanoromycetes,13364,401.0,357.0,False
Agaricostilbomycetes,232,400.5,384.75,False
Sordariomycetes,234430,400.0,325.0,False
Dothideomycetes,82261,399.0,326.0,False
Dipodascomycetes,15432,395.0,349.25,False
Leotiomycetes,38582,393.0,337.0,False
Umbelopsidomycetes,469,389.0,371.0,False
Taphrinomycetes,1158,384.0,325.0,False
Geoglossomycetes,1121,382.0,408.0,False
Chytridiomycetes,9007,381.0,407.0,False
Monoblepharidomycetes,499,376.0,314.0,False
Kickxellomycetes,12911,374.0,368.5,False
Atractiellomycetes,109,371.0,281.0,False
Pneumocystomycetes,365,369.0,386.0,False
Mucoromycetes,8625,368.0,349.0,False
Schizosaccharomycetes,195,363.0,314.0,False
Dacrymycetes,361,360.0,287.0,False
Agaricomycetes,108548,352.0,340.0,False
Pezizomycetes,12856,352.0,369.0,False
Harpellomycetes,1270,349.5,422.5,False
Zoopagomycetes,983,346.0,358.0,False
Neocallimastigomycetes,5311,333.0,406.5,False
Neolectomycetes,36,330.0,284.0,False
Sanchytriomycetes,28,323.0,245.5,False
Pucciniomycetes,2694,310.0,354.0,False
Basidiobolomycetes,953,309.0,313.0,False
Moniliellomycetes,86,295.5,347.25,False
Geminibasidiomycetes,78,277.0,238.5,False
Entomophthoromycetes,1981,277.0,304.0,False
Endogonomycetes,611,245.0,314.0,False
Glomeromycetes,9158,224.0,299.0,False
