phylum,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Ascomycota,555861,555861,-11.0,-4.0,100494991632.5,0.0,0.0
Basidiomycota,135340,135340,-8.0,-3.0,6486113399.0,0.0,0.0
Blastocladiomycota,938,938,-5.0,-2.0,341950.0,6.592361704802952e-17,9.888542557204429e-17
Chytridiomycota,14817,14817,-7.0,-3.0,86690243.0,8.223294301545554e-216,1.4801929742781996e-215
Cryptomycota,40,40,-6.0,-1.0,533.0,0.010286336517381684,0.011572128582054395
Microsporidia,65,65,-7.0,0.0,1645.0,0.0296029229173348,0.0296029229173348
Mucoromycota,23786,23786,-5.0,-2.0,228069543.5,1.5611114281884075e-293,3.5125007134239173e-293
Sanchytriomycota,28,28,-15.5,-2.5,166.0,0.00021816120616757452,0.0002804929793583101
Zoopagomycota,18647,18647,-12.0,-2.0,101959354.0,0.0,0.0
