order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Acarosporales,382,382,-0.04598242763435035,-0.4037390988372093,114351.0,6.041484507594992e-42,1.693596476719252e-41
Acrospermales,137,137,-0.1266187050359712,-0.4424,13741.0,3.096892308271054e-11,4.5262272197807713e-11
Agaricales,50905,50905,-0.0716923076923077,-0.3024822695035461,1796369145.0,0.0,0.0
Agaricostilbales,232,232,-0.12939573060549453,-0.3173828783282777,35815.0,7.076773929489594e-10,9.759099531796134e-10
Alaninales,924,924,-0.07748664886515355,-0.35296140554238475,643252.0,2.254216540198238e-79,7.558255458311739e-79
Alloascoideales,309,309,-0.1542553191489361,-0.409090909090909,68675.0,3.994154831475237e-21,7.674162653733321e-21
Amylocorticiales,241,241,-0.0821782178217822,-0.3289228159457166,42482.0,1.4841289555693531e-18,2.6436047021079104e-18
Archaeosporales,575,575,-0.4532066508313539,-0.4442857142857141,159715.5,0.32031731218970605,0.33398939258804716
Arthoniales,315,315,-0.2060975609756097,-0.4923387096774193,70818.0,1.6426684327199816e-20,3.086772549396888e-20
Ascoideales,2618,2618,-0.07549807596822244,-0.3955167688894688,5282118.0,3.341848991179078e-252,2.040914919612937e-251
Atheliales,644,644,-0.0283044058744993,-0.25380419178868785,286250.0,3.141290105404764e-32,7.565642366538234e-32
Atractiellales,109,109,-0.2188235294117647,-0.3090425531914894,6668.0,0.1184611481085285,0.12740161211671933
Aulographales,360,360,-0.12555614783226715,-0.37492586793817984,93792.5,2.765212596457261e-25,5.766479926758435e-25
Auriculariales,1623,1623,-0.1495169082125603,-0.2391386953768208,1497836.5,1.2778348089141895e-11,1.9000848028202297e-11
Basidiobolales,953,953,-0.4766423357664234,-0.3357142857142857,352457.0,2.6530478959055175e-17,4.536711901998435e-17
Blastocladiales,786,786,-0.18619854721549628,-0.16645721714465805,293785.0,0.09308474403616594,0.10087089900418392
Boletales,25603,25603,-0.1207373271889401,-0.318403247631935,451155442.5,0.0,0.0
Botryosphaeriales,8644,8644,-0.12786909187466805,-0.3508263114976896,52420473.0,0.0,0.0
