order,group,n,has_pfam,has_cazy,has_merops,has_signal_peptide,has_tm_helix
Acarosporales,adhesion,382,0.31675392670157065,0.1256544502617801,0.0,0.6596858638743456,0.15706806282722513
Acrospermales,adhesion,137,0.4233576642335766,0.22627737226277372,0.0072992700729927005,0.7956204379562044,0.19708029197080293
Agaricales,adhesion,50905,0.4318239858560063,0.2605834397406934,0.00461644239269227,0.6076809743640114,0.12851389843826735
Agaricostilbales,adhesion,232,0.25,0.12931034482758622,0.008620689655172414,0.6724137931034483,0.09913793103448276
Alaninales,adhesion,924,0.5725108225108225,0.1331168831168831,0.006493506493506494,0.7564935064935064,0.170995670995671
Alloascoideales,adhesion,309,0.3300970873786408,0.13915857605177995,0.032362459546925564,0.7313915857605178,0.1423948220064725
Amylocorticiales,adhesion,241,0.5145228215767634,0.27385892116182575,0.004149377593360996,0.7468879668049793,0.13692946058091288
Archaeosporales,adhesion,575,0.34956521739130436,0.04521739130434783,0.0034782608695652175,0.36,0.3026086956521739
Arthoniales,adhesion,315,0.2857142857142857,0.1111111111111111,0.0031746031746031746,0.6952380952380952,0.12698412698412698
Ascoideales,adhesion,2618,0.5443086325439267,0.16424751718869365,0.0038197097020626434,0.8227654698242933,0.1359816653934301
Atheliales,adhesion,644,0.4472049689440994,0.2515527950310559,0.017080745341614908,0.656832298136646,0.13509316770186336
Atractiellales,adhesion,109,0.28440366972477066,0.10091743119266056,0.0,0.6972477064220184,0.11926605504587157
Aulographales,adhesion,360,0.325,0.18055555555555555,0.002777777777777778,0.65,0.15833333333333333
Auriculariales,adhesion,1623,0.42637091805298827,0.19346888478126925,0.0036968576709796672,0.7344423906346272,0.12322858903265557
Basidiobolales,adhesion,953,0.2675760755508919,0.10388247639034627,0.0,0.6789087093389297,0.07345225603357818
Blastocladiales,adhesion,786,0.22519083969465647,0.04961832061068702,0.0,0.573791348600509,0.27735368956743
Boletales,adhesion,25603,0.5607936569933211,0.24055774713900716,0.03897980705386087,0.4384642424715854,0.12475100574151467
Botryosphaeriales,adhesion,8644,0.3791068949560389,0.23507635354002776,0.0024294308190652477,0.7397038408144377,0.0939379916705229
Caliciales,adhesion,433,0.2748267898383372,0.14318706697459585,0.0,0.625866050808314,0.13625866050808313
Calosphaeriales,adhesion,198,0.4292929292929293,0.2727272727272727,0.010101010101010102,0.6060606060606061,0.11616161616161616
Candelariales,adhesion,357,0.2605042016806723,0.13725490196078433,0.0,0.6722689075630253,0.16526610644257703
Cantharellales,adhesion,5954,0.5655021834061136,0.341619079610346,0.0038629492777964396,0.618743701713134,0.14662411823983876
Capnodiales,adhesion,705,0.3574468085106383,0.1900709219858156,0.0,0.6907801418439716,0.1276595744680851
Caulochytriales,adhesion,47,0.23404255319148937,0.06382978723404255,0.0,0.7021276595744681,0.1702127659574468
Cephalothecales,adhesion,345,0.42028985507246375,0.22318840579710145,0.017391304347826087,0.7913043478260869,0.12173913043478261
Ceraceosorales,adhesion,82,0.2682926829268293,0.13414634146341464,0.0,0.8414634146341463,0.15853658536585366
Chaetomellales,adhesion,186,0.4946236559139785,0.27419354838709675,0.016129032258064516,0.7741935483870968,0.06989247311827956
Chaetosphaeriales,adhesion,506,0.44861660079051385,0.22727272727272727,0.009881422924901186,0.7312252964426877,0.07707509881422925
Chaetothyriales,adhesion,7050,0.3975886524822695,0.24723404255319148,0.000851063829787234,0.6917730496453901,0.13560283687943261
Chytridiales,adhesion,4990,0.26092184368737475,0.07194388777555111,0.004609218436873747,0.5733466933867736,0.15671342685370743
Cladochytriales,adhesion,667,0.4197901049475262,0.19640179910044978,0.01649175412293853,0.5262368815592204,0.20689655172413793
Cladosporiales,adhesion,5652,0.3865888181174805,0.24734607218683652,0.0005307855626326964,0.694621372965322,0.07820240622788394
Coniochaetales,adhesion,1953,0.3870967741935484,0.2519201228878648,0.007680491551459293,0.7060931899641577,0.09882232462877624
Coniocybales,adhesion,188,0.2765957446808511,0.16489361702127658,0.010638297872340425,0.8085106382978723,0.09042553191489362
Coronophorales,adhesion,1111,0.45994599459945995,0.11431143114311432,0.0054005400540054005,0.4878487848784879,0.1251125112511251
Corticiales,adhesion,437,0.41876430205949655,0.2151029748283753,0.018306636155606407,0.6636155606407322,0.13729977116704806
Cyphobasidiales,adhesion,40,0.225,0.05,0.025,0.675,0.175
Cystobasidiales,adhesion,707,0.2446958981612447,0.07496463932107496,0.002828854314002829,0.652050919377652,0.18104667609618105
Cystofilobasidiales,adhesion,1143,0.42694663167104113,0.1889763779527559,0.0,0.7139107611548556,0.14785651793525809
Dacrymycetales,adhesion,361,0.3601108033240997,0.1883656509695291,0.019390581717451522,0.6343490304709142,0.16066481994459833
Diaporthales,adhesion,13567,0.40141519864376796,0.2537038402004865,0.008623866735461045,0.735461045183165,0.10238077688508881
Dimargaritales,adhesion,429,0.3076923076923077,0.1351981351981352,0.0,0.7808857808857809,0.08391608391608392
Dipodascales,adhesion,15432,0.28758424053913945,0.11301192327630896,0.011404872991187144,0.7126101607050285,0.12039917055469156
Diversisporales,adhesion,4759,0.5215381382643413,0.05085101912166422,0.0008405127127547804,0.22693843244379072,0.18680395040974995
Dothideales,adhesion,7123,0.3744208900744069,0.1818054190650007,0.00014039028499227853,0.7266601151200337,0.1111891057138846
Endogonales,adhesion,611,0.2733224222585925,0.058919803600654665,0.0,0.5040916530278232,0.19967266775777415
Entomophthorales,adhesion,1981,0.1812216052498738,0.11357900050479555,0.004038364462392731,0.6839979808177689,0.04139323573952549
Entrophosporales,adhesion,250,0.336,0.076,0.012,0.348,0.424
Entylomatales,adhesion,39,0.28205128205128205,0.07692307692307693,0.0,0.8205128205128205,0.15384615384615385
Eremomycetales,adhesion,87,0.2988505747126437,0.19540229885057472,0.0,0.6896551724137931,0.12643678160919541
Erysiphales,adhesion,567,0.30864197530864196,0.15343915343915343,0.0,0.5943562610229277,0.13756613756613756
Erythrobasidiales,adhesion,184,0.266304347826087,0.08152173913043478,0.005434782608695652,0.6413043478260869,0.1358695652173913
Eurotiales,adhesion,65072,0.4106067125645439,0.2519977870666339,0.005025202852225227,0.7944430784361938,0.09779936070813867
Exobasidiales,adhesion,265,0.2490566037735849,0.1471698113207547,0.0,0.7622641509433963,0.26037735849056604
Filobasidiales,adhesion,1303,0.5349194167306216,0.23637759017651575,0.0,0.7774366845740599,0.1696085955487337
Geastrales,adhesion,307,0.48859934853420195,0.247557003257329,0.0,0.5472312703583062,0.14006514657980457
Geminibasidiales,adhesion,78,0.358974358974359,0.1282051282051282,0.0,0.48717948717948717,0.1794871794871795
Geoglossales,adhesion,919,0.3852013057671382,0.12622415669205658,0.01088139281828074,0.4591947769314472,0.14907508161044614
Georgefischeriales,adhesion,11,0.45454545454545453,0.2727272727272727,0.0,0.5454545454545454,0.36363636363636365
Gloeophyllales,adhesion,269,0.35315985130111527,0.18587360594795538,0.007434944237918215,0.7026022304832714,0.09665427509293681
Glomerales,adhesion,3235,0.5483771251931994,0.04204018547140649,0.0012364760432766616,0.2806800618238022,0.22071097372488407
Glomerellales,adhesion,23969,0.4090283282573324,0.25537152154866705,0.0006258083357670324,0.7795903041428511,0.09107597313196211
Golubeviales,adhesion,244,0.1762295081967213,0.0942622950819672,0.0,0.7581967213114754,0.13114754098360656
Gomphales,adhesion,758,0.38258575197889183,0.11609498680738786,0.002638522427440633,0.2955145118733509,0.11345646437994723
Harpellales,adhesion,1270,0.15669291338582678,0.07322834645669292,0.030708661417322834,0.6291338582677165,0.11496062992125984
