order,n,median,iqr,small_n
Caulochytriales,47,639.0,567.5,False
Georgefischeriales,11,580.0,491.0,False
Entylomatales,39,557.0,447.5,False
Violaceomycetales,47,542.0,376.5,False
Ustilaginales,1513,511.0,466.0,False
Ceraceosorales,82,501.5,403.25,False
Sporopachydermiales,117,487.0,422.0,False
Tilletiales,847,479.0,463.5,False
Exobasidiales,265,476.0,425.0,False
Cystobasidiales,707,468.0,456.0,False
Synchytriales,118,466.0,420.25,False
Physodermatales,152,456.0,409.25,False
Chaetomellales,186,454.5,355.75,False
Microstromatales,263,453.0,469.0,False
Eremomycetales,87,451.0,443.0,False
Peribolosporales,80,451.0,518.0,False
Polychytriales,187,449.0,453.0,False
Ophiostomatales,8935,446.0,380.0,False
Sporidiobolales,1747,445.0,432.0,False
Golubeviales,244,443.5,484.75,False
Xylonales,68,442.5,301.5,False
Lineolatales,107,442.0,379.0,False
Acarosporales,382,442.0,368.25,False
Ascoideales,2618,441.5,404.0,False
Coniocybales,188,440.0,375.5,False
Cephalothecales,345,440.0,324.0,False
Leotiales,220,437.0,345.25,False
Jaapiales,90,437.0,323.75,False
Herpomycetales,25,437.0,244.0,False
Alloascoideales,309,436.0,361.0,False
Microbotryales,451,436.0,466.0,False
Togniniales,229,436.0,322.0,False
Verrucariales,164,432.5,405.25,False
Mortierellales,4923,431.0,435.0,False
Valsariales,120,430.5,308.25,False
Mixiales,40,430.0,409.75,False
Tremellales,5221,429.0,397.0,False
Trechisporales,249,428.0,327.0,False
Calosphaeriales,198,428.0,299.0,False
Pyrenulales,338,427.5,356.0,False
Alaninales,924,427.0,340.0,False
Trypetheliales,1532,425.5,330.25,False
Xylobotryales,156,425.0,309.75,False
Thelocarpales,149,424.0,357.0,False
Pichiales,9920,424.0,379.0,False
Blastocladiales,786,423.5,440.75,False
Saccharomycodales,1209,423.0,405.0,False
Cystofilobasidiales,1143,422.0,416.0,False
Malasseziales,198,422.0,413.5,False
Lipomycetales,1493,422.0,363.0,False
Myriangiales,1644,422.0,342.5,False
Phacidiales,560,420.5,311.0,False
Patellariales,126,420.5,374.75,False
