class,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Agaricomycetes,108548,108548,26.627785712666345,20.071684587813618,9024802514.5,0.0,0.0
Agaricostilbomycetes,232,232,29.37134981714972,19.561305534872176,47680.0,6.904042143308011e-47,1.0356063214962019e-46
Alloascoideomycetes,309,309,35.820895522388064,19.13214990138067,90164.5,1.8639909955293658e-81,3.7279819910587317e-81
Arthoniomycetes,315,315,32.14285714285714,19.83471074380165,88592.5,2.7120607257312275e-65,4.64924695839639e-65
Atractiellomycetes,109,109,29.310344827586206,20.35010940919037,10227.0,3.4363593667563445e-20,4.386841744795333e-20
Basidiobolomycetes,953,953,25.5663430420712,18.160919540229884,650645.5,3.711363522834935e-60,5.709790035130669e-60
Blastocladiomycetes,786,786,28.40118343195266,19.294281390308424,487851.5,5.402860698779527e-88,1.1178332480233504e-87
Candelariomycetes,357,357,32.42424242424242,19.52461799660441,115635.5,3.7169584730770387e-79,6.969297137019448e-79
Chytridiomycetes,9007,9007,28.8,18.828932261768085,68543681.0,0.0,0.0
Coniocybomycetes,188,188,33.84375,19.6763859832636,31442.0,5.0742003751789284e-39,7.248857678827041e-39
Cystobasidiomycetes,996,996,29.899434000404284,19.65811965811966,865206.0,6.202098163625067e-182,1.4312534223750154e-181
Dacrymycetes,361,361,26.5158371040724,18.897637795275596,112658.5,1.9046685449376798e-64,3.174447574896133e-64
Dimargaritomycetes,429,429,31.00436681222708,20.689655172413797,152641.0,1.2803280379820216e-62,2.0215705862874027e-62
Dipodascomycetes,15432,15432,35.10444769498697,18.39080459770115,220189326.0,0.0,0.0
Dothideomycetes,82261,82261,29.694323144104803,18.81656804733728,5966335798.0,0.0,0.0
Endogonomycetes,611,611,24.390243902439025,16.853932584269664,264314.0,2.424284836378691e-36,3.38272302750515e-36
Entomophthoromycetes,1981,1981,29.06574394463668,17.983651226158038,3237275.0,8.705288676059148e-275,2.4872253360168993e-274
Eurotiomycetes,78324,78324,30.43478260869565,19.09814323607427,5420082407.0,0.0,0.0
Exobasidiomycetes,1751,1751,29.133858267716537,20.67736185383244,2511657.5,1.0347250979372744e-234,2.5868127448431857e-234
Geminibasidiomycetes,78,78,27.379306009554938,19.237361142598054,4793.0,5.485836534207461e-10,5.984548946408139e-10
Geoglossomycetes,1121,1121,27.45762711864407,18.900343642611684,1058434.5,2.676519930684822e-173,5.9478220681884936e-173
Glomeromycetes,9158,9158,19.429925524712253,16.561504777070063,46045457.5,1.486719243967146e-30,1.982292325289528e-30
Harpellomycetes,1270,1270,30.70690679709284,18.71255336705773,1345577.0,4.317024042519617e-187,1.0360857702047081e-186
Kickxellomycetes,12911,12911,28.18181818181818,18.365384615384613,138487726.0,0.0,0.0
Laboulbeniomycetes,25,25,31.91489361702128,19.908466819221967,526.0,3.583595520473842e-05,3.707167779800526e-05
Lecanoromycetes,13364,13364,31.57259932815939,19.46564885496183,160391323.0,0.0,0.0
Leotiomycetes,38582,38582,30.12820512820513,19.17808219178082,1329443301.5,0.0,0.0
Lichinomycetes,394,394,30.493492082533592,19.576325579366515,134350.5,1.5055594857744376e-70,2.6568696807784192e-70
Lipomycetes,1493,1493,31.640625,19.074074074074076,1959722.5,5.921750922869274e-282,1.7765252768607825e-281
Malasseziomycetes,205,205,22.945205479452053,18.33333333333333,31380.0,5.567350054577247e-18,6.959187568221558e-18
Microbotryomycetes,3100,3100,28.759691842750627,20.17355620811686,8044349.5,0.0,0.0
Mixiomycetes,40,40,28.731329173756855,19.417132347739972,1429.0,1.4688804481045214e-09,1.5738004801119872e-09
Moniliellomycetes,86,86,28.32512315270936,19.60219246199921,6003.0,1.696148049640489e-12,1.9201676033665913e-12
Monoblepharidomycetes,499,499,26.53061224489796,17.983193277310924,210741.0,5.181977283700003e-80,1.0029633452322584e-79
Mortierellomycetes,4923,4923,26.666666666666668,19.423076923076923,18104588.0,0.0,0.0
Mucoromycetes,8625,8625,26.086956521739133,18.220338983050848,54488117.0,0.0,0.0
Neocallimastigomycetes,5311,5311,21.91435768261965,16.341030195381883,21120643.0,0.0,0.0
Neolectomycetes,36,36,30.73440962329851,16.418186754868806,1288.0,5.92086692561554e-13,6.831769529556392e-13
Orbiliomycetes,7964,7964,31.43691280312774,19.35483870967742,57965009.0,0.0,0.0
Peribolosporomycetes,80,80,29.42389926295206,19.357071580160504,5191.0,1.0995386961974983e-11,1.2217096624416646e-11
Pezizomycetes,12856,12856,28.744939271255063,18.96551724137931,137871331.5,0.0,0.0
Physodermatomycetes,152,152,24.733840150263934,20.380111407972663,17355.0,3.674213084090969e-14,4.322603628342316e-14
Pichiomycetes,40517,40517,34.59119496855346,17.708333333333336,1534240787.0,0.0,0.0
Pneumocystomycetes,365,365,16.50943396226415,17.088305489260144,64864.5,0.5396000433867256,0.5396000433867256
Pucciniomycetes,2694,2694,30.234733174399413,20.731707317073173,5609544.5,9.463461216431227e-264,2.5809439681176075e-263
Saccharomycetes,22835,22835,36.34920634920635,17.712691771269178,493594665.5,0.0,0.0
Sanchytriomycetes,28,28,28.01154009034444,16.14256792058516,738.0,1.4992212199111463e-08,1.57812759990647e-08
