order,n,median,iqr,small_n
Trapeliales,1685,0.082716049382716,0.4308539753393581,False
Umbilicariales,1286,0.0653252836473405,0.47831193085447143,False
Leotiales,220,0.0533302887655448,0.4032603407845321,False
Kriegeriales,306,0.05305349412492265,0.3875821543988597,False
Taphrinales,1158,0.04172120771385475,0.4428949506646639,False
Phyllachorales,97,0.0406735751295337,0.344598243663346,False
Pertusariales,457,0.0315521628498728,0.3778331527627302,False
Symbiotaphrinales,87,0.0296296296296296,0.3892631518505923,False
Ophiostomatales,8935,0.0149090909090908,0.3701409667068881,False
Phacidiales,560,0.01487613256674985,0.3197626994082813,False
Rhizocarpales,140,0.0020388565421317,0.34612187497736135,False
Chaetomellales,186,-0.0031855203619908998,0.31831340714737955,False
Calosphaeriales,198,-0.0104989142662793,0.37044515904892633,False
Sarrameanales,210,-0.01308655145437735,0.3883835997940731,False
Cystofilobasidiales,1143,-0.0132723112128144,0.4122933060820736,False
Sareales,78,-0.013363821138211301,0.4243865966722774,False
Trigonopsidales,1571,-0.0188022284122562,0.3338750925840027,False
Neolectales,36,-0.0199689118024516,0.45899446489237294,False
Valsariales,120,-0.0200477064220183,0.41887846295957426,False
Chytridiales,4990,-0.0213477698771816,0.428064833360131,False
Helotiales,31960,-0.02228571080476855,0.34561403508771926,False
Phaeomoniellales,254,-0.02761770032256275,0.34909840709694484,False
Candelariales,357,-0.0279257465698143,0.4709992473701714,False
Atheliales,644,-0.0283044058744993,0.3331432184128812,False
Mytilinidiales,556,-0.030563141343925848,0.36482187752344664,False
Xylobotryales,156,-0.03357771260997065,0.4241884268214055,False
Phaeotrichales,136,-0.0337913343070066,0.35482766721086056,False
Corticiales,437,-0.0393996247654783,0.3378939378939378,False
Acarosporales,382,-0.04598242763435035,0.37414661593875265,False
Jaapiales,90,-0.0473454374139306,0.4029373812889888,False
Polyporales,11587,-0.0474452554744525,0.3622501818804055,False
Gloeophyllales,269,-0.052787456445993,0.36238763473662783,False
Synchytriales,118,-0.055283866518324745,0.44651208225638006,False
Togniniales,229,-0.0565495207667732,0.35029371216208127,False
Dothideales,7123,-0.0584967320261437,0.33948952573371716,False
Marthamycetales,162,-0.0617815395193977,0.29975210339650016,False
Georgefischeriales,11,-0.0632169576059851,0.18040347669292328,False
Pezizales,12856,-0.06379622765834775,0.4275986597264922,False
Lipomycetales,1493,-0.0641065830721003,0.3145355504587155,False
Russulales,5177,-0.067612293144208,0.3724318960274016,False
Diaporthales,13567,-0.0709897610921502,0.3377840887581718,False
Agaricales,50905,-0.0716923076923077,0.3736114622840287,False
Geastrales,307,-0.0724137931034483,0.3752651805365077,False
Coniochaetales,1953,-0.0736170212765957,0.37594952369169865,False
Monoblepharidales,499,-0.0743801652892562,0.33835426151750236,False
Ascoideales,2618,-0.07549807596822244,0.3648523607123727,False
Alaninales,924,-0.07748664886515355,0.4155909693862303,False
Lecanorales,4757,-0.0780804150453956,0.3729632299927902,False
Geoglossales,919,-0.079296066252588,0.4078583818764926,False
Cyphobasidiales,40,-0.0794974722829713,0.4138050727999246,False
Racodiales,231,-0.07953216374269,0.4267525339205123,False
Coronophorales,1111,-0.0803370786516853,0.3937015174658252,False
Amylocorticiales,241,-0.0821782178217822,0.375268142157906,False
Hymenochaetales,2325,-0.0833013435700576,0.4031198415318587,False
Thelocarpales,149,-0.0836363636363636,0.4065001541782299,False
Pichiales,9920,-0.08367578684398125,0.36388143228331005,False
Vezdaeales,166,-0.0841463876347597,0.3877126685194189,False
Phaffomycetales,8112,-0.0845205479452054,0.3323222738300138,False
Spizellomycetales,719,-0.086859688195991,0.5246017018300502,False
Saccharomycodales,1209,-0.0876204238921001,0.2895714003555204,False
Chaetosphaeriales,506,-0.09022801443731221,0.33216777722098106,False
Venturiales,2053,-0.0907196969696969,0.4014718929661439,False
Ostropales,744,-0.091754170960644,0.38766131212844646,False
Dacrymycetales,361,-0.0927021696252465,0.29954318936877067,False
Cephalothecales,345,-0.0929054054054053,0.348207374954363,False
Microthyriales,200,-0.09369679198596015,0.3765233628326501,False
Sporidiobolales,1747,-0.0960880195599022,0.3171132506298783,False
Verrucariales,164,-0.0991844416562107,0.47287625085849677,False
Schizosaccharomycetales,195,-0.1011167512690355,0.3225503289173383,False
Hysteriales,371,-0.1015625,0.3942341773907493,False
Leucosporidiales,369,-0.1017080745341614,0.3186946873078259,False
Trechisporales,249,-0.1027397260273973,0.3650553441715667,False
Xylonales,68,-0.1045481252002991,0.44207338675704455,False
Thelebolales,4041,-0.1063745019920319,0.336205344281187,False
Capnodiales,705,-0.1083612040133779,0.3370675004008335,False
Caulochytriales,47,-0.1092664092664092,0.4921158093991037,False
Mixiales,40,-0.11095821872332351,0.49336377803483056,False
Polychytriales,187,-0.1123529411764706,0.37142887182179063,False
Mortierellales,4923,-0.1123711340206185,0.5408738548016144,False
Chaetothyriales,7050,-0.11387700241386875,0.343819874253314,False
Microbotryales,451,-0.1158730158730159,0.3612263265518385,False
Dipodascales,15432,-0.117928492186851,0.4819265378702451,False
Thelephorales,205,-0.1180379746835443,0.4373267479549312,False
Phallales,613,-0.1183606557377048,0.3226334358735109,False
Xylariales,37218,-0.11917163116222801,0.3568694377932161,False
Boletales,25603,-0.1207373271889401,0.3492773233587687,False
Sordariales,19983,-0.1212698412698412,0.36467002221364775,False
Caliciales,433,-0.1214084507042253,0.32026829268292667,False
Aulographales,360,-0.12555614783226715,0.3405246500007246,False
Acrospermales,137,-0.1266187050359712,0.3797665424972276,False
Trypetheliales,1532,-0.1270265986951583,0.3052563216779105,False
Teloschistales,2332,-0.12705839675992858,0.38646398776505114,False
Botryosphaeriales,8644,-0.12786909187466805,0.3521729773140517,False
Agaricostilbales,232,-0.12939573060549453,0.32392103453596366,False
Holtermanniales,111,-0.1319582504970178,0.34611094532120334,False
Magnaporthales,4288,-0.13235103937158735,0.3909762877284306,False
Glomerellales,23969,-0.1335051546391753,0.3571594103791505,False
Microascales,8572,-0.1355530245165301,0.3659675443149857,False
Sporopachydermiales,117,-0.1362637362637362,0.3278617801635702,False
Orbiliales,7964,-0.1407461513909008,0.37285996397753995,False
Auriculariales,1623,-0.1495169082125603,0.41127376297123885,False
Pyrenulales,338,-0.15115240501917038,0.36758719098291287,False
Filobasidiales,1303,-0.1539589442815251,0.3028859620206686,False
Alloascoideales,309,-0.1542553191489361,0.43814754098360653,False
Serinales,29673,-0.1547619047619048,0.4169249169291379,False
Peltigerales,538,-0.15508547008547,0.47302568584956195,False
Peribolosporales,80,-0.15566453027491983,0.3909150104219539,False
Myriangiales,1644,-0.15604451804588176,0.3299066935067421,False
Rhizophydiales,976,-0.15730237445122597,0.5992111309153345,False
Sebacinales,1334,-0.1586736192714454,0.33035230475606775,False
Lichinales,394,-0.16218051000388456,0.4290471273744279,False
Eurotiales,65072,-0.1640077821011672,0.3625709104941795,False
Umbelopsidales,469,-0.1644244433917575,0.5355604428939784,False
Tremellales,5221,-0.1647887323943661,0.33591478696741844,False
Saccharomycetales,10896,-0.1653547321655417,0.2895002523962945,False
Pleosporales,34727,-0.1661290322580644,0.38030055634386317,False
Tilletiales,847,-0.1675799086757991,0.428778825493484,False
Ramicandelaberales,120,-0.17102503449635326,0.5626126839881151,False
Mycosphaerellales,15456,-0.1737027754571614,0.36198214035643517,False
Cantharellales,5954,-0.17486806717252465,0.3714096963077769,False
